category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,user_satisfaction_score,rca_category,users_affected,estimated_cost,resolution_method
Inquiry / Help,Closed,2023-08-17 04:45:43.185739101,2023-06-25 10:31:00,Beth Anglin,INC0000000468,admin,Australia,Charlie Whitherspoon,ITIL User,2023-06-01 13:53:33.745863862,There was an issue,2 - High,Inquiry / Help,1,Network Problem,264,13163.915288195436,Software Update
Database,Resolved,2023-08-10 22:01:38.300764703,2023-06-25 22:45:00,Luke Wilson,INC0000000219,system,United States,Luke Wilson,Bud Richman,2023-12-17 23:44:55.013288975,There was an issue,2 - High,Database,1,Third-party Service Issue,470,39568.16627480763,User Training
Hardware,Closed,2024-02-07 21:56:58.515415708,2023-06-26 06:56:00,Charlie Whitherspoon,INC0000000294,admin,Australia,Beth Anglin,ITIL User,2023-06-18 08:09:47.068608027,There was an issue,2 - High,Hardware,4,Third-party Service Issue,487,14086.077690923576,Software Update
Database,Closed,2023-04-13 12:13:00.000000000,2023-06-26 08:23:00,Fred Luddy,INC0000000252,admin,India,Luke Wilson,ITIL User,2023-02-28 16:37:00.000000000,There was an issue,4 - Low,Database,1,Configuration Error,972,20776.36763297619,Apply Patch
Hardware,Closed,2023-11-15 23:12:53.763111504,2023-06-26 17:38:00,Beth Anglin,INC0000000401,employee,India,Luke Wilson,Bud Richman,2023-10-03 08:14:22.675801438,There was an issue,3 - Moderate,Hardware,4,Hardware Failure,581,8805.67734266396,Configuration Change
Database,Resolved,2024-01-19 07:24:42.210493722,2023-06-27 10:20:00,Howard Johnson,INC0000000435,system,India,Beth Anglin,Don Goodliffe,2023-03-05 11:31:06.569025031,There was an issue,4 - Low,Database,4,Third-party Service Issue,147,1486.330108250389,Restart Service
Hardware,Closed,2024-02-09 04:30:29.586553971,2023-06-27 21:41:00,Beth Anglin,INC0000000408,admin,United States,Beth Anglin,ITIL User,2023-10-30 18:57:00.000000000,There was an issue,1 - Critical,Hardware,4,Hardware Failure,898,77686.22460072147,Software Update
Inquiry / Help,Closed,2023-05-06 00:19:06.845921162,2023-06-28 11:02:00,Fred Luddy,INC0000000038,employee,Canada,Beth Anglin,David Loo,2023-10-31 00:43:50.133149704,There was an issue,1 - Critical,Inquiry / Help,1,Software Bug,868,14838.934039405605,User Training
Database,Resolved,2024-01-27 16:50:43.924769422,2023-06-28 14:35:00,Charlie Whitherspoon,INC0000000426,admin,UK,Charlie Whitherspoon,ITIL User,2023-08-05 08:06:09.262346306,There was an issue,1 - Critical,Database,2,Configuration Error,915,85328.17484462057,User Training
Software,Resolved,2023-11-11 22:19:34.292012026,2023-06-29 19:01:00,Charlie Whitherspoon,INC0000000419,employee,Australia,Beth Anglin,Bud Richman,2023-07-13 16:19:33.649785697,There was an issue,4 - Low,Software,2,Network Problem,967,92340.51294447249,User Training
Inquiry / Help,Closed,2024-01-08 21:09:04.022142416,2023-07-02 07:35:00,Fred Luddy,INC0000000171,system,India,Luke Wilson,Don Goodliffe,2023-08-13 06:41:18.526534971,There was an issue,3 - Moderate,Inquiry / Help,1,Software Bug,690,59294.26104673414,Restart Service
Inquiry / Help,Closed,2023-02-07 09:37:36.868992308,2023-07-03 06:45:00,Charlie Whitherspoon,INC0000000172,admin,United States,Howard Johnson,ITIL User,2023-03-26 23:30:22.193990107,There was an issue,1 - Critical,Inquiry / Help,3,Hardware Failure,464,12784.8874033142,Software Update
Software,Resolved,2023-06-08 17:00:00.000000000,2023-07-04 04:13:00,Fred Luddy,INC0000000098,admin,India,Luke Wilson,Don Goodliffe,2023-05-28 08:38:00.000000000,There was an issue,2 - High,Software,5,Hardware Failure,878,15045.544826572825,Configuration Change
Inquiry / Help,Resolved,2023-06-11 09:48:35.368342810,2023-07-04 13:46:00,Beth Anglin,INC0000000183,employee,UK,Beth Anglin,David Loo,2023-06-02 00:47:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,5,Software Bug,618,50934.88468952032,Software Update
Inquiry / Help,Resolved,2023-07-06 07:29:00.832219981,2023-07-07 04:36:00,Charlie Whitherspoon,INC0000000083,employee,Australia,Fred Luddy,ITIL User,2023-10-11 14:36:28.517445744,There was an issue,2 - High,Inquiry / Help,2,Third-party Service Issue,163,3003.4195794429925,Hardware Replacement
Software,Closed,2023-06-30 23:29:55.851304419,2023-07-07 04:48:00,Howard Johnson,INC0000000315,system,United States,Fred Luddy,ITIL User,2023-05-03 23:18:07.556497402,There was an issue,4 - Low,Software,4,User Error,970,51765.94578504373,Apply Patch
Inquiry / Help,Closed,2023-08-15 14:03:57.099952165,2023-07-07 05:58:00,Howard Johnson,INC0000000215,system,United States,Howard Johnson,ITIL User,2023-04-13 15:50:15.123078287,There was an issue,3 - Moderate,Inquiry / Help,4,Hardware Failure,264,13299.967514744714,Restart Service
Hardware,Resolved,2023-04-05 05:58:43.770711476,2023-07-07 20:52:00,Howard Johnson,INC0000000123,system,Canada,Beth Anglin,ITIL User,2023-10-10 07:28:02.225169681,There was an issue,4 - Low,Hardware,5,Network Problem,799,51061.87544494706,User Training
Software,Closed,2023-03-23 14:56:55.026865443,2023-07-08 00:31:00,Fred Luddy,INC0000000386,employee,UK,Howard Johnson,David Loo,2023-01-23 14:49:23.734002375,There was an issue,3 - Moderate,Software,3,Network Problem,820,63046.91130331755,Hardware Replacement
Database,Resolved,2023-06-02 00:47:00.000000000,2023-07-09 03:39:00,Luke Wilson,INC0000000224,system,Canada,Luke Wilson,Don Goodliffe,2023-11-27 12:48:59.344411018,There was an issue,3 - Moderate,Database,3,Software Bug,774,64916.33002712511,User Training
Inquiry / Help,Closed,2023-10-12 20:28:38.706928972,2023-07-11 16:02:00,Luke Wilson,INC0000000313,admin,Canada,Luke Wilson,David Loo,2023-05-24 07:52:48.690310999,There was an issue,3 - Moderate,Inquiry / Help,2,Network Problem,735,70013.82489186952,Apply Patch
Database,Closed,2023-06-07 06:19:03.182476115,2023-07-11 18:42:00,Beth Anglin,INC0000000150,employee,Canada,Howard Johnson,David Loo,2024-02-12 22:31:48.126196708,There was an issue,2 - High,Database,2,Software Bug,622,28510.086553742498,Apply Patch
Hardware,Closed,2024-01-03 16:58:25.664592126,2023-07-12 00:27:00,Charlie Whitherspoon,INC0000000115,employee,Canada,Beth Anglin,ITIL User,2023-03-26 17:14:15.209900642,There was an issue,3 - Moderate,Hardware,4,Network Problem,576,53542.99401432536,Apply Patch
Software,Resolved,2023-03-31 22:32:42.024027147,2023-07-12 03:22:00,Charlie Whitherspoon,INC0000000245,system,United States,Luke Wilson,David Loo,2023-05-19 01:48:03.565852983,There was an issue,1 - Critical,Software,2,Network Problem,487,11612.384064242544,Software Update
Software,Closed,2023-11-12 08:41:55.212270110,2023-07-12 05:50:00,Howard Johnson,INC0000000352,admin,India,Howard Johnson,Bud Richman,2023-10-01 17:15:12.850603255,There was an issue,2 - High,Software,5,Third-party Service Issue,997,91704.8226313637,Hardware Replacement
Network,Resolved,2024-02-07 23:14:21.894263712,2023-07-14 21:27:00,Howard Johnson,INC0000000428,admin,Canada,Charlie Whitherspoon,Don Goodliffe,2023-03-21 01:02:44.587646914,There was an issue,2 - High,Network,5,Hardware Failure,276,3142.8907865103474,Hardware Replacement
Hardware,Resolved,2023-07-12 18:45:07.705046349,2023-07-15 12:17:00,Charlie Whitherspoon,INC0000000368,employee,Canada,Howard Johnson,Don Goodliffe,2023-10-11 11:31:18.203048562,There was an issue,2 - High,Hardware,1,Third-party Service Issue,459,8141.1607627627,Hardware Replacement
Hardware,Closed,2023-03-11 20:13:52.693225203,2023-07-15 14:09:00,Charlie Whitherspoon,INC0000000040,employee,Canada,Luke Wilson,Don Goodliffe,2023-05-19 07:25:36.115649042,There was an issue,2 - High,Hardware,1,Software Bug,144,8815.730124843587,Apply Patch
Hardware,Resolved,2023-02-13 00:56:00.000000000,2023-07-16 10:58:00,Charlie Whitherspoon,INC0000000170,employee,Australia,Howard Johnson,David Loo,2023-07-14 06:35:05.209399792,There was an issue,4 - Low,Hardware,1,User Error,779,59273.198191212454,Hardware Replacement
Database,Resolved,2023-02-05 00:09:42.176650334,2023-07-19 12:03:00,Luke Wilson,INC0000000462,admin,Canada,Luke Wilson,David Loo,2023-10-18 21:50:20.165772966,There was an issue,3 - Moderate,Database,2,Software Bug,300,21939.811241598807,Apply Patch
Network,Resolved,2023-06-15 22:13:18.416949743,2023-07-20 12:12:00,Fred Luddy,INC0000000369,system,Canada,Luke Wilson,David Loo,2024-02-01 02:14:30.096751951,There was an issue,2 - High,Network,4,User Error,192,18588.043525541678,Hardware Replacement
Software,Closed,2023-10-21 05:30:42.585855096,2023-07-21 07:12:00,Beth Anglin,INC0000000437,admin,Canada,Beth Anglin,Bud Richman,2023-07-06 13:08:33.074641515,There was an issue,1 - Critical,Software,1,Hardware Failure,911,65946.80992331177,Restart Service
Database,Closed,2023-12-14 06:24:13.933877695,2023-07-22 04:13:00,Howard Johnson,INC0000000118,system,United States,Charlie Whitherspoon,Bud Richman,2023-01-18 12:15:00.000000000,There was an issue,1 - Critical,Database,4,Software Bug,524,18942.38410334724,User Training
Inquiry / Help,Closed,2023-05-14 12:40:40.813937606,2023-07-22 16:29:00,Luke Wilson,INC0000000078,system,UK,Luke Wilson,ITIL User,2023-03-17 12:37:48.453885624,There was an issue,2 - High,Inquiry / Help,3,Network Problem,145,13980.302916693036,Configuration Change
Database,Resolved,2023-03-08 05:56:31.551604697,2023-07-22 22:39:00,Fred Luddy,INC0000000131,employee,Canada,Howard Johnson,Don Goodliffe,2023-06-29 22:17:23.746230748,There was an issue,2 - High,Database,2,User Error,135,12944.794797021608,User Training
Inquiry / Help,Closed,2023-06-07 16:18:08.061177566,2023-07-22 23:48:00,Charlie Whitherspoon,INC0000000296,employee,UK,Charlie Whitherspoon,Bud Richman,2024-01-20 12:12:40.568716377,There was an issue,1 - Critical,Inquiry / Help,4,Software Bug,706,17995.239588472334,Configuration Change
Network,Closed,2023-02-03 08:09:45.834493992,2023-07-23 08:50:00,Luke Wilson,INC0000000004,system,India,Charlie Whitherspoon,ITIL User,2023-03-29 18:40:47.611595618,There was an issue,1 - Critical,Network,5,Hardware Failure,123,11379.831339192522,Hardware Replacement
Hardware,Closed,2023-11-12 08:10:38.248010764,2023-07-24 09:09:00,Howard Johnson,INC0000000163,system,United States,Charlie Whitherspoon,Don Goodliffe,2024-01-21 14:31:46.018925216,There was an issue,3 - Moderate,Hardware,4,Configuration Error,569,49435.872849854175,User Training
Inquiry / Help,Closed,2023-04-15 04:23:54.073331834,2023-07-24 09:13:00,Luke Wilson,INC0000000361,admin,Canada,Charlie Whitherspoon,Don Goodliffe,2023-08-07 06:13:36.125124469,There was an issue,1 - Critical,Inquiry / Help,5,User Error,505,23568.780588491743,Hardware Replacement
Network,Closed,2023-08-23 19:40:27.266944172,2023-07-25 08:08:00,Howard Johnson,INC0000000322,employee,United States,Charlie Whitherspoon,ITIL User,2023-08-24 03:28:09.603360173,There was an issue,2 - High,Network,3,Third-party Service Issue,121,5544.23629012864,Apply Patch
Software,Closed,2023-02-18 06:02:38.010888088,2023-07-25 20:00:00,Fred Luddy,INC0000000216,system,India,Howard Johnson,Don Goodliffe,2023-08-15 21:18:27.557222760,There was an issue,4 - Low,Software,1,Network Problem,603,30836.360974375344,Hardware Replacement
Hardware,Resolved,2023-09-15 01:07:41.823641770,2023-07-26 06:53:00,Charlie Whitherspoon,INC0000000306,system,UK,Fred Luddy,Don Goodliffe,2023-07-25 23:13:55.734880101,There was an issue,4 - Low,Hardware,5,Software Bug,663,64828.47035387794,Hardware Replacement
Hardware,Closed,2023-09-07 23:02:26.238518168,2023-07-26 17:09:00,Fred Luddy,INC0000000379,system,United States,Fred Luddy,Bud Richman,2023-01-18 10:47:18.859313409,There was an issue,2 - High,Hardware,3,Configuration Error,414,26236.588362831393,Hardware Replacement
Software,Closed,2023-09-17 17:36:33.312203552,2023-07-27 04:40:00,Beth Anglin,INC0000000487,system,Australia,Beth Anglin,Bud Richman,2023-04-13 00:44:40.599581505,There was an issue,4 - Low,Software,5,User Error,929,79553.84580824959,Configuration Change
Database,Resolved,2023-11-18 17:10:46.429479768,2023-07-27 08:18:00,Luke Wilson,INC0000000153,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-11-29 19:40:37.040547419,There was an issue,3 - Moderate,Database,4,Hardware Failure,335,24260.16321239994,Hardware Replacement
Hardware,Resolved,2023-04-13 00:44:40.599581505,2023-07-27 19:21:00,Fred Luddy,INC0000000239,admin,Australia,Howard Johnson,Bud Richman,2023-02-07 09:37:36.868992308,There was an issue,3 - Moderate,Hardware,4,Network Problem,988,21377.69678580577,Configuration Change
Database,Resolved,2023-11-07 04:08:46.640926620,2023-07-28 19:29:00,Luke Wilson,INC0000000010,employee,Australia,Charlie Whitherspoon,ITIL User,2023-06-07 16:18:08.061177566,There was an issue,1 - Critical,Database,5,Hardware Failure,308,29914.37336389987,Configuration Change
Database,Closed,2023-07-13 16:19:33.649785697,2023-07-29 10:15:00,Beth Anglin,INC0000000139,system,Canada,Charlie Whitherspoon,Bud Richman,2023-08-30 13:49:54.648995923,There was an issue,2 - High,Database,2,Software Bug,717,57470.14720626179,Software Update
Inquiry / Help,Closed,2023-06-11 20:25:35.094482408,2023-07-29 11:39:00,Beth Anglin,INC0000000355,employee,United States,Charlie Whitherspoon,David Loo,2023-05-22 23:24:00.000000000,There was an issue,4 - Low,Inquiry / Help,4,Third-party Service Issue,549,23148.415659670904,User Training
Network,Closed,2023-07-25 09:09:00.000000000,2023-07-30 09:49:00,Beth Anglin,INC0000000181,system,United States,Beth Anglin,Bud Richman,2023-08-24 00:59:37.177124394,There was an issue,2 - High,Network,1,Hardware Failure,284,24049.06898967757,Hardware Replacement
Inquiry / Help,Closed,2023-11-20 13:58:24.005162219,2023-07-30 09:52:00,Howard Johnson,INC0000000439,employee,United States,Charlie Whitherspoon,ITIL User,2023-01-23 16:07:55.271807823,There was an issue,2 - High,Inquiry / Help,4,Configuration Error,511,19371.297662930418,Configuration Change
Network,Closed,2023-01-19 02:40:53.945578841,2023-07-30 17:08:00,Luke Wilson,INC0000000109,system,Australia,Howard Johnson,David Loo,2023-01-12 00:34:00.000000000,There was an issue,4 - Low,Network,4,Third-party Service Issue,598,25006.22438759723,Apply Patch
Software,Resolved,2023-08-03 13:35:26.483807424,2023-08-01 05:44:00,Charlie Whitherspoon,INC0000000177,employee,India,Fred Luddy,Bud Richman,2023-08-26 09:29:01.912064757,There was an issue,1 - Critical,Software,3,Software Bug,256,3951.7234554009037,Restart Service
Software,Closed,2023-11-22 14:54:17.505991208,2023-08-01 11:34:00,Beth Anglin,INC0000000334,employee,Australia,Beth Anglin,David Loo,2023-09-13 23:47:44.874072603,There was an issue,1 - Critical,Software,2,Software Bug,934,82881.5851017623,Hardware Replacement
Inquiry / Help,Resolved,2023-09-27 06:11:00.000000000,2023-08-01 13:22:00,Howard Johnson,INC0000000179,system,United States,Luke Wilson,ITIL User,2023-03-14 06:30:47.245274154,There was an issue,2 - High,Inquiry / Help,4,Configuration Error,415,29854.707712041698,Software Update
Network,Resolved,2023-08-02 05:44:00.000000000,2023-08-02 07:41:00,Luke Wilson,INC0000000335,employee,India,Fred Luddy,ITIL User,2023-01-14 09:42:31.239968317,There was an issue,4 - Low,Network,2,Configuration Error,83,1608.8062358571071,Hardware Replacement
Network,Resolved,2023-09-03 02:19:00.000000000,2023-08-02 14:46:00,Charlie Whitherspoon,INC0000000013,employee,India,Fred Luddy,Bud Richman,2023-11-20 13:58:24.005162219,There was an issue,2 - High,Network,1,Hardware Failure,409,35528.20825543934,Restart Service
Inquiry / Help,Resolved,2023-03-21 01:02:44.587646914,2023-08-03 08:39:00,Luke Wilson,INC0000000440,employee,United States,Charlie Whitherspoon,Don Goodliffe,2024-01-23 07:05:32.181816124,There was an issue,3 - Moderate,Inquiry / Help,3,User Error,356,21209.529588345293,User Training
Database,Resolved,2023-07-20 09:47:52.908236069,2023-08-03 16:41:00,Beth Anglin,INC0000000108,system,UK,Howard Johnson,Bud Richman,2023-06-17 06:06:14.854314828,There was an issue,4 - Low,Database,2,Configuration Error,172,5661.0336523703845,Restart Service
Software,Resolved,2023-09-16 11:23:21.172473709,2023-08-03 18:56:00,Luke Wilson,INC0000000006,system,India,Fred Luddy,David Loo,2023-11-24 19:39:37.248766516,There was an issue,1 - Critical,Software,2,Hardware Failure,325,29111.36928843994,Restart Service
Inquiry / Help,Closed,2023-07-11 23:34:29.390060680,2023-08-05 07:39:00,Beth Anglin,INC0000000070,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-06-03 13:13:53.896117331,There was an issue,4 - Low,Inquiry / Help,1,Network Problem,426,16115.895020248796,Apply Patch
Inquiry / Help,Resolved,2023-08-11 16:02:37.684405305,2023-08-06 09:44:00,Howard Johnson,INC0000000031,admin,Australia,Howard Johnson,Don Goodliffe,2023-11-25 13:45:38.979607981,There was an issue,4 - Low,Inquiry / Help,2,Software Bug,222,16759.62794359273,Restart Service
Database,Resolved,2023-08-24 03:28:09.603360173,2023-08-07 02:37:00,Howard Johnson,INC0000000454,system,UK,Fred Luddy,David Loo,2024-02-09 04:30:29.586553971,There was an issue,4 - Low,Database,3,Configuration Error,588,39771.615419129404,Hardware Replacement
Hardware,Closed,2023-11-25 18:11:25.410173561,2023-08-08 09:29:00,Fred Luddy,INC0000000420,employee,India,Fred Luddy,Don Goodliffe,2023-02-08 15:38:00.000000000,There was an issue,3 - Moderate,Hardware,5,Software Bug,992,16364.76520197804,Apply Patch
Database,Closed,2023-06-13 22:57:17.038108358,2023-08-09 04:10:00,Charlie Whitherspoon,INC0000000223,employee,UK,Luke Wilson,Don Goodliffe,2023-09-15 15:54:00.000000000,There was an issue,2 - High,Database,1,Software Bug,213,16031.27671947409,User Training
Hardware,Resolved,2023-11-23 05:26:06.568026419,2023-08-09 04:13:00,Howard Johnson,INC0000000431,employee,United States,Charlie Whitherspoon,David Loo,2023-08-26 15:36:56.981753690,There was an issue,4 - Low,Hardware,5,User Error,488,13237.973853698699,Apply Patch
Hardware,Closed,2023-04-13 19:24:58.346273013,2023-08-09 17:08:00,Beth Anglin,INC0000000126,employee,United States,Luke Wilson,David Loo,2023-09-22 07:03:43.180128742,There was an issue,1 - Critical,Hardware,3,Third-party Service Issue,148,10219.831287796364,Hardware Replacement
Software,Resolved,2023-06-06 08:20:00.000000000,2023-08-10 08:09:00,Luke Wilson,INC0000000314,employee,Australia,Charlie Whitherspoon,ITIL User,2023-01-19 02:40:53.945578841,There was an issue,2 - High,Software,2,Software Bug,744,61216.09701969353,Hardware Replacement
Inquiry / Help,Closed,2023-01-21 03:18:58.590910419,2023-08-11 04:15:00,Beth Anglin,INC0000000243,employee,UK,Fred Luddy,Don Goodliffe,2023-11-29 21:52:24.416389196,There was an issue,3 - Moderate,Inquiry / Help,5,Third-party Service Issue,283,5879.992414155473,Apply Patch
Network,Closed,2023-04-08 07:50:02.291054808,2023-08-11 09:04:00,Charlie Whitherspoon,INC0000000390,system,United States,Howard Johnson,David Loo,2023-12-15 13:12:56.653826436,There was an issue,3 - Moderate,Network,4,Third-party Service Issue,188,12694.513005577035,Configuration Change
Inquiry / Help,Closed,2023-06-25 12:04:04.032337887,2023-08-12 03:28:00,Beth Anglin,INC0000000099,system,United States,Fred Luddy,ITIL User,2023-10-07 04:57:07.243553547,There was an issue,3 - Moderate,Inquiry / Help,1,Hardware Failure,151,3399.092227564157,Configuration Change
Network,Resolved,2023-10-16 11:37:53.443608066,2023-08-12 15:36:00,Charlie Whitherspoon,INC0000000336,employee,United States,Luke Wilson,Bud Richman,2023-06-06 12:59:19.008350345,There was an issue,1 - Critical,Network,1,Configuration Error,361,10868.239719159026,User Training
Software,Closed,2023-10-11 14:36:28.517445744,2023-08-13 08:04:00,Howard Johnson,INC0000000093,employee,Australia,Luke Wilson,Don Goodliffe,2024-01-19 09:54:00.000000000,There was an issue,3 - Moderate,Software,3,Network Problem,882,60732.644080885315,Configuration Change
Network,Resolved,2023-03-17 12:37:48.453885624,2023-08-14 09:58:00,Luke Wilson,INC0000000272,employee,Australia,Beth Anglin,Bud Richman,2023-09-05 02:07:43.113682721,There was an issue,2 - High,Network,3,Third-party Service Issue,828,27415.478310586146,Apply Patch
Inquiry / Help,Resolved,2023-01-22 04:15:55.294347270,2023-08-15 20:03:00,Charlie Whitherspoon,INC0000000228,employee,Australia,Charlie Whitherspoon,Bud Richman,2024-01-03 16:58:25.664592126,There was an issue,3 - Moderate,Inquiry / Help,4,User Error,316,11271.823364031126,User Training
Database,Closed,2023-05-18 20:30:00.000000000,2023-08-16 19:14:00,Fred Luddy,INC0000000432,admin,UK,Howard Johnson,ITIL User,2024-01-26 14:08:14.089327678,There was an issue,3 - Moderate,Database,5,Configuration Error,736,28474.12949040562,Configuration Change
Network,Closed,2023-05-19 09:53:34.982040620,2023-08-17 11:38:00,Howard Johnson,INC0000000030,admin,Canada,Beth Anglin,ITIL User,2023-02-19 05:46:55.363664679,There was an issue,1 - Critical,Network,5,Network Problem,938,93343.51910924482,Software Update
Database,Resolved,2023-05-15 10:38:15.815796741,2023-08-18 10:57:00,Beth Anglin,INC0000000359,employee,UK,Luke Wilson,Don Goodliffe,2023-10-27 01:49:16.402277796,There was an issue,2 - High,Database,3,Configuration Error,197,6873.447839362764,Restart Service
Hardware,Resolved,2023-09-18 08:09:07.717459166,2023-08-19 12:57:00,Howard Johnson,INC0000000374,admin,India,Luke Wilson,ITIL User,2023-11-18 17:10:46.429479768,There was an issue,1 - Critical,Hardware,4,User Error,652,20283.109738340936,Configuration Change
Software,Resolved,2023-12-11 12:52:00.000000000,2023-08-20 08:09:00,Luke Wilson,INC0000000277,system,Australia,Beth Anglin,David Loo,2023-04-29 07:22:13.691497066,There was an issue,3 - Moderate,Software,2,User Error,428,4799.766240054393,Apply Patch
Hardware,Closed,2024-02-01 12:40:26.195788814,2023-08-20 08:38:00,Howard Johnson,INC0000000229,admin,Canada,Beth Anglin,ITIL User,2023-01-22 04:15:55.294347270,There was an issue,4 - Low,Hardware,4,Configuration Error,825,70984.53237398184,Hardware Replacement
Database,Closed,2023-06-20 19:52:27.802682144,2023-08-20 18:16:00,Charlie Whitherspoon,INC0000000308,employee,Australia,Luke Wilson,Bud Richman,2024-01-19 07:24:42.210493722,There was an issue,4 - Low,Database,4,Network Problem,821,42143.15237923239,Software Update
Software,Resolved,2023-08-08 20:25:25.735379947,2023-08-21 07:17:00,Charlie Whitherspoon,INC0000000345,admin,Canada,Charlie Whitherspoon,Bud Richman,2023-08-27 03:03:00.000000000,There was an issue,4 - Low,Software,2,Network Problem,12,246.3237081143209,Software Update
Network,Closed,2023-03-16 11:23:45.848878332,2023-08-21 07:38:00,Howard Johnson,INC0000000017,employee,Australia,Howard Johnson,Bud Richman,2023-12-07 19:08:00.907490315,There was an issue,1 - Critical,Network,1,Configuration Error,834,44612.464209087164,User Training
Software,Resolved,2023-08-20 02:50:00.481014067,2023-08-21 19:11:00,Fred Luddy,INC0000000092,admin,UK,Howard Johnson,ITIL User,2023-01-28 01:28:09.743197803,There was an issue,3 - Moderate,Software,2,User Error,755,52609.86815216586,Configuration Change
Software,Resolved,2023-11-02 21:31:23.289304071,2023-08-22 03:19:00,Howard Johnson,INC0000000458,admin,Canada,Luke Wilson,Don Goodliffe,2023-10-19 02:19:42.091067289,There was an issue,3 - Moderate,Software,2,Network Problem,277,8934.364682703756,Apply Patch
Inquiry / Help,Closed,2023-10-31 10:15:16.995034613,2023-08-24 07:22:00,Beth Anglin,INC0000000244,admin,Australia,Charlie Whitherspoon,ITIL User,2024-01-24 00:12:58.375121721,There was an issue,1 - Critical,Inquiry / Help,1,Software Bug,620,17115.67720244251,User Training
Software,Resolved,2023-08-24 00:59:37.177124394,2023-08-25 12:10:00,Luke Wilson,INC0000000074,system,Australia,Fred Luddy,David Loo,2023-09-15 01:07:41.823641770,There was an issue,2 - High,Software,1,Third-party Service Issue,874,33678.25069996224,User Training
Network,Closed,2023-04-26 13:43:55.256743773,2023-08-25 22:41:00,Beth Anglin,INC0000000072,system,Canada,Fred Luddy,Bud Richman,2023-04-15 04:23:54.073331834,There was an issue,4 - Low,Network,1,Configuration Error,872,32540.71390610841,Hardware Replacement
Database,Closed,2023-07-27 12:30:15.368139102,2023-08-26 03:03:00,Fred Luddy,INC0000000456,employee,Australia,Howard Johnson,ITIL User,2023-03-08 05:56:31.551604697,There was an issue,1 - Critical,Database,2,Configuration Error,320,12302.103279482153,Apply Patch
Inquiry / Help,Closed,2023-06-22 02:33:39.410009617,2023-08-27 21:14:00,Beth Anglin,INC0000000283,admin,United States,Charlie Whitherspoon,Don Goodliffe,2023-12-09 12:22:44.658032345,There was an issue,3 - Moderate,Inquiry / Help,4,Software Bug,226,7102.878530097404,Restart Service
Network,Resolved,2023-05-04 21:57:00.000000000,2023-08-28 16:06:00,Howard Johnson,INC0000000478,admin,Australia,Luke Wilson,Don Goodliffe,2023-11-09 01:36:23.094504250,There was an issue,1 - Critical,Network,3,Network Problem,176,16245.392561085224,User Training
Network,Resolved,2023-10-01 17:15:12.850603255,2023-08-30 15:44:00,Luke Wilson,INC0000000227,admin,India,Howard Johnson,David Loo,2023-08-26 16:09:36.942939516,There was an issue,4 - Low,Network,4,Third-party Service Issue,264,3357.677976028784,Restart Service
Software,Closed,2023-09-23 18:17:16.716938240,2023-08-31 14:06:00,Fred Luddy,INC0000000316,admin,India,Fred Luddy,ITIL User,2023-01-13 03:44:31.383066130,There was an issue,3 - Moderate,Software,4,Software Bug,510,10486.6721267801,Hardware Replacement
Database,Resolved,2023-11-27 06:06:19.635851412,2023-09-02 01:15:00,Howard Johnson,INC0000000499,admin,India,Luke Wilson,David Loo,2023-04-24 09:36:05.775625483,There was an issue,3 - Moderate,Database,5,Hardware Failure,998,45398.5110116843,User Training
Hardware,Closed,2023-08-17 17:26:24.730681330,2023-09-02 02:19:00,Charlie Whitherspoon,INC0000000380,admin,UK,Charlie Whitherspoon,Don Goodliffe,2023-06-05 15:09:00.000000000,There was an issue,2 - High,Hardware,3,Network Problem,458,39220.01675273641,Software Update
Hardware,Closed,2023-01-05 17:54:36.886511927,2023-09-02 03:20:00,Howard Johnson,INC0000000081,system,India,Fred Luddy,Bud Richman,2024-01-08 21:09:04.022142416,There was an issue,2 - High,Hardware,1,User Error,318,27200.83607061955,User Training
Inquiry / Help,Closed,2023-08-25 09:49:36.214757254,2023-09-03 07:56:00,Charlie Whitherspoon,INC0000000101,admin,United States,Charlie Whitherspoon,ITIL User,2023-11-11 22:19:34.292012026,There was an issue,3 - Moderate,Inquiry / Help,5,User Error,92,6775.7625521761765,Restart Service
Network,Closed,2023-02-26 07:36:08.762766728,2023-09-03 12:21:00,Howard Johnson,INC0000000189,system,India,Fred Luddy,Don Goodliffe,2023-10-09 09:10:00.000000000,There was an issue,3 - Moderate,Network,5,Software Bug,861,69965.10289787181,Software Update
Network,Closed,2023-06-05 15:09:00.000000000,2023-09-03 15:48:00,Howard Johnson,INC0000000173,admin,Australia,Fred Luddy,David Loo,2024-01-16 19:13:13.303553162,There was an issue,2 - High,Network,4,Configuration Error,286,26285.156430732364,Restart Service
Database,Resolved,2023-09-13 23:47:44.874072603,2023-09-04 16:00:00,Fred Luddy,INC0000000305,employee,Canada,Howard Johnson,Don Goodliffe,2023-07-06 07:29:00.832219981,There was an issue,2 - High,Database,3,Configuration Error,638,20470.27676765598,User Training
Database,Resolved,2023-06-13 20:13:50.263024628,2023-09-04 18:36:00,Fred Luddy,INC0000000071,system,United States,Fred Luddy,Bud Richman,2023-10-05 14:59:20.783399866,There was an issue,2 - High,Database,2,Network Problem,565,22504.791933812714,Apply Patch
