department,state,percent_complete,priority,target_percentage,category,sys_id,sys_updated_by,metric,end_date,start_date,owner,description
Finance,Completed,56,Medium,54,Cost Reduction,G000264,admin,Expense Ratio,2022-12-12,2022-07-30,Janet Schaffter,"Reduce operational expenses by optimizing energy use across all company facilities, aiming for a 20% cost savings within the next fiscal year."
IT,Completed,52,Low,50,Efficiency,G000265,admin,Employee Turnover Rate,2023-04-30,2022-05-23,Certification User,"Optimize IT support workflow to reduce ticket resolution time by 30%, enabling faster employee issue resolution and increasing overall operational efficiency."
IT,In Progress,9,Critical,79,Employee Satisfaction,G000266,admin,Employee Turnover Rate,2023-03-16,2022-12-02,Thomas Jefferson,Develop and implement a biannual employee satisfaction survey to identify areas of improvement and increase overall employee satisfaction ratings by 20%.
IT,Completed,94,Medium,92,Cost Reduction,G000267,admin,Survey Score,2023-04-07,2022-07-02,Doug Matrisciano,"Introduce automated software to handle invoice processing, aiming for a 20% reduction in operational expenses within the next fiscal year."
Marketing,In Progress,4,High,70,Revenue Growth,G000268,admin,Sales Increase,2022-11-11,2022-04-04,Cary Mccamey,"Develop new regional markets to accelerate the annual revenue growth rate by at least 25%, focusing on expanding customer base in underpenetrated areas."
Marketing,In Progress,49,Critical,92,Efficiency,G000269,admin,Sales Increase,2022-12-06,2022-07-27,Certification User,"Enhance the automation of report generation to save 20 hours per month in manual labor, leading to increased operational efficiency."
Marketing,In Progress,29,Critical,59,Customer Satisfaction,G000270,admin,Employee Turnover Rate,2022-10-24,2022-07-25,Dwain Cuttitta,"Enhance the support ticket system to reduce average response times by 30%, thereby improving overall customer satisfaction ratings."
Marketing,Planned,26,Critical,94,Efficiency,G000271,admin,Sales Increase,2023-05-09,2022-01-22,Kyle Lindauer,"Optimize IT support workflows to improve ticket resolution time by 20%, aiming to reduce average handling time from 30 minutes to 24 minutes."
Marketing,Completed,77,Medium,75,Cost Reduction,G000272,admin,Employee Turnover Rate,2023-02-20,2022-06-19,Jimmie Barninger,Achieve a 20% reduction in operational expenses by optimizing energy usage across all facilities within the fiscal year.
Marketing,In Progress,56,High,79,Customer Satisfaction,G000273,admin,Employee Turnover Rate,2022-09-24,2022-03-23,Tammie Schwartzwalde,Develop a comprehensive customer feedback system to improve satisfaction ratings by 20% over the next year through enhanced service delivery and support.
IT,In Progress,49,Critical,61,Revenue Growth,G000274,admin,Sales Increase,2022-11-20,2022-02-22,Lucius Bagnoli,Increase software product sales by 20% in Q1 through enhanced marketing strategies and expanding to three new international markets.
IT,In Progress,72,High,84,Customer Satisfaction,G000275,admin,Employee Turnover Rate,2023-06-07,2022-11-15,Lucius Bagnoli,Develop an enhanced customer support framework to improve satisfaction ratings by at least 20% over the next fiscal year.
HR,In Progress,6,Critical,60,Employee Satisfaction,G000276,admin,Employee Turnover Rate,2022-12-15,2022-04-04,Bridget Knightly,Launch a quarterly feedback survey to improve employee engagement and satisfaction scores by 20% within the next fiscal year.
IT,Cancelled,8,High,50,Revenue Growth,G000277,admin,Employee Turnover Rate,2023-07-20,2022-01-02,Logan Muhl,Develop and launch a new software product line that aims to increase annual revenues by 20% over the next financial year.
HR,In Progress,0,Critical,70,Revenue Growth,G000278,admin,Employee Turnover Rate,2022-11-28,2022-01-26,Ross Spurger,Develop new partnerships and expand into European markets to increase revenue by 20% over the next financial year.
HR,Completed,78,Critical,76,Employee Satisfaction,G000279,admin,Employee Turnover Rate,2022-07-07,2022-09-06,Concetta Sarchett,"Launch a quarterly employee feedback survey to identify and address key areas of improvement, aiming to boost overall employee satisfaction by 20%."
IT,Completed,53,High,51,Revenue Growth,G000280,admin,Survey Score,2023-06-17,2022-02-06,Denice Nordlinger,Develop and launch a new software product line aimed at increasing company's market share and enhancing annual revenue by 20%.
Finance,Completed,87,Low,85,Cost Reduction,G000281,admin,Employee Turnover Rate,2023-06-12,2022-01-25,Krystle Stika,"Reduce operating expenses by optimizing the HVAC systems across all company facilities, aiming for a 20% cost saving by the end of the fiscal year."
HR,Completed,52,Low,50,Cost Reduction,G000282,admin,Survey Score,2022-07-23,2022-09-01,Eva Seahorn,"Reduce operational expenses by optimizing energy usage across all facilities, targeting a 20% reduction by Q4."
Marketing,Completed,57,Medium,55,Revenue Growth,G000283,admin,Sales Increase,2023-01-13,2022-02-21,Suresh Yekollu,Increase annual revenue by 20% through expanding digital marketing channels and enhancing customer engagement strategies.
Finance,Cancelled,46,Critical,55,Efficiency,G000284,admin,Employee Turnover Rate,2023-03-18,2022-04-09,Sean Bonnet,"Enhance workflow automation to reduce manual data entry by 30%, thereby improving overall process efficiency."
IT,In Progress,66,High,72,Customer Satisfaction,G000285,admin,Expense Ratio,2023-05-14,2022-02-08,Renae Eldrige,Develop a comprehensive training program for customer service representatives to improve customer satisfaction ratings by 20% within the next fiscal year.
HR,In Progress,25,High,80,Efficiency,G000286,admin,Survey Score,2023-04-10,2022-06-02,Peggy Hohlstein,"Enhance the workflow automation tools to decrease the average processing time by 30%, ultimately improving overall team productivity."
Marketing,In Progress,72,Critical,84,Customer Satisfaction,G000287,admin,Expense Ratio,2023-01-15,2022-02-09,Elisa Gracely,Develop a new customer feedback system to improve satisfaction ratings by 20% over the next fiscal year.
HR,In Progress,27,High,65,Employee Satisfaction,G000288,admin,Survey Score,2022-07-19,2022-12-29,Henrietta Cintora,Increase annual employee satisfaction scores by implementing monthly team-building activities and enhancing remote work support infrastructure.
Finance,Completed,69,Medium,67,Efficiency,G000289,admin,Survey Score,2022-09-09,2022-10-11,Peggy Hohlstein,"Enhance the company's IT support system to decrease average ticket resolution time by 30%, aiming to improve overall productivity and user satisfaction."
HR,In Progress,26,Critical,78,Efficiency,G000290,admin,Expense Ratio,2022-08-02,2022-08-10,Antony Thierauf,"Optimize IT support processes to improve response times by 30%, enhancing overall team productivity."
IT,In Progress,33,Critical,87,Customer Satisfaction,G000291,admin,Survey Score,2023-02-02,2022-10-08,Renae Eldrige,Enhance the online customer support portal to improve user experience and increase satisfaction ratings by 20% within the next fiscal year.
HR,Cancelled,29,Critical,93,Employee Satisfaction,G000292,admin,Employee Turnover Rate,2023-03-28,2022-01-16,Elmo Gabouer,Develop and launch a quarterly feedback survey to enhance employee satisfaction and implement improvement actions based on survey results by the end of Q2.
HR,Completed,59,Medium,57,Cost Reduction,G000293,admin,Employee Turnover Rate,2023-01-15,2022-10-26,Eva Seahorn,Reduce overall software licensing costs by 20% through renegotiating vendor contracts and eliminating unused subscriptions.
HR,In Progress,21,High,56,Revenue Growth,G000294,admin,Survey Score,2022-10-04,2022-09-23,Karyn Jinks,Increase annual subscription revenue by 20% through expanded marketing efforts and new customer loyalty programs.
IT,Completed,85,Low,83,Customer Satisfaction,G000295,admin,Expense Ratio,2022-11-21,2022-05-03,SLA Admin,Develop a comprehensive training program for customer service representatives to improve response times and satisfaction ratings by 20% over the next quarter.
HR,Completed,59,High,57,Efficiency,G000296,admin,Sales Increase,2023-06-13,2022-01-18,Jacinto Gawron,Enhance the automation of routine data entry tasks to decrease processing time by 30% by the end of Q4.
HR,Cancelled,31,Critical,82,Employee Satisfaction,G000297,admin,Sales Increase,2023-01-28,2022-01-25,Suresh Yekollu,Develop and launch a quarterly feedback survey to improve employee engagement and satisfaction scores by 20% over the next fiscal year.
IT,In Progress,21,Critical,89,Employee Satisfaction,G000298,admin,Employee Turnover Rate,2023-01-08,2022-03-31,Cristopher Wiget,Develop and launch a new employee engagement program aimed at improving workplace environment and increasing overall employee satisfaction scores by 20% within the next fiscal year.
Finance,In Progress,44,Critical,54,Revenue Growth,G000299,admin,Sales Increase,2022-09-16,2022-10-20,Eva Seahorn,Develop and launch a new software product line aimed at increasing company revenue by 20% within the next fiscal year.
Marketing,In Progress,10,High,70,Revenue Growth,G000300,admin,Survey Score,2022-10-02,2022-01-15,Veronica Radman,Increase annual software subscription sales by 20% through improved marketing strategies and partnership deals.
Finance,In Progress,46,Critical,93,Employee Satisfaction,G000301,admin,Sales Increase,2023-06-30,2022-10-21,Beverley Bunche,"Increase employee satisfaction scores by implementing a flexible work-from-home policy aimed at improving work-life balance, targeting a 20% improvement in annual employee survey results."
Marketing,Completed,66,Critical,64,Efficiency,G000302,admin,Survey Score,2022-09-04,2022-08-28,Karen Flierl,"Optimize IT support workflows to decrease average resolution time by 30%, aiming to improve system user satisfaction and productivity."
Finance,In Progress,67,Critical,82,Employee Satisfaction,G000303,admin,Survey Score,2023-04-29,2022-07-16,Bryant Bouliouris,Increase employee satisfaction scores by launching a comprehensive wellness program aimed at improving work-life balance and providing mental health support.
Marketing,In Progress,26,High,56,Efficiency,G000304,admin,Survey Score,2022-10-30,2022-06-26,Janet Schaffter,"Optimize internal workflow to decrease project execution time by 20%, thereby increasing overall productivity."
IT,Cancelled,73,Critical,98,Customer Satisfaction,G000305,admin,Survey Score,2022-08-14,2022-01-14,Cherie Fuhri,Enhance the customer support portal to improve the satisfaction score by 20% over the next quarter through quicker response times and more accurate problem resolution.
HR,Completed,91,Medium,89,Cost Reduction,G000306,admin,Employee Turnover Rate,2022-11-28,2022-01-02,Christa Bodenschatz,Reduce overall operational expenses by 20% through optimized energy use and renegotiating vendor contracts.
IT,Completed,82,Low,80,Cost Reduction,G000307,admin,Survey Score,2022-11-22,2022-07-18,Vernon Engelman,"Optimize IT asset utilization to decrease overall expenses by 20%, targeting a reduction from $500K to $400K annually."
HR,Completed,79,Low,77,Efficiency,G000308,admin,Survey Score,2023-05-23,2022-07-12,Renae Eldrige,"Optimize IT support processes to reduce average resolution time by 30%, thereby improving overall system efficiency."
HR,Completed,73,Low,71,Employee Satisfaction,G000309,admin,Survey Score,2023-06-08,2022-02-26,Cherie Fuhri,Develop a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing stress-related absenteeism by 20% over the next fiscal year.
HR,In Progress,1,High,88,Efficiency,G000310,admin,Employee Turnover Rate,2022-09-08,2022-08-21,Elaine Renzi,Increase the efficiency of the IT help desk by reducing average issue resolution time by 20% within the next quarter.
Marketing,Completed,66,Low,64,Cost Reduction,G000311,admin,Expense Ratio,2023-05-02,2022-03-07,Thomas Jefferson,"Reduce overall IT spend by optimizing software licenses, aiming for a 20% cost savings over the next fiscal year."
IT,In Progress,49,High,73,Efficiency,G000312,admin,Survey Score,2023-05-02,2022-06-13,Jess Assad,"Optimize IT infrastructure by implementing automated test suites, reducing manual testing hours by 40% within the next fiscal year."
HR,Completed,58,High,56,Cost Reduction,G000313,admin,Survey Score,2022-09-25,2022-05-14,Rich Gleave,"Reduce operational expenditure by optimizing energy consumption across all company facilities, targeting a 20% reduction in Q3 compared to Q2."
HR,Completed,73,High,71,Cost Reduction,G000314,admin,Survey Score,2023-03-20,2022-10-17,Logan Muhl,Optimize IT asset management to decrease overall technology expenditures by 20% over the next fiscal year.
HR,Completed,63,Medium,61,Customer Satisfaction,G000315,admin,Sales Increase,2022-11-07,2022-06-30,Kennith Peto,Develop a new customer feedback system to increase satisfaction scores by at least 20% over the next quarter by enhancing response times and customer service training.
Marketing,In Progress,39,High,64,Efficiency,G000316,admin,Employee Turnover Rate,2022-06-08,2022-07-31,Stephen Seiters,"Optimize the use of IT resources to reduce system downtime by 20%, thereby improving overall operational efficiency."
Marketing,In Progress,23,High,82,Revenue Growth,G000317,admin,Survey Score,2023-03-21,2022-04-30,Mildred Gallegas,Develop and market a new software module aimed at increasing subscription revenue by 20% within the next fiscal year.
HR,In Progress,59,High,83,Efficiency,G000318,admin,Employee Turnover Rate,2022-09-08,2022-07-19,Antony Thierauf,"Enhance the workflow automation system to decrease processing time for customer service tickets by 30%, thereby increasing overall efficiency."
Finance,In Progress,69,Critical,87,Efficiency,G000319,admin,Expense Ratio,2022-12-21,2022-01-09,Terrell Rodda,"Optimize IT system workflows to reduce manual data entry by 30%, thus enhancing overall operational efficiency."
HR,Completed,73,Medium,71,Cost Reduction,G000320,admin,Survey Score,2023-02-28,2022-02-03,Joey Sedore,"Reduce operational expenses by optimizing IT infrastructure, aiming for a 20% cost reduction over the next fiscal year."
Finance,Completed,59,Medium,57,Customer Satisfaction,G000321,admin,Expense Ratio,2022-05-24,2022-04-08,User 1,Develop a new customer feedback system to increase satisfaction scores by 20% over the next 12 months by enhancing response times and resolutions.
Marketing,Completed,79,Low,77,Cost Reduction,G000322,admin,Sales Increase,2022-04-24,2022-02-14,SLA Admin,Optimize IT infrastructure by adopting cloud solutions to achieve a 20% reduction in operational expenses over the next fiscal year.
IT,In Progress,23,High,52,Customer Satisfaction,G000323,admin,Sales Increase,2022-03-23,2022-10-20,Thomas Jefferson,Increase customer satisfaction ratings by 20% by enhancing support response times and implementing a new feedback system.
IT,In Progress,5,Critical,60,Customer Satisfaction,G000324,admin,Sales Increase,2023-05-07,2022-11-12,Dollie Pillitteri,Enhance the customer support portal to improve response times and increase customer satisfaction ratings by 20% over the next quarter.
HR,Completed,54,Medium,52,Customer Satisfaction,G000325,admin,Employee Turnover Rate,2023-07-09,2022-05-17,Zane Sulikowski,"Enhance the customer support portal to improve user experience, aiming to increase customer satisfaction scores by 20% over the next quarter."
Finance,Completed,98,Low,97,Efficiency,G000326,admin,Employee Turnover Rate,2022-10-03,2022-04-13,Rachel Larrison,"Enhance software deployment workflow to reduce manual setup time by 30%, thereby increasing overall project delivery efficiency."
Marketing,Planned,36,High,76,Revenue Growth,G000327,admin,Sales Increase,2023-02-05,2022-12-11,Kathleen Beresnyak,Increase annual subscription sales by 20% through enhanced marketing strategies and new customer incentives.
HR,Completed,64,Critical,62,Efficiency,G000328,admin,Employee Turnover Rate,2023-06-09,2022-01-31,Beverley Bunche,Optimize IT support workflows to achieve a 20% reduction in average ticket resolution time by the end of Q2.
IT,Completed,58,Medium,56,Cost Reduction,G000329,admin,Sales Increase,2023-01-23,2022-07-05,Peggy Hohlstein,"Develop strategies to lower IT expenditure by 20%, focusing on minimizing unnecessary software licenses and negotiating better terms with vendors."
HR,In Progress,50,High,86,Efficiency,G000330,admin,Survey Score,2022-07-22,2022-11-13,Mamie Mcintee,"Enhance the automation of report generation to decrease preparation time by 30%, thereby improving overall staff productivity."
HR,Completed,57,Critical,55,Employee Satisfaction,G000331,admin,Survey Score,2023-02-01,2022-11-07,Mabel Weeden,Launch a quarterly feedback survey to assess employee satisfaction levels and implement at least two recommended improvements based on the survey results each quarter.
Marketing,In Progress,29,High,81,Employee Satisfaction,G000332,admin,Employee Turnover Rate,2022-11-16,2022-09-12,Cherie Fuhri,"Launch a quarterly employee feedback survey to identify and address key areas of concern, aiming to boost overall employee satisfaction scores by 20%."
HR,In Progress,57,High,84,Revenue Growth,G000333,admin,Expense Ratio,2023-04-05,2022-04-30,SLA Admin,Develop and launch a new software product line aimed at small businesses to increase annual revenue by 20%.
Marketing,In Progress,5,High,97,Customer Satisfaction,G000334,admin,Survey Score,2023-01-25,2022-01-12,Maurine Monroy,Enhance the online user interface to improve customer satisfaction ratings by at least 20% in the upcoming quarter.
Marketing,In Progress,5,Critical,94,Efficiency,G000335,admin,Survey Score,2023-02-15,2022-08-26,Pierre Salera,"Increase the efficiency of the IT helpdesk by automating 30% of incoming queries, aiming to reduce response time by half within the next quarter."
IT,Completed,57,High,55,Efficiency,G000336,admin,Survey Score,2023-01-30,2022-10-29,Security Center Data Collection User,"Enhance the IT ticketing system to reduce average resolution time by 20%, aiming to boost overall user satisfaction and operational efficiency."
Marketing,In Progress,43,Critical,69,Employee Satisfaction,G000337,admin,Survey Score,2023-05-02,2022-10-27,Carmel Overfelt,Initiate a quarterly employee feedback survey to increase overall satisfaction ratings by 20% over the next fiscal year.
Marketing,In Progress,11,Critical,62,Customer Satisfaction,G000338,admin,Employee Turnover Rate,2022-10-23,2022-10-10,Vanessa Lewallen,Enhance our technical support response times to achieve a 90% customer satisfaction rate by the end of Q4.
Marketing,Cancelled,35,High,80,Employee Satisfaction,G000339,admin,Expense Ratio,2022-11-05,2022-01-03,Lucas Santellana,"Increase employee satisfaction by implementing a comprehensive wellness program aimed at reducing stress and increasing engagement, measured by improving survey scores by 20% over the next fiscal year."
IT,Completed,69,Medium,67,Cost Reduction,G000340,admin,Survey Score,2022-11-27,2022-08-07,Karen Flierl,Optimize IT infrastructure by implementing cloud-based solutions to achieve 20% reduction in operational costs over the next fiscal year.
Marketing,Completed,57,Critical,55,Revenue Growth,G000341,admin,Survey Score,2023-05-13,2022-05-01,Geri Forness,"Initiate a strategic marketing campaign aimed at expanding our market share, leading to a projected 20% increase in annual revenue."
Finance,In Progress,14,High,81,Efficiency,G000342,admin,Employee Turnover Rate,2022-07-13,2022-03-08,Miquel Demicco,Optimize IT system maintenance schedules to improve operational efficiency by reducing system downtime by 30% over the next fiscal year.
IT,In Progress,25,High,56,Customer Satisfaction,G000343,admin,Survey Score,2023-05-05,2022-04-09,Naomi Greenly,Increase customer satisfaction score by 20% through improved helpdesk response times and personalized service interactions.
HR,Completed,82,Low,80,Customer Satisfaction,G000344,admin,Sales Increase,2023-07-14,2022-04-03,Logan Muhl,Enhance response times on customer service inquiries to achieve a customer satisfaction rating of over 90% within the next fiscal year.
Finance,Completed,82,Medium,81,Cost Reduction,G000345,admin,Survey Score,2022-08-28,2022-10-15,Dwain Cuttitta,Achieve a 10% reduction in operational expenses by optimizing energy usage and renegotiating vendor contracts.
HR,Planned,7,Critical,58,Employee Satisfaction,G000346,admin,Sales Increase,2022-11-07,2022-05-06,Miquel Demicco,Launch monthly feedback sessions and improve workplace amenities to enhance employee satisfaction scores by 20% over the next fiscal year.
Marketing,Completed,82,Medium,82,Employee Satisfaction,G000347,admin,Expense Ratio,2023-03-02,2022-02-02,Mara Vanderzwaag,Launch an employee feedback program aimed at improving workplace conditions and increasing overall job satisfaction by 20% over the next fiscal year.
HR,Completed,76,Medium,74,Customer Satisfaction,G000348,admin,Sales Increase,2023-02-22,2022-05-20,Mara Vanderzwaag,Enhance the customer support portal to improve user experience and increase customer satisfaction ratings by 20% over the next quarter.
IT,Completed,66,Medium,64,Customer Satisfaction,G000349,admin,Sales Increase,2022-09-01,2022-03-11,Carmel Overfelt,"Develop a new customer feedback system to increase satisfaction scores by 20% over the next fiscal year, ensuring a faster and more personalized response to customer inquiries."
Marketing,Completed,66,Low,64,Cost Reduction,G000350,admin,Employee Turnover Rate,2023-07-06,2022-04-05,Peggy Hohlstein,"Reduce operational expenses by optimizing staffing levels and energy usage, aiming for a 20% cost reduction within the next fiscal year."
Finance,Planned,33,Critical,77,Cost Reduction,G000351,admin,Sales Increase,2022-10-07,2022-06-20,Devon Teston,"Reduce operational expenditures by optimizing energy usage across all company facilities, aiming for a 20% cost savings within the next fiscal year."
HR,In Progress,91,Low,95,Cost Reduction,G000352,admin,Survey Score,2023-06-09,2022-09-07,Problem Administrator,Reduce overall software licensing expenses by 20% through renegotiation of key contracts and elimination of redundant tools.
HR,Completed,69,Medium,67,Revenue Growth,G000353,admin,Expense Ratio,2022-04-14,2022-05-19,Denice Nordlinger,"Develop and launch a new service line aimed at increasing annual revenue by 20%, focusing on high-demand markets."
IT,In Progress,83,Medium,97,Cost Reduction,G000354,admin,Survey Score,2023-04-22,2022-06-14,Bridget Knightly,"Reduce overall IT infrastructure expenses by optimizing cloud storage usage, aiming for a 20% cost reduction compared to the previous fiscal year."
HR,Completed,85,Medium,85,Revenue Growth,G000355,admin,Expense Ratio,2022-10-22,2022-06-02,Sophie Langner,Increase annual sales revenue by 20% through strategic marketing campaigns and expansion into new markets.
Finance,In Progress,96,Medium,98,Efficiency,G000356,admin,Survey Score,2023-02-13,2022-01-01,Suresh Yekollu,"Enhance the workflow automation tools to increase process efficiency by 20%, reducing the average task completion time from 5 days to 4 days."
Marketing,In Progress,92,Low,97,Efficiency,G000357,admin,Expense Ratio,2022-11-10,2022-10-12,Concetta Sarchett,"Optimize IT support workflows to reduce resolution time for internal tickets by 30%, enhancing overall operational efficiency."
HR,Completed,70,High,68,Employee Satisfaction,G000358,admin,Expense Ratio,2023-07-03,2022-08-14,Kennith Peto,Increase employee satisfaction scores by 20% by the end of Q4 through improved work-life balance initiatives and enhanced internal communication strategies.
HR,Planned,9,Critical,82,Customer Satisfaction,G000359,admin,Sales Increase,2023-03-17,2022-05-10,Karyn Jinks,Develop a comprehensive feedback system to enhance user experience and improve customer satisfaction ratings by 20% over the next 12 months.
HR,Completed,67,Low,65,Cost Reduction,G000360,admin,Employee Turnover Rate,2023-05-24,2022-06-19,Ross Spurger,"Reduce operational expenses by optimizing energy usage across all corporate facilities, targeting a 20% cost savings within the next fiscal year."
Marketing,Completed,55,Low,53,Customer Satisfaction,G000361,admin,Expense Ratio,2022-10-07,2022-09-09,Lora Lendor,Develop and launch a new customer feedback system by Q3 to improve overall satisfaction ratings by 20%.
Marketing,In Progress,72,High,83,Revenue Growth,G000362,admin,Expense Ratio,2023-05-08,2022-07-19,Rosalia Kennemur,Increase annual sales revenue by 20% through strategic marketing campaigns and expanding into new regional markets.
HR,Completed,72,Critical,70,Efficiency,G000363,admin,Sales Increase,2022-12-08,2022-06-12,Frankie Morein,"Optimize project management workflows to shorten delivery times by 20%, thereby increasing overall team efficiency."
HR,In Progress,23,High,79,Efficiency,G000364,admin,Employee Turnover Rate,2023-01-20,2022-11-21,Melinda Carleton,"Increase the automation of routine data entry tasks to improve process efficiency by 30%, reducing manual labor hours significantly."
Marketing,In Progress,57,Critical,86,Customer Satisfaction,G000365,admin,Employee Turnover Rate,2023-02-07,2022-03-17,Mabel Weeden,Develop a new customer feedback system to increase overall satisfaction ratings by 20% within the next fiscal year.
IT,Cancelled,32,High,78,Revenue Growth,G000366,admin,Expense Ratio,2022-07-31,2022-06-29,Savannah Kesich,"Develop and launch a new premium service line to increase annual revenue by 20%, targeting a market segment identified through recent consumer trend analysis."
Finance,Completed,57,Critical,55,Customer Satisfaction,G000367,admin,Sales Increase,2023-02-12,2022-04-01,Kathleen Beresnyak,Develop a comprehensive training program for customer service representatives to improve satisfaction scores by 20% over the next fiscal year.
IT,In Progress,33,High,96,Revenue Growth,G000368,admin,Survey Score,2023-06-09,2022-11-08,Marcelino Maggs,"Develop new regional markets for our flagship product, aiming to increase revenue by 20% within the next fiscal year."
IT,In Progress,3,High,60,Customer Satisfaction,G000369,admin,Expense Ratio,2022-10-26,2022-08-22,Henrietta Cintora,Develop a comprehensive customer feedback system to enhance service quality and improve overall customer satisfaction ratings by 20% within the next fiscal year.
IT,Completed,55,Low,53,Customer Satisfaction,G000370,admin,Employee Turnover Rate,2022-09-10,2022-03-22,Vanessa Lewallen,Develop a new customer feedback system to improve overall satisfaction ratings by 20% within the next fiscal year.
HR,Cancelled,7,Critical,68,Employee Satisfaction,G000371,admin,Employee Turnover Rate,2022-12-04,2022-09-18,Alfonso Griglen,Develop a comprehensive employee wellness program aimed at increasing overall satisfaction rates by 20% through improved work-life balance and mental health support.
Finance,Completed,58,Low,56,Cost Reduction,G000372,admin,Sales Increase,2023-04-30,2022-11-01,Darren Merlin,"Reduce operating expenses by optimizing energy usage across all company facilities, aiming for a 20% cost saving within the next fiscal year."
Finance,In Progress,7,Critical,83,Efficiency,G000373,admin,Employee Turnover Rate,2023-01-12,2022-02-02,Devon Teston,"Optimize workflow automation to increase processing efficiency by 30%, reducing manual task handling time from 5 hours to 3.5 hours per day."
HR,In Progress,57,High,58,Cost Reduction,G000374,admin,Employee Turnover Rate,2023-06-22,2022-11-12,Jacinto Gawron,Optimize operational workflows to achieve a 20% reduction in overhead costs within the next fiscal year.
IT,Completed,65,Low,63,Cost Reduction,G000375,admin,Employee Turnover Rate,2023-06-13,2022-12-14,Cristopher Wiget,Achieve a 20% reduction in operational expenses by optimizing supply chain logistics and renegotiating vendor contracts.
HR,Planned,17,Critical,85,Revenue Growth,G000376,admin,Sales Increase,2022-10-26,2022-10-19,Jess Assad,Expand our market outreach to increase the quarterly revenue by 20% through strategic advertising and improving online sales platforms.
HR,In Progress,55,High,78,Revenue Growth,G000377,admin,Survey Score,2022-09-20,2022-08-30,Vanessa Lewallen,Increase annual software subscription renewals by 20% through enhanced customer support and engagement initiatives.
IT,In Progress,94,Medium,98,Cost Reduction,G000378,admin,Sales Increase,2022-11-22,2022-10-21,Sandra Graen,Reduce IT support costs by 20% through the adoption of automated response systems and optimization of service staff deployments.
IT,In Progress,25,High,78,Employee Satisfaction,G000379,admin,Sales Increase,2022-10-24,2022-07-07,Mamie Mcintee,Increase the annual employee satisfaction survey score by 25% through improved communication and engagement initiatives.
Marketing,Completed,67,Low,65,Efficiency,G000380,admin,Employee Turnover Rate,2022-06-12,2022-12-21,Kathleen Beresnyak,"Enhance the customer service response system to improve resolution efficiency by 30%, reducing average handling time from 5 minutes to 3.5 minutes."
Finance,Completed,66,Low,64,Cost Reduction,G000381,admin,Employee Turnover Rate,2023-09-16,2022-04-28,Gisela Kosicki,"Reduce overall operational costs by enhancing efficiency in energy usage across all company facilities, targeting a 20% cost saving within the next fiscal year."
Marketing,In Progress,41,Critical,52,Revenue Growth,G000382,admin,Expense Ratio,2022-12-09,2022-12-30,Jimmie Barninger,"Develop new digital marketing strategies to increase product sales by 20% within the next fiscal year, expanding into three additional international markets."
HR,In Progress,60,Critical,86,Employee Satisfaction,G000383,admin,Sales Increase,2023-06-12,2022-05-17,Elisa Gracely,Enhance internal communication tools to improve employee satisfaction scores by over 20% in the next annual survey.
IT,In Progress,32,High,67,Employee Satisfaction,G000384,admin,Sales Increase,2023-04-18,2022-11-13,Kyle Lindauer,Launch a quarterly employee feedback survey to identify satisfaction trends and improve workplace engagement by at least 20%.
Finance,Completed,77,Medium,75,Cost Reduction,G000385,admin,Survey Score,2023-05-11,2022-05-28,Vanessa Lewallen,"Reduce overall IT spending by optimizing software licensing agreements, aiming for a 20% cost reduction within the next fiscal year."
HR,Completed,62,Low,60,Cost Reduction,G000386,admin,Survey Score,2023-05-03,2022-11-20,Mamie Mcintee,"Reduce overall IT spending by optimizing software licensing agreements, targeting a 20% cost saving by Q4."
Finance,Completed,70,Medium,68,Cost Reduction,G000387,admin,Expense Ratio,2023-02-07,2022-09-01,Van Leanen,Optimize vendor contract negotiations to achieve a 20% reduction in software licensing expenses over the next fiscal year.
Finance,Completed,64,Medium,62,Customer Satisfaction,G000388,admin,Expense Ratio,2022-12-03,2022-03-08,Mildred Gallegas,Enhance the customer support portal to improve user experience and increase customer satisfaction ratings by 20% over the next quarter.
Marketing,In Progress,30,Critical,70,Revenue Growth,G000389,admin,Expense Ratio,2022-09-25,2022-09-26,Maurine Monroy,Increase annual sales revenue by 20% through expanding into the Asian market and launching three new product lines.
Marketing,Completed,55,High,53,Employee Satisfaction,G000390,admin,Expense Ratio,2023-03-10,2022-09-20,Lucius Bagnoli,Develop a comprehensive employee wellness program aimed at increasing overall employee satisfaction scores by 20% over the next fiscal year.
HR,In Progress,78,Critical,93,Employee Satisfaction,G000391,admin,Expense Ratio,2023-09-25,2022-09-14,Henrietta Cintora,Initiate a quarterly team-building program to enhance employee satisfaction and reduce turnover by 20%.
Marketing,Cancelled,40,High,78,Customer Satisfaction,G000392,admin,Sales Increase,2022-11-12,2022-02-17,Tammie Schwartzwalde,Enhance the customer service interface to improve user satisfaction scores by at least 20% over the next 12 months.
Marketing,Completed,61,Medium,59,Cost Reduction,G000393,admin,Expense Ratio,2023-03-04,2022-03-31,Tammie Schwartzwalde,Develop and execute a strategy to consolidate vendor contracts resulting in a 20% reduction in operational expenses over the next fiscal year.
IT,In Progress,30,High,57,Customer Satisfaction,G000394,admin,Sales Increase,2022-12-03,2022-01-06,Password Admin,Develop a new customer feedback system to enhance support services and improve customer satisfaction ratings by 20% over the next fiscal year.
Marketing,In Progress,74,Critical,77,Cost Reduction,G000395,admin,Expense Ratio,2022-12-25,2022-11-11,Zane Sulikowski,Reduce corporate travel expenditure by 20% through the adoption of a new travel policy focusing on advance bookings and preferred vendor usage.
