category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority
Inquiry / Help,Closed,2023-08-09 03:19:49.048508681,2023-07-22 22:39:00,Howard Johnson,INC0000000238,employee,United States,Beth Anglin,Bud Richman,2023-08-09 03:19:49.048508681,Need help with software installation,Service Desk,3 - Moderate
Hardware,Closed,2023-08-04 04:46:10.581661057,2023-07-22 23:48:00,Howard Johnson,INC0000000239,admin,Australia,Beth Anglin,Bud Richman,2023-08-04 04:46:10.581661057,Issue with Printer546 in Australia,Hardware,2 - High
Network,Closed,2023-07-31 00:33:13.437296119,2023-07-23 08:50:00,Beth Anglin,INC0000000240,admin,Australia,Howard Johnson,Don Goodliffe,2023-07-31 00:33:13.437296119,Network router behaving erratically,Network,3 - Moderate
Network,Resolved,2023-07-25 09:09:00.000000000,2023-07-24 09:09:00,Howard Johnson,INC0000000241,admin,India,Luke Wilson,Don Goodliffe,2023-07-25 09:09:00.000000000,Slow internet connectivity issues,Network,3 - Moderate
Network,Resolved,2023-07-31 04:33:45.303280610,2023-07-24 09:13:00,Beth Anglin,INC0000000242,admin,UK,Charlie Whitherspoon,Don Goodliffe,2023-07-31 04:33:45.303280610,Unable to connect to VPN,Network,2 - High
Hardware,Resolved,2023-08-11 14:17:08.329647264,2023-07-25 08:08:00,Beth Anglin,INC0000000243,system,Canada,Fred Luddy,David Loo,2023-08-11 14:17:08.329647264,Motherboard failure on company desktop,Hardware,2 - High
Software,Closed,2023-08-02 12:16:09.558065832,2023-07-25 20:00:00,Howard Johnson,INC0000000244,admin,Australia,Charlie Whitherspoon,ITIL User,2023-08-02 12:16:09.558065832,Error 404 on Software789,Software,2 - High
Inquiry / Help,Closed,2023-08-12 18:27:47.789421821,2023-07-26 06:53:00,Charlie Whitherspoon,INC0000000245,admin,Canada,Charlie Whitherspoon,Bud Richman,2023-08-12 18:27:47.789421821,Need assistance with software installation,Service Desk,3 - Moderate
Hardware,Closed,2023-08-02 04:32:04.560171158,2023-07-26 17:09:00,Beth Anglin,INC0000000246,system,Australia,Howard Johnson,David Loo,2023-08-02 04:32:04.560171158,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-07 06:13:36.125124469,2023-07-27 04:40:00,Howard Johnson,INC0000000247,system,Australia,Luke Wilson,Don Goodliffe,2023-08-07 06:13:36.125124469,Printer546 is not working,Hardware,2 - High
Hardware,Closed,2023-08-08 02:22:19.738512734,2023-07-27 08:18:00,Charlie Whitherspoon,INC0000000248,system,UK,Charlie Whitherspoon,Don Goodliffe,2023-08-08 02:22:19.738512734,UK laptop malfunctioning,Hardware,2 - High
Network,Closed,2023-08-08 20:25:25.735379947,2023-07-27 19:21:00,Fred Luddy,INC0000000249,system,United States,Beth Anglin,Bud Richman,2023-08-08 20:25:25.735379947,Network outage in United States office,Network,1 - Critical
Inquiry / Help,Closed,2023-08-04 22:43:36.252615961,2023-07-28 19:29:00,Charlie Whitherspoon,INC0000000250,admin,Canada,Luke Wilson,ITIL User,2023-08-04 22:43:36.252615961,Need assistance with VPN setup,Service Desk,3 - Moderate
Hardware,Closed,2023-08-07 18:20:23.668968040,2023-07-29 10:15:00,Luke Wilson,INC0000000251,employee,Australia,Luke Wilson,Don Goodliffe,2023-08-07 18:20:23.668968040,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-08-02 05:21:25.991706511,2023-07-29 11:39:00,Charlie Whitherspoon,INC0000000252,employee,Australia,Howard Johnson,ITIL User,2023-08-02 05:21:25.991706511,Printer error on Printer546,Hardware,2 - High
Software,Closed,2023-08-03 13:35:26.483807424,2023-07-30 09:49:00,Beth Anglin,INC0000000253,admin,Australia,Beth Anglin,David Loo,2023-08-03 13:35:26.483807424,MySQL database connection error on server AU120,Software,2 - High
Software,Closed,2023-08-11 16:02:37.684405305,2023-07-30 09:52:00,Fred Luddy,INC0000000254,employee,Australia,Charlie Whitherspoon,ITIL User,2023-08-11 16:02:37.684405305,Unable to update software on local machine,Software,2 - High
Hardware,Closed,2023-08-13 06:44:24.424288482,2023-07-30 17:08:00,Charlie Whitherspoon,INC0000000255,employee,UK,Beth Anglin,ITIL User,2023-08-13 06:44:24.424288482,Broken server needs replacement,Hardware,2 - High
Hardware,Closed,2023-08-02 05:44:00.000000000,2023-08-01 05:44:00,Fred Luddy,INC0000000256,employee,Australia,Beth Anglin,ITIL User,2023-08-02 05:44:00.000000000,Printer546 is not functioning correctly,Hardware,2 - High
Hardware,Resolved,2023-08-07 18:21:44.544015394,2023-08-01 11:34:00,Beth Anglin,INC0000000257,employee,Australia,Luke Wilson,David Loo,2023-08-07 18:21:44.544015394,Printer322 is malfunctioning in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-10 22:01:38.300764703,2023-08-01 13:22:00,Beth Anglin,INC0000000258,employee,Australia,Luke Wilson,David Loo,2023-08-10 22:01:38.300764703,Printer420 is not responding,Hardware,1 - Critical
Hardware,Resolved,2023-08-09 07:59:01.326042131,2023-08-02 07:41:00,Luke Wilson,INC0000000259,admin,Australia,Howard Johnson,Bud Richman,2023-08-09 07:59:01.326042131,Printer327 has stopped working in Australia,Hardware,1 - Critical
Hardware,Closed,2023-08-05 08:06:09.262346306,2023-08-02 14:46:00,Luke Wilson,INC0000000260,employee,India,Charlie Whitherspoon,Don Goodliffe,2023-08-05 08:06:09.262346306,Monitor display intermittent failure,Hardware,2 - High
Network,Closed,2023-08-04 08:39:00.000000000,2023-08-03 08:39:00,Fred Luddy,INC0000000261,employee,India,Howard Johnson,Don Goodliffe,2023-08-04 08:39:00.000000000,Unable to connect to server,Network,2 - High
Hardware,Resolved,2023-08-17 04:45:43.185739101,2023-08-03 16:41:00,Beth Anglin,INC0000000262,employee,Australia,Beth Anglin,Don Goodliffe,2023-08-17 04:45:43.185739101,Printer546 is not printing in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-04 18:56:00.000000000,2023-08-03 18:56:00,Fred Luddy,INC0000000263,employee,Australia,Luke Wilson,Don Goodliffe,2023-08-04 18:56:00.000000000,Printer789 is malfunctioning in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-14 09:36:00.295254938,2023-08-05 07:39:00,Howard Johnson,INC0000000264,admin,Australia,Charlie Whitherspoon,ITIL User,2023-08-14 09:36:00.295254938,Printer error at Printer546 in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-07 09:44:00.000000000,2023-08-06 09:44:00,Beth Anglin,INC0000000265,employee,Australia,Howard Johnson,Bud Richman,2023-08-07 09:44:00.000000000,Printer546 in Australia location has a paper jam,Hardware,2 - High
Hardware,Closed,2023-08-15 14:03:57.099952165,2023-08-07 02:37:00,Howard Johnson,INC0000000266,employee,Australia,Charlie Whitherspoon,ITIL User,2023-08-15 14:03:57.099952165,Printer467 is out of service!,Hardware,2 - High
Hardware,Closed,2023-08-15 21:18:27.557222760,2023-08-08 09:29:00,Charlie Whitherspoon,INC0000000267,admin,Australia,Howard Johnson,Don Goodliffe,2023-08-15 21:18:27.557222760,Issue with Printer546 in Australia,Hardware,3 - Moderate
Hardware,Closed,2023-08-28 16:17:39.682367202,2023-08-09 04:10:00,Charlie Whitherspoon,INC0000000268,admin,Australia,Howard Johnson,Don Goodliffe,2023-08-28 16:17:39.682367202,Printer678 issue in Australia,Hardware,2 - High
Network,Closed,2023-08-10 06:30:11.927271898,2023-08-09 04:13:00,Charlie Whitherspoon,INC0000000269,admin,United States,Howard Johnson,ITIL User,2023-08-10 06:30:11.927271898,Unable to connect to VPN,Network,2 - High
Hardware,Closed,2023-08-19 00:17:36.874122878,2023-08-09 17:08:00,Luke Wilson,INC0000000270,system,Australia,Fred Luddy,Bud Richman,2023-08-19 00:17:36.874122878,Printer789 is not responding,Hardware,1 - Critical
Inquiry / Help,Closed,2023-08-20 02:50:00.481014067,2023-08-10 08:09:00,Fred Luddy,INC0000000271,employee,UK,Fred Luddy,ITIL User,2023-08-20 02:50:00.481014067,Need assistance with IT inquiry,Service Desk,3 - Moderate
Hardware,Closed,2023-08-24 03:39:08.172397201,2023-08-11 04:15:00,Luke Wilson,INC0000000272,employee,Australia,Fred Luddy,ITIL User,2023-08-24 03:39:08.172397201,Printer546 is not printing in Australia,Hardware,1 - Critical
Software,Closed,2023-08-13 06:41:18.526534971,2023-08-11 09:04:00,Charlie Whitherspoon,INC0000000273,admin,UK,Beth Anglin,David Loo,2023-08-13 06:41:18.526534971,Software Issue: Error while loading application on VM,Software,3 - Moderate
Hardware,Closed,2023-08-18 23:36:22.191419882,2023-08-12 03:28:00,Luke Wilson,INC0000000274,system,Australia,Charlie Whitherspoon,David Loo,2023-08-18 23:36:22.191419882,Printer546 is not working,Hardware,3 - Moderate
Hardware,Resolved,2023-08-13 15:36:00.000000000,2023-08-12 15:36:00,Howard Johnson,INC0000000275,admin,Australia,Fred Luddy,Bud Richman,2023-08-13 15:36:00.000000000,Printer546 is not functioning in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-19 05:22:39.220366354,2023-08-13 08:04:00,Luke Wilson,INC0000000276,system,Australia,Beth Anglin,Don Goodliffe,2023-08-19 05:22:39.220366354,Printer546 is not working,Hardware,1 - Critical
Hardware,Resolved,2023-08-17 17:26:24.730681330,2023-08-14 09:58:00,Howard Johnson,INC0000000277,system,Australia,Beth Anglin,ITIL User,2023-08-17 17:26:24.730681330,Printer546 Error in Australia,Hardware,3 - Moderate
Hardware,Resolved,2023-08-21 08:48:34.847604103,2023-08-15 20:03:00,Beth Anglin,INC0000000278,employee,Australia,Fred Luddy,ITIL User,2023-08-21 08:48:34.847604103,Printer546 is malfunctioning,Hardware,1 - Critical
Hardware,Closed,2023-08-22 04:24:28.410211673,2023-08-16 19:14:00,Fred Luddy,INC0000000279,system,Australia,Beth Anglin,Don Goodliffe,2023-08-22 04:24:28.410211673,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-25 09:49:36.214757254,2023-08-17 11:38:00,Luke Wilson,INC0000000280,admin,Australia,Charlie Whitherspoon,David Loo,2023-08-25 09:49:36.214757254,Printer issue with Printer546,Hardware,1 - Critical
Hardware,Closed,2023-08-19 10:57:00.000000000,2023-08-18 10:57:00,Fred Luddy,INC0000000281,admin,Australia,Charlie Whitherspoon,ITIL User,2023-08-19 10:57:00.000000000,Issue with Printer546,Hardware,1 - Critical
Database,Closed,2023-08-23 19:40:27.266944172,2023-08-19 12:57:00,Howard Johnson,INC0000000282,system,UK,Howard Johnson,Bud Richman,2023-08-23 19:40:27.266944172,Connection issue with UK_DB47 Database,Database,2 - High
Hardware,Closed,2023-08-24 00:59:37.177124394,2023-08-20 08:09:00,Charlie Whitherspoon,INC0000000283,employee,Australia,Howard Johnson,David Loo,2023-08-24 00:59:37.177124394,Printer678 malfunctioning in Australia,Hardware,2 - High
Hardware,Resolved,2023-08-26 09:29:01.912064757,2023-08-20 08:38:00,Fred Luddy,INC0000000284,employee,Australia,Beth Anglin,ITIL User,2023-08-26 09:29:01.912064757,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-08-24 03:28:09.603360173,2023-08-20 18:16:00,Luke Wilson,INC0000000285,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-08-24 03:28:09.603360173,Printer546 is failing,Hardware,1 - Critical
Inquiry / Help,Closed,2023-08-26 15:36:56.981753690,2023-08-21 07:17:00,Howard Johnson,INC0000000286,admin,India,Fred Luddy,Bud Richman,2023-08-26 15:36:56.981753690,Need help with software installation,Service Desk,3 - Moderate
Hardware,Closed,2023-09-05 02:07:43.113682721,2023-08-21 07:38:00,Howard Johnson,INC0000000287,admin,United States,Howard Johnson,David Loo,2023-09-05 02:07:43.113682721,Hardware issue with the CPU overheating,Hardware,1 - Critical
Database,Resolved,2023-08-22 19:11:00.000000000,2023-08-21 19:11:00,Charlie Whitherspoon,INC0000000288,employee,UK,Beth Anglin,David Loo,2023-08-22 19:11:00.000000000,Error detected in Database system,Database,1 - Critical
Network,Closed,2023-08-26 16:09:36.942939516,2023-08-22 03:19:00,Fred Luddy,INC0000000289,admin,Australia,Beth Anglin,Bud Richman,2023-08-26 16:09:36.942939516,"Network connection issue, Australia",Network,2 - High
Hardware,Closed,2023-08-25 07:22:00.000000000,2023-08-24 07:22:00,Luke Wilson,INC0000000290,admin,Australia,Charlie Whitherspoon,David Loo,2023-08-25 07:22:00.000000000,Printer546 is offline,Hardware,2 - High
Hardware,Closed,2023-09-03 18:58:33.803118210,2023-08-25 12:10:00,Fred Luddy,INC0000000291,admin,Australia,Howard Johnson,David Loo,2023-09-03 18:58:33.803118210,Printer489 has a paper jam,Hardware,2 - High
Network,Closed,2023-08-30 14:14:08.283969923,2023-08-25 22:41:00,Charlie Whitherspoon,INC0000000292,employee,UK,Luke Wilson,Bud Richman,2023-08-30 14:14:08.283969923,Losing connectivity frequently,Network,2 - High
Database,Resolved,2023-08-27 03:03:00.000000000,2023-08-26 03:03:00,Beth Anglin,INC0000000293,admin,UK,Luke Wilson,ITIL User,2023-08-27 03:03:00.000000000,Issue with SQL Server783,Database,2 - High
Database,Closed,2023-08-30 13:49:54.648995923,2023-08-27 21:14:00,Fred Luddy,INC0000000294,system,Canada,Fred Luddy,Don Goodliffe,2023-08-30 13:49:54.648995923,Unable to connect to Database DB4434,Database,2 - High
Database,Closed,2023-09-01 14:19:29.165134519,2023-08-28 16:06:00,Fred Luddy,INC0000000295,employee,Australia,Luke Wilson,ITIL User,2023-09-01 14:19:29.165134519,Database error on SQL server,Database,2 - High
Hardware,Closed,2023-08-31 15:44:00.000000000,2023-08-30 15:44:00,Fred Luddy,INC0000000296,system,Australia,Howard Johnson,ITIL User,2023-08-31 15:44:00.000000000,Printer546 is not working,Hardware,1 - Critical
Hardware,Closed,2023-09-07 23:02:26.238518168,2023-08-31 14:06:00,Luke Wilson,INC0000000297,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-07 23:02:26.238518168,Printer392 is constantly jamming,Hardware,2 - High
Hardware,Resolved,2023-09-07 09:17:08.466232846,2023-09-02 01:15:00,Beth Anglin,INC0000000298,employee,Australia,Fred Luddy,ITIL User,2023-09-07 09:17:08.466232846,Printer786 malfunctioning,Hardware,1 - Critical
Hardware,Closed,2023-09-03 02:19:00.000000000,2023-09-02 02:19:00,Howard Johnson,INC0000000299,employee,India,Luke Wilson,David Loo,2023-09-03 02:19:00.000000000,Issue with motherboard in workstation DSK789,Hardware,2 - High
Software,Resolved,2023-09-11 18:47:05.423433239,2023-09-02 03:20:00,Luke Wilson,INC0000000300,system,UK,Fred Luddy,Bud Richman,2023-09-11 18:47:05.423433239,Error with billing software,Software,2 - High
Hardware,Closed,2023-09-14 16:03:56.241021820,2023-09-03 07:56:00,Charlie Whitherspoon,INC0000000301,system,Australia,Howard Johnson,ITIL User,2023-09-14 16:03:56.241021820,Printer567 is not responding,Hardware,2 - High
Hardware,Closed,2023-09-13 05:14:51.293532720,2023-09-03 12:21:00,Charlie Whitherspoon,INC0000000302,employee,Australia,Fred Luddy,Bud Richman,2023-09-13 05:14:51.293532720,Printer546 - printing issue in Australia,Hardware,2 - High
Hardware,Closed,2023-09-13 13:44:32.848563603,2023-09-03 15:48:00,Fred Luddy,INC0000000303,system,India,Howard Johnson,David Loo,2023-09-13 13:44:32.848563603,Bad sector on Hard Disk in desktop model ID E0395,Hardware,3 - Moderate
Hardware,Resolved,2023-09-16 03:46:06.609216047,2023-09-04 16:00:00,Fred Luddy,INC0000000304,admin,Australia,Luke Wilson,Bud Richman,2023-09-16 03:46:06.609216047,Printer failure on Printer546,Hardware,1 - Critical
Hardware,Closed,2023-09-15 01:07:41.823641770,2023-09-04 18:36:00,Luke Wilson,INC0000000305,system,UK,Charlie Whitherspoon,ITIL User,2023-09-15 01:07:41.823641770,Issue with desktop workstation 3F45,Hardware,2 - High
Hardware,Closed,2023-09-13 23:47:44.874072603,2023-09-06 12:24:00,Luke Wilson,INC0000000306,admin,United States,Charlie Whitherspoon,Don Goodliffe,2023-09-13 23:47:44.874072603,Server123 has crashed,Hardware,1 - Critical
Network,Resolved,2023-09-13 04:40:34.280556892,2023-09-07 03:40:00,Howard Johnson,INC0000000307,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-13 04:40:34.280556892,Network outage in Australia,Network,1 - Critical
Database,Resolved,2023-09-20 04:57:50.969058643,2023-09-07 17:44:00,Luke Wilson,INC0000000308,employee,United States,Charlie Whitherspoon,ITIL User,2023-09-20 04:57:50.969058643,Unable to access client database on Oracle,Database,2 - High
Hardware,Resolved,2023-09-13 00:09:56.020598186,2023-09-08 07:01:00,Luke Wilson,INC0000000309,system,Australia,Howard Johnson,Bud Richman,2023-09-13 00:09:56.020598186,Printer546 in Australia is not working,Hardware,2 - High
Hardware,Resolved,2023-09-13 01:47:32.680016461,2023-09-08 17:14:00,Howard Johnson,INC0000000310,admin,Canada,Beth Anglin,Bud Richman,2023-09-13 01:47:32.680016461,Workstation CPU Overheating,Hardware,2 - High
Hardware,Resolved,2023-09-17 17:36:33.312203552,2023-09-11 18:57:00,Beth Anglin,INC0000000311,admin,Australia,Beth Anglin,Don Goodliffe,2023-09-17 17:36:33.312203552,Issue with Printer546 in Australia,Hardware,2 - High
Database,Closed,2023-09-22 23:55:17.560026848,2023-09-12 15:43:00,Luke Wilson,INC0000000312,system,United States,Howard Johnson,Don Goodliffe,2023-09-22 23:55:17.560026848,Database Error ID382 - System Slowdown,Database,2 - High
Database,Closed,2023-09-18 08:09:07.717459166,2023-09-13 03:14:00,Howard Johnson,INC0000000313,system,UK,Charlie Whitherspoon,ITIL User,2023-09-18 08:09:07.717459166,Error loading Database267 in the UK office,Database,2 - High
Hardware,Resolved,2023-09-18 19:43:08.637023310,2023-09-13 23:38:00,Luke Wilson,INC0000000314,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-09-18 19:43:08.637023310,Printer546 is malfunctioning in Australia,Hardware,2 - High
Hardware,Closed,2023-09-28 01:25:23.074702845,2023-09-14 10:29:00,Charlie Whitherspoon,INC0000000315,admin,Canada,Luke Wilson,Bud Richman,2023-09-28 01:25:23.074702845,Server Crash on machine233,Hardware,1 - Critical
Database,Closed,2023-09-16 11:23:21.172473709,2023-09-14 10:58:00,Fred Luddy,INC0000000316,admin,Australia,Howard Johnson,Bud Richman,2023-09-16 11:23:21.172473709,Error in Database connectivity,Database,2 - High
Hardware,Closed,2023-09-21 01:28:06.686513687,2023-09-14 13:00:00,Luke Wilson,INC0000000317,admin,Australia,Charlie Whitherspoon,ITIL User,2023-09-21 01:28:06.686513687,Printer546 issue in Australia,Hardware,2 - High
Inquiry / Help,Closed,2023-09-15 15:54:00.000000000,2023-09-14 15:54:00,Beth Anglin,INC0000000318,employee,Australia,Luke Wilson,David Loo,2023-09-15 15:54:00.000000000,Printer546 is not working,Hardware,1 - Critical
Hardware,Resolved,2023-09-23 18:17:16.716938240,2023-09-15 05:28:00,Charlie Whitherspoon,INC0000000319,system,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-23 18:17:16.716938240,Printer546 in Australia experiencing issues,Hardware,1 - Critical
Software,Closed,2023-09-20 20:58:46.751153395,2023-09-16 09:18:00,Fred Luddy,INC0000000320,system,Canada,Fred Luddy,David Loo,2023-09-20 20:58:46.751153395,Performance issues with Software123,Software,3 - Moderate
Hardware,Closed,2023-09-22 13:11:16.460337579,2023-09-16 09:20:00,Fred Luddy,INC0000000321,admin,Australia,Howard Johnson,ITIL User,2023-09-22 13:11:16.460337579,Printer546 is not working properly,Hardware,2 - High
Hardware,Closed,2023-09-30 16:57:13.076218110,2023-09-18 03:29:00,Charlie Whitherspoon,INC0000000322,employee,United States,Beth Anglin,Don Goodliffe,2023-09-30 16:57:13.076218110,Server failure for US node,Hardware,1 - Critical
Network,Closed,2023-09-22 15:44:42.056556368,2023-09-19 03:45:00,Beth Anglin,INC0000000323,employee,United States,Luke Wilson,Bud Richman,2023-09-22 15:44:42.056556368,Internet connection problem in the United States,Network,2 - High
Hardware,Closed,2023-10-05 10:37:47.028545047,2023-09-19 08:44:00,Fred Luddy,INC0000000324,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-05 10:37:47.028545047,Printer546 is having issues,Hardware,2 - High
Hardware,Resolved,2023-10-03 08:14:22.675801438,2023-09-20 06:22:00,Luke Wilson,INC0000000325,system,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-03 08:14:22.675801438,The Printer546 in Australia is not working properly,Hardware,2 - High
Hardware,Closed,2023-09-22 07:03:43.180128742,2023-09-20 20:36:00,Luke Wilson,INC0000000326,system,United States,Charlie Whitherspoon,David Loo,2023-09-22 07:03:43.180128742,Server832 failure at the data center,Hardware,1 - Critical
Hardware,Resolved,2023-10-05 14:06:46.265722782,2023-09-21 05:32:00,Beth Anglin,INC0000000327,admin,United States,Charlie Whitherspoon,Don Goodliffe,2023-10-05 14:06:46.265722782,Monitor345 not functioning,Hardware,2 - High
Hardware,Resolved,2023-09-28 10:20:40.858388369,2023-09-21 14:49:00,Howard Johnson,INC0000000328,employee,UK,Luke Wilson,Don Goodliffe,2023-09-28 10:20:40.858388369,Issue with loading up laptop model L-914,Hardware,2 - High
Network,Closed,2023-09-22 21:14:00.000000000,2023-09-21 21:14:00,Beth Anglin,INC0000000329,system,India,Howard Johnson,Don Goodliffe,2023-09-22 21:14:00.000000000,Network connectivity issue,Network,3 - Moderate
Hardware,Closed,2023-10-06 07:39:16.761597562,2023-09-21 23:53:00,Fred Luddy,INC0000000330,system,UK,Charlie Whitherspoon,David Loo,2023-10-06 07:39:16.761597562,Failed Hard Disk Drive on WorkstationUK786,Hardware,2 - High
Hardware,Closed,2023-10-05 14:59:20.783399866,2023-09-24 10:56:00,Fred Luddy,INC0000000331,system,Canada,Charlie Whitherspoon,David Loo,2023-10-05 14:59:20.783399866,Desktop PC not starting up,Hardware,2 - High
Database,Closed,2023-10-03 08:53:36.796709606,2023-09-24 13:55:00,Howard Johnson,INC0000000332,employee,UK,Fred Luddy,David Loo,2023-10-03 08:53:36.796709606,Error detected in Database6543,Database,2 - High
Hardware,Closed,2023-09-26 02:31:00.000000000,2023-09-25 02:31:00,Beth Anglin,INC0000000333,admin,Australia,Beth Anglin,David Loo,2023-09-26 02:31:00.000000000,Printer768 in Australia is malfunctioning,Hardware,2 - High
Hardware,Resolved,2023-10-02 19:11:48.163774968,2023-09-25 19:21:00,Luke Wilson,INC0000000334,employee,Australia,Charlie Whitherspoon,David Loo,2023-10-02 19:11:48.163774968,Printer988 is not working properly,Hardware,1 - Critical
Hardware,Resolved,2023-09-26 20:40:00.000000000,2023-09-25 20:40:00,Howard Johnson,INC0000000335,employee,Australia,Luke Wilson,ITIL User,2023-09-26 20:40:00.000000000,Printer001 is not working,Hardware,2 - High
Hardware,Closed,2023-09-28 19:04:36.066288946,2023-09-25 20:56:00,Luke Wilson,INC0000000336,admin,Australia,Howard Johnson,Don Goodliffe,2023-09-28 19:04:36.066288946,Printer546 is not printing in Australia,Hardware,1 - Critical
Database,Resolved,2023-10-01 22:54:51.030860190,2023-09-26 00:01:00,Luke Wilson,INC0000000337,admin,India,Howard Johnson,David Loo,2023-10-01 22:54:51.030860190,Database Server Instance Performance Issue,Database,2 - High
Hardware,Closed,2023-09-27 06:11:00.000000000,2023-09-26 06:11:00,Charlie Whitherspoon,INC0000000338,system,United States,Charlie Whitherspoon,David Loo,2023-09-27 06:11:00.000000000,Desktop PC524 sudden shutdown,Hardware,2 - High
Hardware,Closed,2023-10-02 04:18:49.766694358,2023-09-27 00:04:00,Charlie Whitherspoon,INC0000000339,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-02 04:18:49.766694358,Printer855 is not functioning properly,Hardware,2 - High
Inquiry / Help,Resolved,2023-10-10 20:23:44.798714886,2023-09-27 23:08:00,Howard Johnson,INC0000000340,system,India,Charlie Whitherspoon,Don Goodliffe,2023-10-10 20:23:44.798714886,Inquiry about software installation,Service Desk,2 - High
Network,Closed,2023-10-02 20:53:30.682718416,2023-09-28 01:57:00,Charlie Whitherspoon,INC0000000341,admin,India,Luke Wilson,Don Goodliffe,2023-10-02 20:53:30.682718416,Network connectivity issue in India,Network,2 - High
Hardware,Resolved,2023-10-12 20:28:38.706928972,2023-09-28 13:16:00,Beth Anglin,INC0000000342,system,UK,Luke Wilson,David Loo,2023-10-12 20:28:38.706928972,Hard drive failure on Desktop577,Hardware,2 - High
Hardware,Resolved,2023-09-30 03:37:15.453671612,2023-09-29 02:59:00,Fred Luddy,INC0000000343,admin,Australia,Luke Wilson,Don Goodliffe,2023-09-30 03:37:15.453671612,Printer issue with Printer546 in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-10-08 04:30:10.854895991,2023-09-30 07:14:00,Howard Johnson,INC0000000344,employee,Australia,Beth Anglin,ITIL User,2023-10-08 04:30:10.854895991,Printer546 is not working properly,Hardware,1 - Critical
Hardware,Closed,2023-10-01 17:15:12.850603255,2023-09-30 14:37:00,Luke Wilson,INC0000000345,admin,Australia,Fred Luddy,David Loo,2023-10-01 17:15:12.850603255,Printer546 is malfunctioning in Australia,Hardware,2 - High
Inquiry / Help,Closed,2023-10-10 07:28:02.225169681,2023-10-01 18:20:00,Luke Wilson,INC0000000346,system,India,Beth Anglin,ITIL User,2023-10-10 07:28:02.225169681,Inquiry on Software Installation Guide,Service Desk,3 - Moderate
Hardware,Resolved,2023-10-11 11:31:18.203048562,2023-10-01 20:05:00,Luke Wilson,INC0000000347,admin,Australia,Charlie Whitherspoon,ITIL User,2023-10-11 11:31:18.203048562,Printer324 in Australia is not functioning properly,Hardware,3 - Moderate
Hardware,Resolved,2023-10-03 01:05:00.000000000,2023-10-02 01:05:00,Howard Johnson,INC0000000348,admin,Australia,Beth Anglin,David Loo,2023-10-03 01:05:00.000000000,Issue with Printer874 in Australia,Hardware,2 - High
Hardware,Closed,2023-10-16 11:37:53.443608066,2023-10-02 20:23:00,Luke Wilson,INC0000000349,employee,United States,Luke Wilson,Don Goodliffe,2023-10-16 11:37:53.443608066,Hard drive failure on workstation,Hardware,2 - High
Hardware,Closed,2023-10-08 05:16:54.012585598,2023-10-03 07:12:00,Fred Luddy,INC0000000350,employee,Australia,Howard Johnson,Bud Richman,2023-10-08 05:16:54.012585598,Printer546 has a paper jam,Hardware,3 - Moderate
Hardware,Closed,2023-10-07 15:02:09.446606967,2023-10-03 08:47:00,Beth Anglin,INC0000000351,admin,Australia,Fred Luddy,Bud Richman,2023-10-07 15:02:09.446606967,Printer error with Printer7 (Australia),Hardware,2 - High
Hardware,Resolved,2023-10-10 07:54:06.270667738,2023-10-03 11:29:00,Beth Anglin,INC0000000352,admin,Australia,Charlie Whitherspoon,David Loo,2023-10-10 07:54:06.270667738,Printer436 is malfunctioning in Australia,Hardware,2 - High
Hardware,Closed,2023-10-07 04:57:07.243553547,2023-10-03 14:29:00,Howard Johnson,INC0000000353,system,Australia,Howard Johnson,David Loo,2023-10-07 04:57:07.243553547,Printer899 is not functioning properly,Hardware,1 - Critical
Hardware,Resolved,2023-10-11 14:36:28.517445744,2023-10-04 21:50:00,Howard Johnson,INC0000000354,admin,Australia,Fred Luddy,ITIL User,2023-10-11 14:36:28.517445744,Printer damage issue with Printer7,Hardware,2 - High
Database,Closed,2023-10-08 21:29:55.684306333,2023-10-05 06:17:00,Beth Anglin,INC0000000355,employee,UK,Luke Wilson,ITIL User,2023-10-08 21:29:55.684306333,Unable to establish connection to Database354,Database,2 - High
Database,Resolved,2023-10-11 12:19:52.993926660,2023-10-05 12:36:00,Luke Wilson,INC0000000356,employee,India,Charlie Whitherspoon,Bud Richman,2023-10-11 12:19:52.993926660,Unable to connect to Database Server DB204,Database,1 - Critical
