department,type,state,processed_date,user,amount,category,source_id,opened_at,number,short_description,ci
Customer Support,,Processed,2024-03-31 22:56:00,Mitzi Ihenyen,826,Services,OCW-41046331,2024-03-27 22:56:00,EXP00000317,Configuration of service asset,Service Management Software
Customer Support,,Processed,2023-08-04 19:48:00,Mitzi Ihenyen,6027,Assets,QKI-56227356,2023-07-11 19:48:00,EXP00000318,Automatically recorded Asset entry for laptop,Dell Latitude 7400
Sales,,Submitted,,Cristina Sharper,7786,Assets,GCQ-43600220,2023-11-16 08:15:00,EXP00000319,Company hardware asset in use,HP Pavilion Desktop 590
Customer Support,,Processed,2023-07-10 08:41:00,Zackary Mockus,7447,Assets,EMM-44087403,2023-06-11 08:41:00,EXP00000320,Automated entry for newly acquired hardware asset,Dell Latitude E5470
HR,,Processed,2023-06-15 18:23:00,Rosalie Krigger,2557,Assets,QQK-54574637,2023-06-06 18:23:00,EXP00000321,Asset record for newly acquired Dell server,Dell PowerEdge Server
Customer Support,,Processed,2024-01-02 01:52:00,Felipe Mahone,1072,Services,IIJ-99253019,2023-12-28 01:52:00,EXP00000322,Service invoice for acquisition of asset,Web Hosting Service
Sales,,Processed,2024-01-04 21:42:00,Rob Woodbyrne,722,Miscellaneous,,2023-12-31 21:42:00,EXP00000323,Miscellaneous Asset Creation Record,Desktop Workstation DX2200
Sales,,Pending,,Nadia Wilshire,7195,Travel,,2023-07-03 00:09:00,EXP00000324,Travel related asset creation,Tumi Alpha 3 Briefcase
IT,,Submitted,,Forest Orea,3712,Miscellaneous,,2023-12-12 19:33:00,EXP00000325,Miscellaneous asset entry - document scanner,Fujitsu ScanSnap iX1500
Customer Support,,Declined,,Jimmie Kertzman,2288,Assets,GRX-08821962,2024-01-14 03:15:00,EXP00000326,Regular maintenance of office assets,Dell Latitude 7420
Customer Support,,Processed,2024-01-16 21:33:00,Misty Ericksen,7484,Assets,KKK-57026588,2023-12-17 21:33:00,EXP00000327,Procurement of new IT asset,Dell Latitude 5420
Customer Support,,Processed,2023-02-20 02:09:00,Marianne Earman,614,Services,MNV-45266985,2023-02-17 02:09:00,EXP00000328,Service-related hardware asset,Cloud Server Instance
Customer Support,,Processed,2024-03-03 01:35:00,Mitzi Ihenyen,2081,Assets,EBM-12709021,2024-02-24 01:35:00,EXP00000329,A server asset generated for company's intranet application,Dell PowerEdge Server
Customer Support,,Pending,,Rachel Larrison,4011,Assets,YPS-42167442,2023-02-09 02:24:00,EXP00000330,Procurement of new IT asset,Dell Latitude E7270
Sales,,Processed,2024-02-19 10:46:00,Karen Zombo,6667,Assets,ZJD-73238015,2024-01-25 10:46:00,EXP00000331,Automatically generated line for asset acquisition,Dell Inspiron 15
Finance,,Declined,,Germaine Bruski,7752,Assets,MAL-00742392,2023-05-04 06:59:00,EXP00000332,Newly added asset to the hardware inventory,iMac 27 inch with Retina 5K display
Customer Support,,Processed,2023-04-17 13:40:00,Sean Bonnet,4635,Miscellaneous,,2023-03-29 13:40:00,EXP00000333,Generated data for miscellaneous hardware asset,Dell Latitude 5480
Sales,,Declined,,Carolina Kinlaw,7516,Assets,FRL-42243758,2023-11-06 15:50:00,EXP00000334,Automated hardware addition for asset generation,Dell Latitude 7400
HR,,Processed,2023-05-18 18:16:00,Rosalie Krigger,5326,Travel,,2023-04-27 18:16:00,EXP00000335,Travel equipment acquisition,Luxury Tour Bus
Customer Support,,Processed,2023-05-14 17:04:00,Mitzi Ihenyen,4943,Assets,YKB-88180033,2023-04-24 17:04:00,EXP00000336,HP laptop registered under assets,HP Pavilion 14
Customer Support,,Processed,2024-04-10 08:37:00,Mabel Weeden,533,Miscellaneous,,2024-04-07 08:37:00,EXP00000337,Miscellaneous Hardware Asset Generated,Dell Inspiron 14
Customer Support,,Processed,2023-06-25 11:06:00,Ofelia Sheffler,8406,Assets,BUI-02582631,2023-05-24 11:06:00,EXP00000338,Automatically generated asset record for company's new hardware,Dell Latitude 5420 Laptop
Customer Support,,Submitted,,Jimmie Kertzman,309,Services,HBI-98775575,2023-07-05 01:53:00,EXP00000339,Cloud based service provider asset,AWS EC2 Instance
Finance,,Processed,2023-07-14 06:24:00,Germaine Bruski,551,Miscellaneous,,2023-07-10 06:24:00,EXP00000340,Automatically generated for Miscellaneous asset creation,Miscellaneous Equipment 102
Development,,Processed,2024-04-01 00:16:00,Cyril Behen,2090,Assets,EUA-08755206,2024-03-23 00:16:00,EXP00000341,Automated asset creation for office equipment,Dell OptiPlex 3080
Customer Support,,Declined,,Helga Windle,1845,Services,PQJ-57322962,2024-01-23 11:01:00,EXP00000342,ServiceNow instance software implementation,Cloud Service Instance
Sales,,Processed,2024-03-05 03:25:00,Leif Bachta,1014,Services,VPA-36676685,2024-02-28 03:25:00,EXP00000343,Service related hardware asset registered,Cisco Network Services
Customer Support,,Processed,2024-03-02 07:37:00,Shelley Groden,8595,Assets,AEV-79918808,2024-01-28 07:37:00,EXP00000344,Automatically generated asset creation line for workstation hardware,Dell Optiplex 7010
Sales,,Processed,2024-05-12 22:50:00,Carolina Kinlaw,4849,Miscellaneous,,2024-04-22 22:50:00,EXP00000345,Miscellaneous Hardware Asset CI,HP Color Laser Printer 150nw
IT,,Submitted,,Vernon Engelman,5937,Travel,,2023-03-10 05:22:00,EXP00000346,Travel expense for laptop asset creation,Dell Latitude 7480
Customer Support,,Processed,2023-05-20 11:42:00,Rachel Larrison,341,Services,LOJ-27430526,2023-05-19 11:42:00,EXP00000347,Automatically generated expense line for creation of service asset,Windows Server 2016
Sales,,Processed,2023-05-14 16:24:00,Nadia Wilshire,5333,Assets,KMW-53422855,2023-04-23 16:24:00,EXP00000348,Asset tracking for Dell Latitude laptop,Dell Latitude E5470
Sales,,Processed,2023-12-12 03:40:00,Luella Pliner,1510,Services,XBQ-93146871,2023-12-06 03:40:00,EXP00000349,Provision of new service-related hardware,Services Routers BWG345
Customer Support,,Processed,2023-03-07 19:51:00,Danny Dales,1095,Miscellaneous,,2023-03-02 19:51:00,EXP00000350,Configuration item added for miscellaneous asset,Wireless Keyboard K360
Finance,,Pending,,Fausto Marks,1297,Travel,,2023-02-10 13:02:00,EXP00000351,Travel category hardware asset,Dell Latitude 7410 Travel Laptop
Development,,Pending,,Ramon Amaral,705,Services,RJB-24584877,2023-03-11 20:35:00,EXP00000352,Service related asset entry,Cloud Service AWS
Customer Support,,Processed,2024-02-11 02:10:00,Rachel Larrison,8043,Assets,THH-65796390,2024-01-09 02:10:00,EXP00000353,Asset record for server hardware,Dell PowerEdge R740
Customer Support,,Processed,2023-10-13 05:02:00,Helena Suermann,4481,Miscellaneous,,2023-09-24 05:02:00,EXP00000354,Purchase of Miscellaneous Hardware Asset,Miscellaneous_Office_Equipment_123
Sales,,Processed,2023-06-04 11:02:00,Melody Saddat,749,Services,UUU-45966228,2023-06-01 11:02:00,EXP00000355,Generated service for asset creation,Cloud Database Service
Customer Support,,Pending,,Felipe Mahone,1112,Services,CCE-38448224,2023-04-27 07:41:00,EXP00000356,Installation of cloud service infrastructure,Azure Cloud Services
Sales,,Processed,2023-08-12 01:55:00,Savannah Loffier,180,Services,YZL-02914675,2023-08-11 01:55:00,EXP00000357,Asset record creation for Service related hardware,Cisco ASA 5506-X Firewall
Customer Support,,Processed,2023-06-16 11:23:00,Marianne Earman,526,Services,AOV-53674192,2023-06-14 11:23:00,EXP00000358,Services related hardware asset,Cisco Firewall ASA 5506
Development,,Processed,2023-09-24 15:42:00,Cyril Behen,1003,Services,VJR-96626135,2023-09-20 15:42:00,EXP00000359,Automatically provided service for asset creation,Database Server DS1
Customer Support,,Processed,2023-09-04 22:08:00,Helena Suermann,1727,Travel,,2023-08-28 22:08:00,EXP00000360,New purchase for business travel,Dell Latitude 5420
Customer Support,,Processed,2024-03-24 13:06:00,Nelly Jakuboski,2274,Assets,FWU-49834960,2024-03-13 13:06:00,EXP00000361,Automatically registered entry for new asset,Telecom Network Router-23
Sales,,Processed,2023-08-07 11:49:00,Carolina Kinlaw,1382,Services,ZSX-00135249,2023-08-02 11:49:00,EXP00000362,Automatically generated expense line for creation of service asset,Web Hosting Service
Sales,,Processed,2023-02-14 03:19:00,Karen Zombo,2519,Assets,IPP-54417969,2023-02-05 03:19:00,EXP00000363,Hardware asset registration for company equipment,Dell Latitude 7490
IT,,Processed,2023-07-08 22:20:00,Vernon Engelman,509,Services,CDN-77319523,2023-07-05 22:20:00,EXP00000364,Automatically generated expense line for creation of Service asset,Web Hosting Service
Customer Support,,Processed,2023-05-29 04:30:00,Helena Suermann,1491,Services,TMJ-86205394,2023-05-22 04:30:00,EXP00000365,Provision of Cloud storage service,AWS S3 Bucket configuration item
Customer Support,,Submitted,,Petra Mcnichol,673,Services,NBF-45789386,2023-12-02 05:24:00,EXP00000366,Provision of IT services to the Sales Department,Cloud Server 23
HR,,Processed,2023-06-28 10:46:00,Rosalie Krigger,1233,Services,BDB-61603141,2023-06-22 10:46:00,EXP00000367,Creation of service asset under services,Managed Database Service
Customer Support,,Submitted,,Mabel Weeden,4060,Miscellaneous,,2023-11-20 14:33:00,EXP00000368,Automatically created record for Miscellaneous hardware asset,Conference Room Projector
Sales,,Processed,2023-05-17 05:42:00,Nadia Wilshire,6595,Assets,YDU-70281339,2023-04-21 05:42:00,EXP00000369,Monthly depreciation expense for asset,Dell Latitude Laptop i7
Customer Support,,Declined,,Valerie Pou,1214,Travel,,2024-03-11 12:09:00,EXP00000370,Travel expense for laptop acquisition,Dell Inspiron 15
IT,,Processed,2023-09-30 21:37:00,Helene Iberg,4303,Miscellaneous,,2023-09-13 21:37:00,EXP00000371,Miscellaneous hardware asset,Dell Optiplex 3050
Customer Support,,Submitted,,Viola Mcsorley,7268,Assets,ONN-79122937,2023-10-16 15:56:00,EXP00000372,Office-allocated Lenovo Thinkpad asset,Lenovo Thinkpad T480
Customer Support,,Declined,,Sal Pindell,5616,Assets,HEC-58001267,2023-07-24 17:20:00,EXP00000373,Newly acquired Dell Server for IT department,Dell PowerEdge R740
Customer Support,,Processed,2023-05-02 16:08:00,Shelley Groden,1518,Assets,ETE-46819153,2023-04-26 16:08:00,EXP00000374,Newly procured desktop hardware asset,Dell Optiplex 7070 Ultra
Sales,,Processed,2023-08-08 11:44:00,Leif Bachta,674,Services,ONQ-60561889,2023-08-05 11:44:00,EXP00000375,Automatically generated service for creation of asset,Cloud Storage Service
Customer Support,,Processed,2024-03-21 09:29:00,Sean Bonnet,1955,Assets,RNR-36028753,2024-03-12 09:29:00,EXP00000376,Procured hardware asset,Dell Latitude 7420
Customer Support,,Processed,2024-01-09 19:56:00,Mabel Weeden,631,Services,ZJS-60082824,2024-01-06 19:56:00,EXP00000377,Installation of new service software,Microsoft Office 365
Customer Support,,Submitted,,Sean Bonnet,1491,Services,SFZ-65236462,2023-05-07 18:10:00,EXP00000378,Automatically created asset line for service,Cloud Service Platform
Customer Support,,Processed,2023-11-16 04:55:00,Danny Dales,1464,Services,HAF-10349199,2023-11-10 04:55:00,EXP00000379,Provision of new cloud service,Azure Cloud Service
Sales,,Pending,,Raphael Bickel,3663,Assets,BRR-70482245,2023-10-31 04:04:00,EXP00000380,Hardware asset - Dell Desktop PC,Dell Optiplex 9020
Sales,,Processed,2023-03-04 16:25:00,Karen Zombo,6236,Assets,FFN-85191249,2023-02-08 16:25:00,EXP00000381,Purchase of new Dell Desktop asset,Dell OptiPlex 3070 Micro
Customer Support,,Submitted,,Wilfredo Gidley,1711,Services,JGU-84639223,2023-04-04 15:13:00,EXP00000382,Automatically generated expense line for creation of Service asset,Cloud Service Package A
Customer Support,,Pending,,Jimmie Kertzman,1649,Services,TQA-54910003,2023-04-24 12:09:00,EXP00000383,Installation of new business service software,ServiceNow Application Suite
Sales,,Processed,2024-01-02 03:55:00,Howard Johnson,457,Services,NVG-13075736,2024-01-01 03:55:00,EXP00000384,Services related asset addition,Database Server Oracle 12c
Customer Support,,Processed,2024-02-24 19:32:00,Marianne Earman,4253,Assets,BZX-51461143,2024-02-09 19:32:00,EXP00000385,Asset registered - Lenovo Thinkpad T490,Workstation Lenovo T490
HR,,Pending,,Rosalie Krigger,4472,Travel,,2023-08-11 02:45:00,EXP00000386,Travel expenses calculated for asset creation,Travel Bag
Customer Support,,Processed,2023-08-04 18:26:00,Carmel Overfelt,7405,Travel,,2023-07-06 18:26:00,EXP00000387,Travel expense for laptop purchase,Dell Inspiron 14
Customer Support,,Processed,2023-08-19 14:44:00,Lynda Caraway,4233,Assets,DJC-05511705,2023-08-03 14:44:00,EXP00000388,Maintenance incurred on office computers,Dell Inspiron 5280 Desktop
Customer Support,,Submitted,,Marianne Earman,1758,Services,WQJ-24333500,2023-02-25 00:47:00,EXP00000389,Auto-generated service asset entry,Web Hosting Service
HR,,Processed,2024-03-12 15:09:00,Rosalie Krigger,1962,Miscellaneous,,2024-03-03 15:09:00,EXP00000390,Entry for Miscellaneous Hardware Asset,Unidentified Server Component
Sales,,Submitted,,Lacy Hyten,110,Services,IQR-74675438,2023-11-04 00:46:00,EXP00000391,Service related hardware asset on-boarded,Cloud Service Provider - AWS
Customer Support,,Processed,2024-04-02 19:23:00,Owen Sparacino,6928,Assets,VBM-80899537,2024-03-05 19:23:00,EXP00000392,ACME Corp Asset Management - Server,HP ProLiant DL380 Gen10
Customer Support,,Processed,2023-06-01 15:24:00,Nelly Jakuboski,1536,Travel,,2023-05-24 15:24:00,EXP00000393,Automatically generated expense line for purchase of travel equipment,Samsonite Carry-On Luggage
Customer Support,,Pending,,Georgette Bandyk,729,Miscellaneous,,2023-10-17 00:07:00,EXP00000394,Miscellaneous asset registration,Lexmark MX410de Printer
Customer Support,,Pending,,Wilfredo Gidley,2567,Assets,OHH-28393620,2024-04-06 12:57:00,EXP00000395,Input device hardware asset acquisition,Logitech MX Master 3
Sales,,Declined,,Raphael Bickel,1023,Services,COA-01820326,2023-07-21 03:39:00,EXP00000396,Automated service related to asset creation,Amazon Web Services
IT,,Processed,2023-05-09 13:31:00,Forest Orea,744,Services,IDW-17938547,2023-05-05 13:31:00,EXP00000397,Automatically generated asset record for new service,Cloud Computing Service
Customer Support,,Declined,,Sal Pindell,1911,Services,FUP-75160034,2024-02-11 05:39:00,EXP00000398,Auto-generated service asset for IT Solution,Managed IT Services
Sales,,Processed,2023-08-10 02:05:00,Essie Vaill,1922,Assets,RSM-14952474,2023-08-02 02:05:00,EXP00000399,Newly procured IT hardware asset,Dell Latitude 7410
Sales,,Processed,2023-07-23 07:43:00,Essie Vaill,1558,Services,UOF-68135600,2023-07-17 07:43:00,EXP00000400,Enterprise service management module implementation,ServiceNow ITSM Core
Sales,,Declined,,Melody Saddat,537,Services,BZJ-31149506,2024-03-16 10:23:00,EXP00000401,Automatically generated service assets,Web Hosting Server
Sales,,Processed,2023-10-06 13:30:00,Savannah Loffier,1625,Assets,BOF-98187561,2023-09-28 13:30:00,EXP00000402,Automated hardware asset registration,Dell OptiPlex 7070
Sales,,Declined,,Howard Johnson,876,Miscellaneous,,2023-10-06 22:14:00,EXP00000403,Miscellaneous hardware asset added,HP LaserJet 1536dnf MFP
Customer Support,,Pending,,Owen Sparacino,1776,Services,IJC-09227043,2023-04-23 07:20:00,EXP00000404,Service asset registration for software application,Cloud Service Provider
Customer Support,,Submitted,,Danny Dales,470,Services,RUD-26425735,2024-03-24 23:34:00,EXP00000405,Configuration item for ServiceNow platform,ServiceNow Cloud Instance
Customer Support,,Processed,2024-05-05 17:50:00,Geri Forness,7911,Assets,BQS-79138253,2024-04-03 17:50:00,EXP00000406,Automated asset record for new Dell workstation,Dell Optiplex 7050
IT,,Processed,2023-02-27 19:50:00,Sadie Rowlett,717,Miscellaneous,,2023-02-24 19:50:00,EXP00000407,Miscellaneous hardware asset added to inventory,Dell Monitor 24
Development,,Processed,2024-02-08 04:23:00,Ramon Amaral,2008,Assets,FSD-33084482,2024-02-01 04:23:00,EXP00000408,Newly added asset to storage,HP EliteBook 840 G5
Customer Support,,Pending,,Mabel Weeden,1598,Services,MNZ-06350459,2023-09-29 23:30:00,EXP00000409,Service-related hardware asset provision,Cloud Server Service
Development,,Processed,2023-10-29 21:45:00,Ramon Amaral,458,Services,CGF-94025786,2023-10-28 21:45:00,EXP00000410,Automatically created service asset entry,Cloud Server Service
Customer Support,,Processed,2024-02-19 22:24:00,Georgette Bandyk,2717,Assets,QTJ-67900519,2024-02-07 22:24:00,EXP00000411,Dell Inspiron 15 5000 Series Laptop,Dell_5000_Series_Laptop
Customer Support,,Processed,2023-11-07 02:24:00,Nelly Jakuboski,2643,Assets,GSU-77641089,2023-10-27 02:24:00,EXP00000412,Automatically created asset for computer hardware integration,Dell Optiplex 7070
Customer Support,,Processed,2023-07-02 00:45:00,Mabel Weeden,4430,Travel,,2023-06-15 00:45:00,EXP00000413,Travel expense for asset creation,Travel Case Pro
Sales,,Processed,2023-06-10 20:16:00,Leif Bachta,7161,Travel,,2023-05-14 20:16:00,EXP00000414,Travel equipment asset entry,Samsonite Carry-On Suitcase
Development,,Processed,2024-03-05 13:09:00,Ramon Amaral,1258,Services,LFF-14710387,2024-02-28 13:09:00,EXP00000415,Service related hardware asset,Cloud Server Instance
IT,,Processed,2023-06-10 07:21:00,Sadie Rowlett,2040,Miscellaneous,,2023-06-01 07:21:00,EXP00000416,Automatically generated hardware asset for Miscellaneous category,Miscellaneous Item 1175
Customer Support,,Submitted,,Owen Sparacino,2665,Miscellaneous,,2023-03-17 14:39:00,EXP00000417,Automatically generated line for creation of Miscellaneous asset,Stationery Kit
Sales,,Submitted,,Melody Saddat,372,Services,PTK-66219602,2023-10-15 20:10:00,EXP00000418,Installation of new service asset,Server Xeon E3
Customer Support,,Processed,2023-04-17 11:17:00,Rachel Larrison,236,Miscellaneous,,2023-04-16 11:17:00,EXP00000419,Miscellaneous ServiceNow hardware asset,Dell OptiPlex 3070 MT
Sales,,Processed,2023-05-14 12:07:00,Raphael Bickel,1491,Services,OIH-61774838,2023-05-09 12:07:00,EXP00000420,Automatically generated line for creation of asset - Services,Active Directory Server SRV1023
Customer Support,,Processed,2023-09-11 05:03:00,Rachel Larrison,6623,Travel,,2023-08-18 05:03:00,EXP00000421,Travel related hardware asset creation,Portable Charger 10000mAh
Customer Support,,Processed,2024-03-09 01:57:00,Felipe Mahone,399,Services,RBK-82673122,2024-03-08 01:57:00,EXP00000422,Automated Service Asset Creation,Cloud Service Server
Customer Support,,Submitted,,Georgette Bandyk,883,Travel,,2024-03-20 10:33:00,EXP00000423,Acquisition of new travel gear,Samsonite Pro-DLX5 Luggage
Customer Support,,Declined,,Marcie Shulz,4397,Travel,,2023-11-09 13:17:00,EXP00000424,Travel expense for hardware procurement,Portable GPS Navigator
Sales,,Processed,2023-04-19 22:28:00,Bertie Luby,1427,Services,YBO-53635255,2023-04-14 22:28:00,EXP00000425,Service asset for cloud storage,AWS S3 Bucket Service
Customer Support,,Declined,,Danny Dales,834,Services,BRT-97506261,2023-07-13 13:25:00,EXP00000426,Automatically registered service asset,Enterprise Database System
Sales,,Processed,2024-02-16 10:30:00,Essie Vaill,188,Services,HPP-78898318,2024-02-15 10:30:00,EXP00000427,Deployment of new cloud service,Azure Cloud Service
Finance,,Pending,,Germaine Bruski,2584,Assets,YZB-08856173,2023-05-03 07:19:00,EXP00000428,Workstation Dell Precision 3431,Dell OptiPlex 3070 Tower
Customer Support,,Processed,2023-07-09 22:57:00,Mabel Weeden,7980,Travel,,2023-06-09 22:57:00,EXP00000429,Travel related asset addition,Travel Kit - Laptop Dell Latitude 7480
Customer Support,,Pending,,Sue Haakinson,2694,Miscellaneous,,2023-04-19 12:19:00,EXP00000430,Automatically generated asset for MISCELLANEOUS category,Dell Desktop Optiplex 7020
Customer Support,,Processed,2024-05-07 15:36:00,Lynda Caraway,5195,Assets,RTM-34826201,2024-04-18 15:36:00,EXP00000431,Newly acquired desktop computer for Finance Department,Dell Optiplex 7050
IT,,Processed,2023-04-14 06:43:00,Virgil Chinni,1772,Assets,VQV-49319357,2023-04-07 06:43:00,EXP00000432,Asset Acquisition: Dell Precision Tower 3000 Series 3420,Dell Precision 3420
Customer Support,,Processed,2023-10-10 08:18:00,Mitzi Ihenyen,3561,Miscellaneous,,2023-09-26 08:18:00,EXP00000433,Miscellaneous asset entry,Dell OptiPlex 7060 MiniTower
Customer Support,,Processed,2023-05-07 02:20:00,Mitzi Ihenyen,8919,Assets,YAZ-16952184,2023-04-04 02:20:00,EXP00000434,HP EliteBook 840 G5 configuration item added,HP EliteBook 840 G5
Sales,,Processed,2023-07-27 22:07:00,Cristina Sharper,3484,Miscellaneous,,2023-07-12 22:07:00,EXP00000435,Miscellaneous type hardware configuration,Dell OptiPlex 3070
Sales,,Processed,2023-09-20 00:17:00,Savannah Loffier,1904,Services,ODX-94307325,2023-09-12 00:17:00,EXP00000436,Automatically generated expense line for creation of Services asset,Cloud Service Provider
IT,,Processed,2023-11-30 00:42:00,Sadie Rowlett,3879,Miscellaneous,,2023-11-14 00:42:00,EXP00000437,Generated expense line for Miscellaneous asset,Ergonomic Keyboard 07
Customer Support,,Submitted,,Mitzi Ihenyen,7893,Assets,LJN-44400188,2023-10-07 21:21:00,EXP00000438,Company purchased new hardware assets,Dell Optiplex 3070 Tower
Customer Support,,Processed,2023-12-08 13:02:00,Wilfredo Gidley,4590,Assets,QLX-59954319,2023-11-21 13:02:00,EXP00000439,HP Pavilion Laptop Asset Record,HP Pavilion Gaming 15
Customer Support,,Processed,2023-12-26 13:45:00,Petra Mcnichol,1000,Travel,,2023-12-22 13:45:00,EXP00000440,Travel-related hardware asset,Garmin GPS Navigator
IT,,Declined,,Sadie Rowlett,140,Services,CCC-90443422,2024-03-23 23:57:00,EXP00000441,Database service assets creation,Oracle Database Enterprise Edition 19c
Customer Support,,Submitted,,Rachel Larrison,1558,Miscellaneous,,2023-04-10 06:50:00,EXP00000442,Expense line for purchase of miscellaneous asset,"Chair, Ergonomic"
Sales,,Processed,2023-08-12 14:05:00,Karen Zombo,2356,Miscellaneous,,2023-08-02 14:05:00,EXP00000443,Miscellaneous hardware asset registration,Ergonomic Keyboard
Customer Support,,Submitted,,Jimmie Kertzman,3159,Travel,,2023-11-03 05:46:00,EXP00000444,Travel-related asset registration,Samsonite Pro-DLX 5 Suitcase
Customer Support,,Processed,2024-01-03 02:36:00,Misty Ericksen,225,Services,SIY-05126752,2024-01-01 02:36:00,EXP00000445,Automatic service configuration for asset,Web Server Cloud Service
IT,,Processed,2024-02-20 21:13:00,Virgil Chinni,4383,Travel,,2024-02-03 21:13:00,EXP00000446,Travel related hardware asset,Lenovo ThinkPad X1 Carbon
Finance,,Processed,2023-12-08 07:59:00,Germaine Bruski,7437,Assets,ULS-91807162,2023-11-08 07:59:00,EXP00000447,Allocation of new Hardware asset,Dell Vostro 3591
Finance,,Processed,2023-07-03 07:43:00,Germaine Bruski,6179,Travel,,2023-06-09 07:43:00,EXP00000448,Travel expense for asset procurement,Flight Ticket
Customer Support,,Processed,2023-12-12 15:18:00,Georgette Bandyk,6113,Travel,,2023-11-19 15:18:00,EXP00000449,Travel expenses for hardware assets,Portable Projector SONY VPL-DX221
Customer Support,,Submitted,,Darrel Tork,1475,Miscellaneous,,2024-01-26 03:11:00,EXP00000450,Automatically generated expense line for creation of miscellaneous asset,iPad Pro 12.9
Product Management,,Processed,2023-05-01 20:33:00,Mamie Mcintee,894,Services,YRY-85675011,2023-04-27 20:33:00,EXP00000451,Newly added service related asset,Cloud Service Provider
IT,,Submitted,,Helene Iberg,1506,Services,YGA-04222868,2023-06-02 14:08:00,EXP00000452,Service-related hardware asset,Cisco Firewall Services Module
Customer Support,,Declined,,Carmel Overfelt,101,Services,ZQT-82330984,2023-06-12 04:50:00,EXP00000453,Automatically generated asset for creation of services,Web Server Services
Customer Support,,Declined,,Helga Windle,6543,Assets,AJO-91449113,2023-03-02 20:09:00,EXP00000454,Database Server Model X Asset,DB_Server_X_329
Customer Support,,Pending,,Shelley Groden,3833,Travel,,2023-04-01 09:48:00,EXP00000455,Travel equipment asset add-on,Travel Suitcase Deluxe
Sales,,Processed,2024-02-18 13:30:00,Lacy Hyten,7438,Assets,VJT-02356922,2024-01-20 13:30:00,EXP00000456,Asset record for network switch,Cisco Catalyst 2960
HR,,Submitted,,Rosalie Krigger,4789,Travel,,2023-08-22 15:41:00,EXP00000457,Automatically generated expense line for creation of travel asset,Travel Asset 453
Sales,,Processed,2023-11-09 15:10:00,Lacy Hyten,445,Miscellaneous,,2023-11-06 15:10:00,EXP00000458,Miscellaneous hardware asset acquired,Miscellaneous Device
Customer Support,,Processed,2023-07-08 21:18:00,Mitzi Ihenyen,6466,Assets,GZB-89268430,2023-06-13 21:18:00,EXP00000459,Laptop asset added to network,Dell Latitude 7490
Customer Support,,Pending,,Viola Mcsorley,3756,Miscellaneous,,2023-11-07 03:53:00,EXP00000460,Automatically generated asset for Miscellaneous category,Miscellaneous Item 4281
Customer Support,,Processed,2023-11-17 19:04:00,Jimmie Kertzman,161,Services,OQC-82949724,2023-11-16 19:04:00,EXP00000461,Service - Development Server Hardware,Standard_Dev_Services
Sales,,Processed,2023-06-13 00:37:00,Leif Bachta,3406,Travel,,2023-05-31 00:37:00,EXP00000462,Travel expense for flight ticket purchase,British Airways Flight BA288
Customer Support,,Processed,2024-05-07 09:29:00,Petra Mcnichol,6733,Travel,,2024-04-08 09:29:00,EXP00000463,Purchase expense for travel equipment,Samsonite Laptop Travel Backpack
Sales,,Processed,2023-08-31 01:45:00,Lacy Hyten,2526,Travel,,2023-08-21 01:45:00,EXP00000464,Travel related hardware expense,Travel laptop
Customer Support,,Declined,,Helena Suermann,660,Services,OLR-74848765,2023-09-27 23:43:00,EXP00000465,Automatically generated record for creation of service asset,Office365 Suite Subscription
Customer Support,,Declined,,Sean Bonnet,3319,Travel,,2023-08-21 09:36:00,EXP00000466,Travel Department: New Luggage Tracking Device,Tumi Alpha 3
Customer Support,,Processed,2024-02-14 19:03:00,Shelley Groden,1765,Services,SLW-23544491,2024-02-06 19:03:00,EXP00000467,Automatically generated service asset,Cloud Server Configuration A1
Sales,,Processed,2023-07-23 15:07:00,Rob Woodbyrne,5711,Travel,,2023-06-29 15:07:00,EXP00000468,Expense generated for travel equipment,Portable GPS Navigator
Customer Support,,Processed,2023-02-27 04:40:00,Ofelia Sheffler,1064,Services,GRF-02570431,2023-02-22 04:40:00,EXP00000469,Automatically created Service asset,Cloud Service Provider
Customer Support,,Submitted,,Shelley Groden,4678,Travel,,2024-04-06 09:28:00,EXP00000470,Travel expense line for new asset,Airline Ticket
Customer Support,,Declined,,Nelly Jakuboski,2697,Assets,CLY-11618252,2023-04-25 23:29:00,EXP00000471,Apple Monitor 27-inch asset added,Apple Monitor 27
Sales,,Processed,2023-08-03 11:39:00,Savannah Loffier,8426,Assets,BZS-16802985,2023-07-02 11:39:00,EXP00000472,Purchase of new company assets,Lenovo ThinkPad X1 Carbon
Product Management,,Processed,2024-02-16 22:15:00,Mamie Mcintee,178,Services,MRL-84961302,2024-02-15 22:15:00,EXP00000473,Automatically generated expense line for creation of asset,Cloud Service Provider
Customer Support,,Processed,2023-09-12 17:42:00,Marianne Earman,3971,Assets,IEC-10083821,2023-08-28 17:42:00,EXP00000474,Monitor Dell 24 HD added to asset list,Dell Monitor 24 Inch HD
Sales,,Processed,2024-04-13 00:56:00,Howard Johnson,1760,Services,RUT-78681126,2024-04-06 00:56:00,EXP00000475,Deployment of new cloud service,Azure Cloud Service
Customer Support,,Processed,2023-03-13 19:51:00,Mitzi Ihenyen,7023,Assets,WTF-59044346,2023-02-14 19:51:00,EXP00000476,New asset registration for IT department,HP EliteBook 840 G5
