sys_updated_by,assigned_to,sys_updated_on,caller_id,opened_at,category,number,state,closed_at,closed_by,short_description,assignment_group,priority
system,Luke Wilson,2023-08-01 00:57:02.251463286,ITIL User,2023-07-17 06:32:00,Network,INC0000000247,Resolved,2023-08-01 00:57:02.251463286,Beth Anglin,Email system outage affecting entire floor,Service Desk,1 - Critical
admin,Beth Anglin,2023-07-23 20:37:49.019265057,Don Goodliffe,2023-07-18 03:45:00,Network,INC0000000248,Resolved,2023-07-23 20:37:49.019265057,Fred Luddy,Email system downtime reported by multiple users,Service Desk,2 - High
admin,Beth Anglin,2023-07-22 13:21:31.782665127,David Loo,2023-07-18 19:57:00,Inquiry / Help,INC0000000249,Closed,2023-07-22 13:21:31.782665127,Fred Luddy,Email system timeout errors,Service Desk,2 - High
admin,Luke Wilson,2023-07-21 15:05:20.615867077,Bud Richman,2023-07-19 11:08:00,Hardware,INC0000000250,Closed,2023-07-21 15:05:20.615867077,Luke Wilson,Email system downtime affecting multiple users,Service Desk,2 - High
system,Beth Anglin,2023-08-06 01:08:07.603898126,Don Goodliffe,2023-07-22 00:13:00,Software,INC0000000251,Resolved,2023-08-06 01:08:07.603898126,Howard Johnson,Email server downtime affecting multiple departments,Network,1 - Critical
admin,Beth Anglin,2023-07-26 02:00:25.411066787,Don Goodliffe,2023-07-22 05:27:00,Network,INC0000000252,Closed,2023-07-26 02:00:25.411066787,Luke Wilson,Email system outage affecting entire department,Service Desk,1 - Critical
system,Beth Anglin,2023-07-27 14:44:00.000000000,David Loo,2023-07-26 14:44:00,Network,INC0000000253,Resolved,2023-07-27 14:44:00.000000000,Beth Anglin,Email system downtime,Service Desk,1 - Critical
system,Beth Anglin,2023-08-09 21:17:38.812926156,Bud Richman,2023-07-27 18:59:00,Inquiry / Help,INC0000000254,Resolved,2023-08-09 21:17:38.812926156,Luke Wilson,Email system latency issues reported by multiple users,Service Desk,2 - High
system,Beth Anglin,2023-07-28 22:01:00.000000000,Don Goodliffe,2023-07-27 22:01:00,Software,INC0000000255,Resolved,2023-07-28 22:01:00.000000000,Charlie Whitherspoon,Email system down for multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-07-30 04:32:00.000000000,Don Goodliffe,2023-07-29 04:32:00,Hardware,INC0000000256,Closed,2023-07-30 04:32:00.000000000,Beth Anglin,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-07-31 01:41:00.000000000,Don Goodliffe,2023-07-30 01:41:00,Hardware,INC0000000257,Resolved,2023-07-31 01:41:00.000000000,Charlie Whitherspoon,Email system slowdown reported by multiple users,Service Desk,2 - High
employee,Beth Anglin,2023-08-03 16:54:59.684433496,Bud Richman,2023-07-30 08:29:00,Software,INC0000000258,Resolved,2023-08-03 16:54:59.684433496,Howard Johnson,Email system down for multiple users,Service Desk,2 - High
employee,Luke Wilson,2023-08-05 09:32:32.907187586,Bud Richman,2023-07-30 19:05:00,Inquiry / Help,INC0000000259,Resolved,2023-08-05 09:32:32.907187586,Luke Wilson,Email system outage affecting multiple departments,Service Desk,1 - Critical
admin,Beth Anglin,2023-08-03 03:57:00.000000000,Don Goodliffe,2023-08-02 03:57:00,Software,INC0000000260,Closed,2023-08-03 03:57:00.000000000,Fred Luddy,Email server outage impacting multiple departments,Network,1 - Critical
employee,Luke Wilson,2023-08-15 21:25:55.311514119,Don Goodliffe,2023-08-02 11:38:00,Network,INC0000000261,Resolved,2023-08-15 21:25:55.311514119,Howard Johnson,Email system not responding,Service Desk,2 - High
employee,Luke Wilson,2023-08-12 18:06:26.092106586,David Loo,2023-08-03 12:39:00,Network,INC0000000262,Closed,2023-08-12 18:06:26.092106586,Fred Luddy,Email system downtime affecting multiple users,Service Desk,2 - High
employee,Luke Wilson,2023-08-06 05:02:00.000000000,ITIL User,2023-08-05 05:02:00,Database,INC0000000263,Closed,2023-08-06 05:02:00.000000000,Beth Anglin,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-08-16 18:37:07.070006949,David Loo,2023-08-05 17:48:00,Network,INC0000000264,Closed,2023-08-16 18:37:07.070006949,Charlie Whitherspoon,Email system down for multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-08-08 03:10:00.000000000,David Loo,2023-08-07 03:10:00,Network,INC0000000265,Closed,2023-08-08 03:10:00.000000000,Fred Luddy,Email system is intermittently unavailable,Service Desk,2 - High
admin,Luke Wilson,2023-08-21 01:39:47.200538815,ITIL User,2023-08-09 06:47:00,Inquiry / Help,INC0000000266,Closed,2023-08-21 01:39:47.200538815,Beth Anglin,Email system downtime,Service Desk,2 - High
system,Luke Wilson,2023-08-15 21:06:32.251268478,David Loo,2023-08-10 05:52:00,Database,INC0000000267,Closed,2023-08-15 21:06:32.251268478,Howard Johnson,Email system downtime reported by several users,Service Desk,2 - High
employee,Beth Anglin,2023-08-13 06:30:00.306464294,ITIL User,2023-08-10 11:04:00,Network,INC0000000268,Closed,2023-08-13 06:30:00.306464294,Luke Wilson,Email system downtime,Service Desk,2 - High
employee,Luke Wilson,2023-08-13 04:02:51.532784031,Bud Richman,2023-08-10 17:41:00,Software,INC0000000269,Resolved,2023-08-13 04:02:51.532784031,Luke Wilson,Email system outage affecting several departments,Service Desk,1 - Critical
employee,Luke Wilson,2023-08-14 18:59:41.806833196,Bud Richman,2023-08-11 06:37:00,Network,INC0000000270,Closed,2023-08-14 18:59:41.806833196,Luke Wilson,Email system is running slow for multiple users.,Service Desk,2 - High
employee,Beth Anglin,2023-08-14 05:20:00.000000000,Bud Richman,2023-08-13 05:20:00,Inquiry / Help,INC0000000271,Resolved,2023-08-14 05:20:00.000000000,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-08-21 07:43:36.907160894,ITIL User,2023-08-14 10:20:00,Database,INC0000000272,Resolved,2023-08-21 07:43:36.907160894,Charlie Whitherspoon,Email system downtime reported,Service Desk,1 - Critical
system,Beth Anglin,2023-08-22 01:29:08.416844814,Don Goodliffe,2023-08-14 17:24:00,Hardware,INC0000000273,Closed,2023-08-22 01:29:08.416844814,Howard Johnson,Email system outage reported by several users,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-08-18 17:06:24.375990209,Bud Richman,2023-08-15 07:07:00,Database,INC0000000274,Resolved,2023-08-18 17:06:24.375990209,Luke Wilson,Email server outage affecting all users,Network,1 - Critical
system,Beth Anglin,2023-08-27 07:54:57.912641793,Don Goodliffe,2023-08-15 07:18:00,Database,INC0000000275,Resolved,2023-08-27 07:54:57.912641793,Charlie Whitherspoon,Email server downtime reported,Service Desk,1 - Critical
system,Beth Anglin,2023-08-16 09:02:00.000000000,David Loo,2023-08-15 09:02:00,Inquiry / Help,INC0000000276,Closed,2023-08-16 09:02:00.000000000,Luke Wilson,Email system failure reported by multiple users,Service Desk,2 - High
employee,Luke Wilson,2023-08-21 03:59:05.173961780,ITIL User,2023-08-15 13:47:00,Software,INC0000000277,Closed,2023-08-21 03:59:05.173961780,Charlie Whitherspoon,Email server downtime affecting all users,Network,2 - High
admin,Beth Anglin,2023-08-23 06:46:25.124598890,David Loo,2023-08-15 15:57:00,Network,INC0000000278,Closed,2023-08-23 06:46:25.124598890,Charlie Whitherspoon,Email server downtime impacting workflow,Network,1 - Critical
admin,Luke Wilson,2023-08-20 18:17:40.292705817,ITIL User,2023-08-15 23:08:00,Hardware,INC0000000279,Resolved,2023-08-20 18:17:40.292705817,Howard Johnson,Email system outage reported across multiple departments,Service Desk,1 - Critical
system,Beth Anglin,2023-09-02 08:33:56.156742637,ITIL User,2023-08-16 04:41:00,Hardware,INC0000000280,Resolved,2023-09-02 08:33:56.156742637,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-08-23 03:14:07.873532410,Don Goodliffe,2023-08-16 22:56:00,Network,INC0000000281,Resolved,2023-08-23 03:14:07.873532410,Luke Wilson,Email system outage reported by multiple users,Service Desk,2 - High
system,Luke Wilson,2023-08-29 02:45:15.572426299,David Loo,2023-08-17 16:13:00,Inquiry / Help,INC0000000282,Resolved,2023-08-29 02:45:15.572426299,Charlie Whitherspoon,Email system outage affecting entire office,Service Desk,1 - Critical
admin,Beth Anglin,2023-09-01 23:23:34.240752478,ITIL User,2023-08-17 16:33:00,Database,INC0000000283,Closed,2023-09-01 23:23:34.240752478,Beth Anglin,Email system downtime affecting entire department,Service Desk,1 - Critical
admin,Beth Anglin,2023-08-24 14:27:58.446849889,ITIL User,2023-08-18 06:31:00,Inquiry / Help,INC0000000284,Resolved,2023-08-24 14:27:58.446849889,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-08-24 17:21:28.005664860,David Loo,2023-08-19 00:16:00,Database,INC0000000285,Closed,2023-08-24 17:21:28.005664860,Luke Wilson,Email system lagging repeatedly,Service Desk,2 - High
admin,Luke Wilson,2023-09-04 17:12:31.968389878,Bud Richman,2023-08-20 04:38:00,Software,INC0000000286,Resolved,2023-09-04 17:12:31.968389878,Luke Wilson,Email server downtime affecting all users,Network,1 - Critical
admin,Luke Wilson,2023-08-26 10:49:24.405468711,Don Goodliffe,2023-08-20 06:20:00,Database,INC0000000287,Closed,2023-08-26 10:49:24.405468711,Beth Anglin,Email server outage affecting all users,Network,1 - Critical
employee,Luke Wilson,2023-09-01 06:56:19.283909377,Don Goodliffe,2023-08-20 10:48:00,Hardware,INC0000000288,Closed,2023-09-01 06:56:19.283909377,Luke Wilson,Email system downtime reported by multiple users,Service Desk,2 - High
admin,Luke Wilson,2023-08-21 19:51:00.000000000,David Loo,2023-08-20 19:51:00,Database,INC0000000289,Closed,2023-08-21 19:51:00.000000000,Luke Wilson,Email server outage reported,Network,1 - Critical
admin,Beth Anglin,2023-08-28 05:28:26.089646157,Don Goodliffe,2023-08-22 12:13:00,Network,INC0000000290,Closed,2023-08-28 05:28:26.089646157,Luke Wilson,Email server downtime report,Network,2 - High
admin,Luke Wilson,2023-09-04 13:58:46.601142805,ITIL User,2023-08-23 06:35:00,Network,INC0000000291,Resolved,2023-09-04 13:58:46.601142805,Luke Wilson,Email server response delay exceeding normal parameters,Network,2 - High
admin,Luke Wilson,2023-09-02 19:13:49.698397273,ITIL User,2023-08-23 16:29:00,Hardware,INC0000000292,Resolved,2023-09-02 19:13:49.698397273,Howard Johnson,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-08-28 01:28:05.708656763,ITIL User,2023-08-23 21:14:00,Network,INC0000000293,Resolved,2023-08-28 01:28:05.708656763,Charlie Whitherspoon,User unable to access VPN,Network,2 - High
admin,Beth Anglin,2023-08-29 05:37:26.494719974,David Loo,2023-08-26 05:41:00,Inquiry / Help,INC0000000294,Closed,2023-08-29 05:37:26.494719974,Luke Wilson,Email server downtime reported,Network,1 - Critical
admin,Luke Wilson,2023-09-03 06:06:48.924767122,Bud Richman,2023-08-26 21:03:00,Software,INC0000000295,Closed,2023-09-03 06:06:48.924767122,Beth Anglin,Email system lagging intermittently,Service Desk,3 - Moderate
admin,Luke Wilson,2023-09-01 04:12:48.539306193,Bud Richman,2023-08-28 05:31:00,Inquiry / Help,INC0000000296,Closed,2023-09-01 04:12:48.539306193,Luke Wilson,Email system downtime affecting multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-09-06 03:40:55.307756566,Bud Richman,2023-08-28 20:41:00,Database,INC0000000297,Closed,2023-09-06 03:40:55.307756566,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-08-30 17:44:00.000000000,ITIL User,2023-08-29 17:44:00,Software,INC0000000298,Closed,2023-08-30 17:44:00.000000000,Fred Luddy,Email system delay impacting client communications,Service Desk,2 - High
system,Howard Johnson,2023-09-09 00:46:55.545394926,Don Goodliffe,2023-08-29 22:15:00,Hardware,INC0000000299,Closed,2023-09-09 00:46:55.545394926,Luke Wilson,Email system delay causing workflow slowdown,Service Desk,2 - High
admin,Fred Luddy,2023-09-09 15:34:49.164016982,Bud Richman,2023-08-30 00:20:00,Software,INC0000000300,Closed,2023-09-09 15:34:49.164016982,Beth Anglin,Email server outage affecting entire department,Network,1 - Critical
admin,Fred Luddy,2023-09-13 05:49:17.362126174,David Loo,2023-08-30 11:42:00,Hardware,INC0000000301,Resolved,2023-09-13 05:49:17.362126174,Charlie Whitherspoon,Email system down for multiple users,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-09-11 17:27:35.170113047,David Loo,2023-08-30 15:46:00,Software,INC0000000302,Closed,2023-09-11 17:27:35.170113047,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
employee,Fred Luddy,2023-09-12 20:24:13.742157410,Don Goodliffe,2023-08-30 17:11:00,Software,INC0000000303,Resolved,2023-09-12 20:24:13.742157410,Fred Luddy,Email server is down,Network,1 - Critical
system,Luke Wilson,2023-09-16 17:14:37.680995613,David Loo,2023-08-31 18:20:00,Software,INC0000000304,Resolved,2023-09-16 17:14:37.680995613,Beth Anglin,Email access issue reported,Service Desk,2 - High
system,Beth Anglin,2023-09-09 18:44:53.961968951,David Loo,2023-09-01 17:13:00,Database,INC0000000305,Resolved,2023-09-09 18:44:53.961968951,Charlie Whitherspoon,Email system downtime reported,Service Desk,2 - High
admin,Luke Wilson,2023-09-10 11:47:38.368733980,Bud Richman,2023-09-02 14:28:00,Network,INC0000000306,Resolved,2023-09-10 11:47:38.368733980,Fred Luddy,Email server outage impacting all users,Network,1 - Critical
employee,Fred Luddy,2023-09-10 13:14:28.991476883,ITIL User,2023-09-03 19:53:00,Network,INC0000000307,Resolved,2023-09-10 13:14:28.991476883,Charlie Whitherspoon,Email system downtime impacting workflow,Service Desk,2 - High
system,Howard Johnson,2023-09-11 19:00:05.244868675,Bud Richman,2023-09-04 17:07:00,Network,INC0000000308,Closed,2023-09-11 19:00:05.244868675,Beth Anglin,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Fred Luddy,2023-09-14 20:22:42.992808847,David Loo,2023-09-05 12:08:00,Network,INC0000000309,Closed,2023-09-14 20:22:42.992808847,Beth Anglin,Email system not responding,Service Desk,1 - Critical
employee,Luke Wilson,2023-09-14 14:06:36.972231740,David Loo,2023-09-06 08:01:00,Hardware,INC0000000310,Resolved,2023-09-14 14:06:36.972231740,Beth Anglin,Email system down for multiple users,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-09-15 02:13:40.054783864,ITIL User,2023-09-07 16:57:00,Network,INC0000000311,Resolved,2023-09-15 02:13:40.054783864,Charlie Whitherspoon,Email system downtime impacting workflow,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-09-11 04:52:57.871726065,Bud Richman,2023-09-09 14:59:00,Network,INC0000000312,Resolved,2023-09-11 04:52:57.871726065,Howard Johnson,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-09-21 19:37:04.084536008,David Loo,2023-09-10 03:23:00,Hardware,INC0000000313,Closed,2023-09-21 19:37:04.084536008,Beth Anglin,Email server downtime reported,Network,1 - Critical
employee,Fred Luddy,2023-09-16 01:36:00.000000000,Bud Richman,2023-09-15 01:36:00,Inquiry / Help,INC0000000314,Closed,2023-09-16 01:36:00.000000000,Fred Luddy,Email server downtime,Network,1 - Critical
admin,Fred Luddy,2023-09-24 21:36:51.051949061,David Loo,2023-09-15 10:27:00,Inquiry / Help,INC0000000315,Closed,2023-09-24 21:36:51.051949061,Howard Johnson,Email system outage reported by several users,Service Desk,1 - Critical
admin,Luke Wilson,2023-10-03 00:03:14.179837444,ITIL User,2023-09-17 20:25:00,Network,INC0000000316,Resolved,2023-10-03 00:03:14.179837444,Charlie Whitherspoon,Email system downtime reported,Service Desk,2 - High
system,Beth Anglin,2023-09-29 14:21:15.646277770,ITIL User,2023-09-19 03:52:00,Inquiry / Help,INC0000000317,Closed,2023-09-29 14:21:15.646277770,Howard Johnson,Email system outage impacting multiple users,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-09-26 06:20:15.095877593,ITIL User,2023-09-20 02:57:00,Hardware,INC0000000318,Resolved,2023-09-26 06:20:15.095877593,Luke Wilson,Email system downtime impacting department,Service Desk,2 - High
admin,Howard Johnson,2023-09-30 16:37:49.075371789,ITIL User,2023-09-21 00:46:00,Inquiry / Help,INC0000000319,Closed,2023-09-30 16:37:49.075371789,Howard Johnson,Email server downtime impacting department operations,Network,1 - Critical
admin,Howard Johnson,2023-10-02 08:32:23.498069634,Bud Richman,2023-09-22 07:00:00,Network,INC0000000320,Resolved,2023-10-02 08:32:23.498069634,Fred Luddy,Email system outage reported by multiple users,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-09-30 11:44:16.047117378,David Loo,2023-09-23 06:17:00,Hardware,INC0000000321,Closed,2023-09-30 11:44:16.047117378,Beth Anglin,Email system downtime,Service Desk,1 - Critical
system,Fred Luddy,2023-09-24 06:26:00.000000000,ITIL User,2023-09-23 06:26:00,Software,INC0000000322,Resolved,2023-09-24 06:26:00.000000000,Charlie Whitherspoon,"Email server down, impacting regional offices",Network,1 - Critical
system,Luke Wilson,2023-09-26 08:12:25.205393165,Don Goodliffe,2023-09-23 14:34:00,Hardware,INC0000000323,Resolved,2023-09-26 08:12:25.205393165,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
admin,Fred Luddy,2023-09-30 06:10:59.013657559,David Loo,2023-09-24 09:54:00,Software,INC0000000324,Closed,2023-09-30 06:10:59.013657559,Howard Johnson,Email service disruption,Service Desk,2 - High
employee,Beth Anglin,2023-10-04 22:46:47.160382476,Bud Richman,2023-09-25 13:10:00,Database,INC0000000325,Resolved,2023-10-04 22:46:47.160382476,Luke Wilson,Email system outage reported by multiple users,Service Desk,2 - High
system,Howard Johnson,2023-09-29 12:54:06.350983190,Bud Richman,2023-09-26 09:22:00,Database,INC0000000326,Closed,2023-09-29 12:54:06.350983190,Luke Wilson,Email system down for multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-10-04 07:11:50.512227794,ITIL User,2023-09-27 00:05:00,Database,INC0000000327,Resolved,2023-10-04 07:11:50.512227794,Charlie Whitherspoon,Email system downtime affecting multiple departments,Service Desk,2 - High
system,Beth Anglin,2023-10-05 21:38:52.985571935,ITIL User,2023-09-28 02:19:00,Network,INC0000000328,Resolved,2023-10-05 21:38:52.985571935,Howard Johnson,Email system response times are slow,Service Desk,2 - High
employee,Howard Johnson,2023-10-15 01:35:58.600601171,David Loo,2023-09-28 07:14:00,Inquiry / Help,INC0000000329,Closed,2023-10-15 01:35:58.600601171,Howard Johnson,Email system is down,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-10-05 16:13:16.839566763,ITIL User,2023-09-29 04:16:00,Hardware,INC0000000330,Resolved,2023-10-05 16:13:16.839566763,Luke Wilson,Email system down,Service Desk,1 - Critical
employee,Fred Luddy,2023-10-07 01:38:55.199620637,ITIL User,2023-10-03 01:32:00,Inquiry / Help,INC0000000331,Resolved,2023-10-07 01:38:55.199620637,Charlie Whitherspoon,Email server outage impacting all users,Network,1 - Critical
system,Beth Anglin,2023-10-11 09:06:50.624736923,Bud Richman,2023-10-03 18:06:00,Network,INC0000000332,Resolved,2023-10-11 09:06:50.624736923,Beth Anglin,Email system downtime affecting entire floor,Service Desk,2 - High
admin,Luke Wilson,2023-10-11 16:14:26.309484893,David Loo,2023-10-03 21:06:00,Software,INC0000000333,Resolved,2023-10-11 16:14:26.309484893,Luke Wilson,Email system outage impacting entire team,Service Desk,1 - Critical
system,Fred Luddy,2023-10-21 19:11:12.227769255,Don Goodliffe,2023-10-06 01:11:00,Database,INC0000000334,Closed,2023-10-21 19:11:12.227769255,Beth Anglin,Email server downtime impacting user operations,Network,2 - High
system,Charlie Whitherspoon,2023-10-07 07:15:00.000000000,David Loo,2023-10-06 07:15:00,Hardware,INC0000000335,Resolved,2023-10-07 07:15:00.000000000,Beth Anglin,Email system downtime reported by multiple users,Service Desk,2 - High
admin,Fred Luddy,2023-10-13 17:46:42.557092018,Don Goodliffe,2023-10-06 17:59:00,Database,INC0000000336,Resolved,2023-10-13 17:46:42.557092018,Charlie Whitherspoon,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-10-15 05:54:08.778249159,Don Goodliffe,2023-10-06 18:07:00,Hardware,INC0000000337,Resolved,2023-10-15 05:54:08.778249159,Luke Wilson,Email system downtime impacting multiple users,Service Desk,1 - Critical
employee,Fred Luddy,2023-10-14 11:39:32.154644521,ITIL User,2023-10-08 02:26:00,Inquiry / Help,INC0000000338,Closed,2023-10-14 11:39:32.154644521,Fred Luddy,Unable to access email,Service Desk,2 - High
employee,Luke Wilson,2023-10-09 04:14:00.000000000,ITIL User,2023-10-08 04:14:00,Hardware,INC0000000339,Resolved,2023-10-09 04:14:00.000000000,Beth Anglin,Email system outage affecting entire department,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-10-26 17:27:30.308525750,Bud Richman,2023-10-09 14:57:00,Software,INC0000000340,Resolved,2023-10-26 17:27:30.308525750,Charlie Whitherspoon,Email system outage affecting entire department,Service Desk,1 - Critical
system,Luke Wilson,2023-10-11 02:15:00.000000000,Don Goodliffe,2023-10-10 02:15:00,Software,INC0000000341,Closed,2023-10-11 02:15:00.000000000,Luke Wilson,Emails not syncing on mobile device.,Service Desk,3 - Moderate
system,Fred Luddy,2023-10-17 16:48:22.546904467,David Loo,2023-10-10 06:31:00,Network,INC0000000342,Closed,2023-10-17 16:48:22.546904467,Beth Anglin,Email server downtime impacting operations,Service Desk,1 - Critical
employee,Luke Wilson,2023-10-22 20:39:49.972468352,Bud Richman,2023-10-10 16:27:00,Hardware,INC0000000343,Closed,2023-10-22 20:39:49.972468352,Howard Johnson,Email server outage impacting multiple users,Network,1 - Critical
employee,Howard Johnson,2023-10-19 09:40:26.797435041,Don Goodliffe,2023-10-11 11:35:00,Software,INC0000000344,Resolved,2023-10-19 09:40:26.797435041,Fred Luddy,Email system response delay,Service Desk,2 - High
system,Beth Anglin,2023-10-17 12:29:54.147060509,Bud Richman,2023-10-11 12:52:00,Network,INC0000000345,Closed,2023-10-17 12:29:54.147060509,Charlie Whitherspoon,Email service disruption reported,Service Desk,2 - High
system,Howard Johnson,2023-10-14 05:01:21.144456007,David Loo,2023-10-11 21:32:00,Network,INC0000000346,Closed,2023-10-14 05:01:21.144456007,Fred Luddy,Email server downtime impacting business operations,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-10-23 04:49:44.967858990,Bud Richman,2023-10-12 06:40:00,Database,INC0000000347,Closed,2023-10-23 04:49:44.967858990,Beth Anglin,Email server responding slowly,Network,2 - High
system,Howard Johnson,2023-10-17 07:46:27.111400610,Bud Richman,2023-10-12 14:59:00,Database,INC0000000348,Resolved,2023-10-17 07:46:27.111400610,Howard Johnson,Email server outage affecting entire floor,Network,1 - Critical
employee,Fred Luddy,2023-10-26 05:34:17.900275991,Bud Richman,2023-10-13 05:27:00,Database,INC0000000349,Resolved,2023-10-26 05:34:17.900275991,Charlie Whitherspoon,Email system latency issues impacting workflow,Service Desk,2 - High
employee,Beth Anglin,2023-10-16 20:54:06.257223410,Bud Richman,2023-10-13 15:17:00,Software,INC0000000350,Resolved,2023-10-16 20:54:06.257223410,Charlie Whitherspoon,Email system slowdown impacting multiple users,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-10-20 00:54:27.370249206,ITIL User,2023-10-14 19:16:00,Database,INC0000000351,Resolved,2023-10-20 00:54:27.370249206,Luke Wilson,Email system outage impacting all users,Service Desk,1 - Critical
employee,Beth Anglin,2023-10-17 05:47:26.937571623,Bud Richman,2023-10-14 22:55:00,Database,INC0000000352,Closed,2023-10-17 05:47:26.937571623,Luke Wilson,Email system is down,Service Desk,1 - Critical
system,Beth Anglin,2023-10-18 23:30:10.975089868,ITIL User,2023-10-15 03:24:00,Software,INC0000000353,Resolved,2023-10-18 23:30:10.975089868,Luke Wilson,Email system outage reported by user,Service Desk,1 - Critical
employee,Luke Wilson,2023-10-17 05:03:43.313950467,Don Goodliffe,2023-10-16 04:45:00,Database,INC0000000354,Resolved,2023-10-17 05:03:43.313950467,Beth Anglin,Email system downtime reported by several users,Service Desk,2 - High
employee,Beth Anglin,2023-10-18 01:33:00.000000000,David Loo,2023-10-17 01:33:00,Software,INC0000000355,Resolved,2023-10-18 01:33:00.000000000,Beth Anglin,Email system not responding,Service Desk,2 - High
system,Luke Wilson,2023-10-20 17:07:42.489069107,ITIL User,2023-10-17 07:22:00,Software,INC0000000356,Closed,2023-10-20 17:07:42.489069107,Luke Wilson,Email system response delay,Service Desk,2 - High
admin,Howard Johnson,2023-10-19 13:32:16.904188822,Bud Richman,2023-10-17 13:48:00,Network,INC0000000357,Closed,2023-10-19 13:32:16.904188822,Fred Luddy,Email service disruption observed,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-10-28 12:53:03.284539533,Bud Richman,2023-10-19 16:44:00,Database,INC0000000358,Resolved,2023-10-28 12:53:03.284539533,Beth Anglin,Email outage impacting entire department,Service Desk,1 - Critical
admin,Luke Wilson,2023-11-03 04:59:00.786696573,Don Goodliffe,2023-10-19 22:11:00,Network,INC0000000359,Resolved,2023-11-03 04:59:00.786696573,Charlie Whitherspoon,Email system outage impacting multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-10-23 18:17:45.987704588,Don Goodliffe,2023-10-20 01:20:00,Network,INC0000000360,Closed,2023-10-23 18:17:45.987704588,Beth Anglin,Email server response delay issues,Network,2 - High
system,Beth Anglin,2023-10-31 07:59:18.096570674,Bud Richman,2023-10-21 23:39:00,Database,INC0000000361,Closed,2023-10-31 07:59:18.096570674,Charlie Whitherspoon,Email system is down for multiple users,Service Desk,1 - Critical
employee,Howard Johnson,2023-11-03 10:59:36.574133634,Don Goodliffe,2023-10-22 01:30:00,Database,INC0000000362,Resolved,2023-11-03 10:59:36.574133634,Luke Wilson,Email system lagging for multiple users,Service Desk,2 - High
admin,Luke Wilson,2023-11-06 04:42:13.483489601,David Loo,2023-10-22 11:46:00,Software,INC0000000363,Closed,2023-11-06 04:42:13.483489601,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
employee,Beth Anglin,2023-10-25 16:10:51.346876748,Bud Richman,2023-10-22 12:38:00,Inquiry / Help,INC0000000364,Resolved,2023-10-25 16:10:51.346876748,Fred Luddy,Email system down for several users,Service Desk,2 - High
admin,Howard Johnson,2023-10-29 04:58:11.451255861,Bud Richman,2023-10-23 09:59:00,Hardware,INC0000000365,Closed,2023-10-29 04:58:11.451255861,Howard Johnson,Email system down for multiple users,Network,1 - Critical
admin,Charlie Whitherspoon,2023-10-24 22:09:00.000000000,David Loo,2023-10-23 22:09:00,Software,INC0000000366,Closed,2023-10-24 22:09:00.000000000,Howard Johnson,Email system downtime,Service Desk,2 - High
admin,Beth Anglin,2023-10-28 10:11:38.951227014,Bud Richman,2023-10-24 00:41:00,Database,INC0000000367,Resolved,2023-10-28 10:11:38.951227014,Luke Wilson,Email system downtime impacting operations,Service Desk,1 - Critical
system,Fred Luddy,2023-11-07 04:00:09.831140289,Bud Richman,2023-10-24 04:34:00,Software,INC0000000368,Resolved,2023-11-07 04:00:09.831140289,Charlie Whitherspoon,Email server outage impacting operations,Network,1 - Critical
system,Charlie Whitherspoon,2023-11-06 04:43:42.088326579,David Loo,2023-10-25 03:17:00,Database,INC0000000369,Resolved,2023-11-06 04:43:42.088326579,Fred Luddy,Email system outage affecting entire department,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-11-03 10:36:22.180896602,Bud Richman,2023-10-25 16:27:00,Software,INC0000000370,Closed,2023-11-03 10:36:22.180896602,Beth Anglin,Email system down for multiple users,Service Desk,1 - Critical
