user,category,source_id,number,amount,opened_at,department,state,type,processed_date,short_description,ci
Nadia Wilshire,Travel,,EXP00000318,1717,2023-07-24 02:13:00,Sales,Processed,,2023-07-27 23:18:03.412925613,Travel equipment asset entry,Samsung Galaxy Tab A7
Carolina Kinlaw,Assets,NTZ-39729204,EXP00000319,7833,2023-05-17 08:19:00,Sales,Pending,,,Automatically purchased new hardware asset,Dell Latitude 7420
Danny Dales,Services,OCP-64441556,EXP00000320,1576,2023-03-04 06:43:00,Customer Support,Processed,,2023-03-17 15:14:52.266148719,Automated Service Creation - Asset Deployment,Database Service - MySQL
Fausto Marks,Travel,,EXP00000321,953,2024-01-15 14:43:00,Finance,Declined,,,Travel associated asset register for smartphone,Samsung Galaxy S21
Rosalie Krigger,Assets,ANY-39940714,EXP00000322,5368,2024-02-14 20:45:00,HR,Processed,,2024-02-26 02:30:26.423892883,Dell OptiPlex Desktop,OptiPlex 3070 Micro
Luella Pliner,Travel,,EXP00000323,7126,2023-09-01 03:56:00,Sales,Processed,,2023-09-18 08:48:22.301965736,Travel booking application software,TravelMate Pro
Rosalie Krigger,Miscellaneous,,EXP00000324,3920,2023-07-27 18:26:00,HR,Submitted,,,Miscellaneous hardware component added to asset list,Dell Precision 5530
Viola Mcsorley,Assets,ZZX-22386073,EXP00000325,6242,2023-10-09 07:18:00,Customer Support,Processed,,2023-10-26 01:07:32.117103383,Asset creation for desktop computer,Dell OptiPlex 7040
Lynda Caraway,Assets,RYE-60536791,EXP00000326,3130,2024-03-27 21:04:00,Customer Support,Processed,,2024-04-06 02:27:31.546646580,Automated asset entry for hardware component,Dell Optiplex 7040 Desktop
Raphael Bickel,Services,YHB-14798741,EXP00000327,354,2023-04-03 13:04:00,Sales,Processed,,2023-04-10 14:22:32.894045602,Provisioning of new cloud service,AWS S3 Service
Sean Bonnet,Assets,BTQ-38796914,EXP00000328,4601,2023-04-10 10:52:00,Customer Support,Declined,,,IT asset acquisition,Dell Latitude 7420 Laptop
Sadie Rowlett,Services,QFX-15894029,EXP00000329,660,2023-10-21 11:02:00,IT,Declined,,,Newly installed server as a part of Services,Server-HP ProLiant DL380 G9
Howard Johnson,Travel,,EXP00000330,3110,2023-10-07 06:05:00,Sales,Processed,,2023-10-10 01:25:36.674128508,Automatically generated expense line for creation of travel kit asset,Travel Starter Kit
Marianne Earman,Assets,XLF-85871154,EXP00000331,8073,2023-12-30 19:42:00,Customer Support,Submitted,,,Asset Registration - New Printer,HP LaserJet Pro M404dn
Jimmie Kertzman,Services,MFF-36573518,EXP00000332,209,2023-11-10 10:21:00,Customer Support,Processed,,2023-12-01 06:32:47.386456535,Automatically generated asset line for creation of service,Web Hosting Service
Karen Zombo,Travel,,EXP00000333,5710,2023-08-05 02:54:00,Sales,Pending,,,Automatically generated expense line for purchase of travel equipment,Samsonite Trolley Luggage
Lacy Hyten,Travel,,EXP00000334,2130,2024-01-18 19:57:00,Sales,Pending,,,Travel equipment - Laptop Dell Model X,Dell Laptop X Series
Jimmie Kertzman,Travel,,EXP00000335,1711,2024-04-16 14:03:00,Customer Support,Processed,,2024-04-22 14:32:59.539957841,Automatically generated cost entry for new travel equipment,Travel Suitcase Pro
Mamie Mcintee,Travel,,EXP00000336,4613,2024-04-15 17:10:00,Product Management,Declined,,,Provision of travel equipment asset,Samsonite Pro-DLX 5 Suitcase
Raphael Bickel,Assets,YTT-81228548,EXP00000337,7841,2024-02-01 16:29:00,Sales,Processed,,2024-02-07 01:07:41.891191412,Automated asset creation for company hardware,Dell Latitude 7400
Owen Sparacino,Assets,GGO-17975516,EXP00000338,7037,2023-04-19 02:47:00,Customer Support,Processed,,2023-04-30 02:34:41.899402389,Purchase of new hardware asset,Dell Latitude 7410
Marianne Earman,Travel,,EXP00000339,2355,2023-05-13 01:19:00,Customer Support,Declined,,,Travel expense incurred for asset procurement,Airline Ticket Invoice
Karen Zombo,Assets,LKD-71709914,EXP00000340,1642,2023-03-19 15:42:00,Sales,Pending,,,Automatically created hardware asset,Dell Latitude 7400 Laptop
Helena Suermann,Travel,,EXP00000341,7926,2024-01-05 01:27:00,Customer Support,Declined,,,Automatically generated expense line for travel assets,Travel luggage trolley
Sean Bonnet,Assets,IIJ-42486059,EXP00000342,3021,2023-12-06 14:58:00,Customer Support,Processed,,2023-12-16 05:00:53.841069543,Asset added - HP ProDesk 600 G1 Desktop Computer,HP ProDesk 600 G1 Desktop
Carolina Kinlaw,Assets,POR-89963056,EXP00000343,6043,2023-07-15 16:21:00,Sales,Processed,,2023-07-22 12:28:23.871845365,Server Hardware Dell PowerEdge R740,Dell PowerEdge R740
Shelley Groden,Assets,TXC-38601536,EXP00000344,7601,2023-05-15 22:15:00,Customer Support,Processed,,2023-05-16 22:15:00.000000000,Automatically created asset entry for hardware management,Dell Optiplex 3070 Desktop
Jimmie Kertzman,Assets,AUK-59865555,EXP00000345,5440,2023-03-10 05:31:00,Customer Support,Processed,,2023-03-26 19:57:03.929761127,Automatically acquired asset for departmental use,Dell OptiPlex 7070
Germaine Bruski,Assets,CQV-95123176,EXP00000346,5915,2024-02-01 12:07:00,Finance,Processed,,2024-02-02 12:07:00.000000000,Automatically generated entry for IT Asset,HP EliteBook 850 G6
Melody Saddat,Assets,WNC-58938235,EXP00000347,7583,2024-04-19 07:31:00,Sales,Pending,,,ServiceNow generated asset record,Dell Latitude 7490
Bertie Luby,Services,VGJ-33855639,EXP00000348,409,2023-10-16 10:15:00,Sales,Pending,,,New service subscription added to the fleet,Microsoft 365 E3
Germaine Bruski,Travel,,EXP00000349,2714,2024-04-05 22:05:00,Finance,Declined,,,Travel expense for Global Positioning System (GPS) device,Garmin GPS 65
Misty Ericksen,Services,ULL-35518322,EXP00000350,1112,2023-07-23 08:53:00,Customer Support,Pending,,,Provisioning of new cloud service,Azure Cloud Service A1
Fausto Marks,Travel,,EXP00000351,5964,2024-01-14 15:21:00,Finance,Pending,,,Travel asset added to the inventory,Travel Kit DELUXE PRO
Mamie Mcintee,Assets,PXQ-78831647,EXP00000352,2981,2023-08-09 22:25:00,Product Management,Declined,,,Automated record for asset addition,Lenovo ThinkPad X1 Carbon
Vernon Engelman,Assets,HLT-83649786,EXP00000353,2275,2024-02-04 00:34:00,IT,Processed,,2024-02-06 01:29:53.958211359,Hardware asset record for new server rack,Dell PowerEdge T640
Cristina Sharper,Assets,LQS-22026111,EXP00000354,2400,2023-02-09 05:23:00,Sales,Processed,,2023-02-15 07:12:36.056424330,Automatically generated ServiceNow hardware asset,Dell Optiplex 3040
Marcie Shulz,Assets,DXP-48111564,EXP00000355,3929,2023-12-28 18:38:00,Customer Support,Declined,,,Asset Management - Laptop model Dell Inspiron 3501,Dell Inspiron 3501
Sadie Rowlett,Assets,ONV-64614214,EXP00000356,4366,2024-01-25 18:10:00,IT,Processed,,2024-02-16 20:29:17.880364532,Asset registration for new device,HP ProBook 650 G5
Carmel Overfelt,Services,AZP-62181359,EXP00000357,1702,2023-06-16 08:21:00,Customer Support,Processed,,2023-06-26 00:37:41.212493383,Procurement of new cloud services,Azure Cloud Service
Cristina Sharper,Travel,,EXP00000358,4326,2023-04-28 00:25:00,Sales,Declined,,,Automatically generated expense line for creation of asset,Travel Bag
Howard Johnson,Assets,THF-47437694,EXP00000359,8241,2024-01-04 20:11:00,Sales,Submitted,,,Newly procured asset with CI configuration,Dell Latitude 7400
Geri Forness,Assets,SLY-21861279,EXP00000360,2829,2024-01-26 01:56:00,Customer Support,Pending,,,Office desktop computer Dell Optiplex 3070,Dell Optiplex 3070
Zackary Mockus,Assets,QWE-43267473,EXP00000361,3346,2023-09-04 19:32:00,Customer Support,Declined,,,Procurement of new company assets,Dell Latitude E5450
Danny Dales,Services,BRX-78470855,EXP00000362,1163,2023-05-29 04:59:00,Customer Support,Submitted,,,Service related Hardware Asset,Service Router Model XJ200
Rosalie Krigger,Assets,GKY-73969102,EXP00000363,5295,2023-02-04 11:00:00,HR,Processed,,2023-02-15 00:03:10.836844703,Network equipment asset registration,Cisco Router 2600
Mamie Mcintee,Travel,,EXP00000364,3594,2023-07-29 23:02:00,Product Management,Processed,,2023-08-09 05:47:52.859551161,Travel related hardware asset,GPS System Garmin 795
Rob Woodbyrne,Assets,HUI-04476587,EXP00000365,8580,2023-08-05 11:49:00,Sales,Processed,,2023-08-06 11:49:00.000000000,Acquisition of Dell Latitude E7450 Laptop,Dell Latitude E7450
Georgette Bandyk,Travel,,EXP00000366,2088,2023-03-18 18:53:00,Customer Support,Declined,,,Travel expense approval for hardware procurement,Dell Latitude 9420 Laptop
Bertie Luby,Travel,,EXP00000367,5834,2023-02-04 12:16:00,Sales,Declined,,,Travel asset creation for luggage trolley,Luggage Trolley 002
Vernon Engelman,Assets,VZE-03651511,EXP00000368,4805,2023-09-11 19:31:00,IT,Submitted,,,Automatically generated asset line for Dell Latitude 5410,Dell Latitude 5410 laptop
Valerie Pou,Travel,,EXP00000369,5433,2023-11-28 08:22:00,Customer Support,Submitted,,,Automatically generated expense line for creation of travel equipment,Samsonite Carry-On Suitcase
Virgil Chinni,Assets,MLS-42070530,EXP00000370,2675,2023-09-10 23:38:00,IT,Processed,,2023-09-11 23:38:00.000000000,Inventory update for asset management,Dell Latitude 7410
Carmel Overfelt,Assets,GZL-73088988,EXP00000371,5132,2024-03-14 12:49:00,Customer Support,Submitted,,,Automatically generated asset for Dell Desktop,Dell OptiPlex 3080
Helena Suermann,Services,GXL-90377972,EXP00000372,835,2024-03-11 22:22:00,Customer Support,Processed,,2024-04-03 23:05:17.477753674,Service management software asset,ServiceNow Cloud Services
Sean Bonnet,Assets,OLR-51220951,EXP00000373,7998,2023-11-04 13:17:00,Customer Support,Processed,,2023-11-14 23:31:27.016551273,Asset addition to HP EliteDesk workstation,HP EliteDesk 800 G3 Tower PC
Danny Dales,Travel,,EXP00000374,2177,2024-01-03 20:34:00,Customer Support,Processed,,2024-01-17 06:08:17.315856163,Travel expense claim for business laptop,Dell Latitude 7410
Darrel Tork,Travel,,EXP00000375,3228,2023-10-05 19:19:00,Customer Support,Processed,,2023-10-12 04:48:37.654811415,Generated asset for travel requirements,Luggage Tracker
Vernon Engelman,Assets,WYI-45063519,EXP00000376,3678,2023-11-03 13:10:00,IT,Processed,,2023-11-04 13:10:00.000000000,Automatically assigned asset hardware,Dell Latitude E5450
Cyril Behen,Travel,,EXP00000377,2634,2023-08-13 22:34:00,Development,Declined,,,Automatically generated expense line for creation of travel asset,Business Travel Package
Howard Johnson,Travel,,EXP00000378,3900,2023-04-06 06:22:00,Sales,Processed,,2023-04-09 01:18:16.913041230,Travel equipment purchase,Travel Bag 20L
Lacy Hyten,Assets,CAW-32208342,EXP00000379,7049,2023-11-21 02:09:00,Sales,Processed,,2023-11-22 02:09:00.000000000,Newly registered inventory asset,Desktop PC Dell 990
Fausto Marks,Assets,WPF-98715125,EXP00000380,4005,2023-04-10 00:06:00,Finance,Declined,,,Office asset deployment,Dell Optiplex 780 Desktop
Owen Sparacino,Services,XRN-48449771,EXP00000381,1849,2023-10-20 17:55:00,Customer Support,Processed,,2023-10-25 12:38:31.183901109,Configuration for Services Asset,Service Asset - Server Management
Wilfredo Gidley,Travel,,EXP00000382,5773,2023-04-24 13:52:00,Customer Support,Pending,,,Automatically generated expense line for creation of travel asset,Travel Ticket
Wilfredo Gidley,Assets,YBV-28484807,EXP00000383,6910,2023-08-25 10:35:00,Customer Support,Declined,,,Asset registration for new hardware,Dell Inspiron 15
Fausto Marks,Assets,ABA-87144721,EXP00000384,8856,2024-02-09 02:14:00,Finance,Processed,,2024-02-19 09:42:12.434309787,Simulated asset registration for IT department,HP EliteBook 840 G6
Jimmie Kertzman,Services,NYH-81013563,EXP00000385,343,2023-06-09 00:13:00,Customer Support,Processed,,2023-06-10 00:13:00.000000000,Automatically generated service line for creation of asset,Managed service-XYZ
Sue Haakinson,Travel,,EXP00000386,5779,2023-10-28 08:19:00,Customer Support,Processed,,2023-10-29 10:00:10.098743882,Expenses related to travel equipment,Travel Luggage Trolley
Georgette Bandyk,Assets,LKZ-11666762,EXP00000387,1904,2023-12-03 14:39:00,Customer Support,Processed,,2023-12-04 14:39:00.000000000,Asset record for new office desktop,Dell Optiplex 7490
Sean Bonnet,Travel,,EXP00000388,5949,2023-05-20 19:13:00,Customer Support,Processed,,2023-05-21 19:13:00.000000000,Travel hardware asset management,DELL Latitude 3400
Wilfredo Gidley,Services,DWU-89142666,EXP00000389,1664,2023-08-07 03:34:00,Customer Support,Processed,,2023-08-13 07:27:59.256080284,Provisioning of new cloud service,Office 365 Business
Jimmie Kertzman,Assets,XBO-61803356,EXP00000390,3719,2023-06-27 19:46:00,Customer Support,Processed,,2023-06-29 06:55:42.592686102,Asset registration for Dell Laptop,Dell Latitude 7400
Fausto Marks,Assets,MJF-15025060,EXP00000391,6474,2023-05-06 19:58:00,Finance,Pending,,,Purchase of new network server,Dell PowerEdge R940
Sue Haakinson,Services,BOW-97167177,EXP00000392,253,2023-07-23 17:46:00,Customer Support,Pending,,,Service delivery management tool setup,ServiceNow Cloud Platform
Shelley Groden,Services,NRS-66569995,EXP00000393,1195,2023-07-31 03:33:00,Customer Support,Processed,,2023-08-06 11:23:25.464315932,Provision of IT services,Cloud Service Provider
Mitzi Ihenyen,Assets,YVQ-88896264,EXP00000394,5773,2024-04-19 05:44:00,Customer Support,Processed,,2024-04-20 05:44:00.000000000,Newly procured Dell Inspiron Laptop for IT department,Dell Inspiron 5481
Georgette Bandyk,Assets,NYU-40835310,EXP00000395,8597,2023-10-15 13:01:00,Customer Support,Processed,,2023-10-25 06:57:12.406176363,Automated asset entry for new hardware,Dell Precision 5530
Raphael Bickel,Assets,ZFD-33858898,EXP00000396,1769,2024-03-03 17:58:00,Sales,Pending,,,Configuration of new Dell Optiplex 7080,Dell Optiplex 7080
Forest Orea,Assets,PJC-98331603,EXP00000397,8379,2023-03-24 08:39:00,IT,Processed,,2023-03-25 08:39:00.000000000,System generated record for new hardware asset,Dell Optiplex 7080
Lacy Hyten,Assets,DWT-52753469,EXP00000398,3476,2023-04-10 22:45:00,Sales,Processed,,2023-04-11 22:45:00.000000000,Asset tracking for new server,Dell Server PowerEdge R940
Melody Saddat,Travel,,EXP00000399,4980,2023-10-19 16:21:00,Sales,Processed,,2023-10-20 16:21:00.000000000,Travel department asset registration,GlobalSat BU-353-S4
Bertie Luby,Miscellaneous,,EXP00000400,3656,2023-10-11 05:50:00,Sales,Submitted,,,Miscellaneous hardware asset added,XYZ Printer Model 123
Janice Twiet,Assets,ZXB-75896246,EXP00000401,5102,2023-09-05 10:23:00,Customer Support,Declined,,,Asset management - New server entry,Dell PowerEdge R740
Howard Johnson,Travel,,EXP00000402,4512,2023-03-17 07:16:00,Sales,Processed,,2023-03-18 07:16:00.000000000,Travel equipment asset addition,Travel Kit Bag 24
Karen Zombo,Services,OOD-38623526,EXP00000403,1303,2023-05-10 04:56:00,Sales,Processed,,2023-05-13 02:30:07.668365668,Automatically generated service description for creation of asset,Web Hosting Service
Darrel Tork,Assets,QFZ-33445532,EXP00000404,5697,2023-09-21 14:06:00,Customer Support,Processed,,2023-09-22 14:06:00.000000000,Asset registration for new hardware,Dell Latitude 3410
Janice Twiet,Services,RSG-08954744,EXP00000405,147,2023-06-28 15:01:00,Customer Support,Processed,,2023-07-08 20:30:04.036538487,Automatically generated service line for creation of asset,Cloud Service Provider
Lacy Hyten,Assets,BBU-83978562,EXP00000406,2790,2024-02-07 04:55:00,Sales,Pending,,,IT Infrastructure upgrade asset,Dell Latitude 3400
Wilfredo Gidley,Assets,GNP-40230470,EXP00000407,4896,2023-07-31 17:14:00,Customer Support,Processed,,2023-08-01 17:14:00.000000000,Automatically generated asset line for server configuration,Dell PowerEdge R640
Geri Forness,Assets,YIL-89933644,EXP00000408,7869,2023-07-08 09:59:00,Customer Support,Pending,,,Registration of new hardware asset,Dell Latitude 7410
Shelley Groden,Miscellaneous,,EXP00000409,1817,2023-03-05 21:35:00,Customer Support,Submitted,,,Non-specific hardware asset added,Miscellaneous Asset CI001
Howard Johnson,Assets,HXI-20975191,EXP00000410,7248,2023-05-17 11:40:00,Sales,Declined,,,Allocation of new hardware asset,Dell XPS 15
Luella Pliner,Assets,FJV-25120791,EXP00000411,2622,2024-02-05 13:51:00,Sales,Processed,,2024-02-06 13:51:00.000000000,New asset registration for IT equipment,Dell Latitude 5400
Misty Ericksen,Travel,,EXP00000412,6882,2023-12-13 04:18:00,Customer Support,Processed,,2023-12-14 04:18:00.000000000,Expense incurred for travel equipment,Rolling Carry-On Luggage
Luella Pliner,Assets,MFS-26746450,EXP00000413,4915,2023-09-21 12:14:00,Sales,Declined,,,Automatically generated asset for IT department,Dell Optiplex 7080
Geri Forness,Miscellaneous,,EXP00000414,714,2024-02-24 07:58:00,Customer Support,Processed,,2024-03-01 05:54:42.275801785,Asset creation for Additional Hardware Component,Docking Station Model 301
Luella Pliner,Assets,SPA-43253223,EXP00000415,7946,2023-07-30 14:35:00,Sales,Processed,,2023-08-09 18:22:55.265203016,ServiceNow Asset: Dell Latitude E7470,Dell Latitude E7470
Sadie Rowlett,Miscellaneous,,EXP00000416,3421,2023-05-04 08:24:00,IT,Processed,,2023-05-05 08:24:00.000000000,Miscellaneous hardware component added,Dell Monitor 24
Felipe Mahone,Services,XRL-65811759,EXP00000417,1635,2024-02-24 11:00:00,Customer Support,Processed,,2024-03-05 08:00:56.257198519,Update and maintenance service for asset,Web Server Hosting
Sal Pindell,Assets,END-51126697,EXP00000418,8299,2023-08-23 10:42:00,Customer Support,Declined,,,Newly added Asset in the inventory,Dell Latitude 5410
Luella Pliner,Travel,,EXP00000419,5598,2024-01-01 23:57:00,Sales,Pending,,,Travel equipment asset creation,Dell Latitude 7470 Travel Laptop
Savannah Loffier,Services,ATA-80924035,EXP00000420,785,2024-04-25 12:40:00,Sales,Processed,,2024-05-12 21:08:51.004295639,Service related hardware asset configuration,Cloud Server Instance1
Marcie Shulz,Services,NKC-88796694,EXP00000421,996,2023-12-17 09:21:00,Customer Support,Processed,,2023-12-18 09:21:00.000000000,Installation of new service-based asset,AWS EC2 Cloud Instance
Viola Mcsorley,Assets,BEI-82754468,EXP00000422,2528,2023-09-30 01:29:00,Customer Support,Processed,,2023-10-12 01:26:28.415268191,Automated entry for IT asset registration,Dell Latitude 7490
Savannah Loffier,Assets,NZZ-75350192,EXP00000423,7854,2023-05-17 13:11:00,Sales,Declined,,,HP 4540s Laptop received for asset management,HP ProBook 4540
Melody Saddat,Travel,,EXP00000424,4392,2024-04-25 09:01:00,Sales,Declined,,,Travel assets purchase order,Business Class Airline Ticket
Sean Bonnet,Assets,PZZ-64640685,EXP00000425,6229,2023-04-29 11:56:00,Customer Support,Declined,,,Automatically generated asset for employee use,Dell Latitude 7490
Raphael Bickel,Travel,,EXP00000426,3632,2023-12-06 01:57:00,Sales,Processed,,2023-12-09 17:39:13.462178181,Transportation equipment asset registration,Company Car Model 2020
Carmel Overfelt,Travel,,EXP00000427,4059,2023-08-25 15:46:00,Customer Support,Pending,,,Travel Equipment Asset,Travel Kit 001
Owen Sparacino,Miscellaneous,,EXP00000428,1145,2023-04-03 18:10:00,Customer Support,Processed,,2023-04-18 19:34:39.757479906,Miscellaneous hardware asset addition,Dell Precision 7550 Workstation
Raphael Bickel,Assets,OLU-79233882,EXP00000429,3931,2023-07-25 13:25:00,Sales,Processed,,2023-08-01 13:01:52.147642801,Automated procurement of new office equipment,Dell OptiPlex 3070 Desktop
Nadia Wilshire,Services,YUL-54574133,EXP00000430,489,2023-08-25 22:03:00,Sales,Submitted,,,Automatically generated service asset,Linux Server
Helga Windle,Assets,ILY-62115594,EXP00000431,3914,2024-02-04 13:26:00,Customer Support,Declined,,,Automatically updated asset line for Dell Inspiron laptop,Dell Inspiron 14
Sal Pindell,Travel,,EXP00000432,4793,2023-07-02 17:51:00,Customer Support,Processed,,2023-07-11 20:46:30.792688025,Travel: Configuration of new GPS device,Garmin GPSMAP 64s
Lynda Caraway,Assets,GTN-57119124,EXP00000433,4575,2023-05-20 15:32:00,Customer Support,Declined,,,Configuration Item for Asset Management,Dell Latitude 5510
Forest Orea,Assets,BFP-02551806,EXP00000434,4401,2023-06-01 19:22:00,IT,Submitted,,,Dell Inspiron 5481 asset registered in service,Dell Inspiron 5481
Cristina Sharper,Assets,NUU-85698843,EXP00000435,2512,2023-07-15 02:02:00,Sales,Processed,,2023-07-16 02:02:00.000000000,Automatically generated asset line for newly acquired hardware,Dell Optiplex 3070 Desktop
Danny Dales,Assets,GHU-42387452,EXP00000436,3107,2023-04-01 20:51:00,Customer Support,Submitted,,,Deployment of new server hardware asset,Dell PowerEdge R940
Helene Iberg,Assets,FBR-72445204,EXP00000437,5921,2023-11-23 20:09:00,IT,Submitted,,,Dell laptop assigned to Operations team,Dell Inspiron 7370
Cyril Behen,Services,QCU-52981666,EXP00000438,1979,2023-02-04 23:11:00,Development,Declined,,,Automatically generated service line for creation of asset,Office 365 Subscription
Mabel Weeden,Travel,,EXP00000439,6128,2023-03-17 21:56:00,Customer Support,Declined,,,Automatically generated expense line for creation of travel asset,Travel Luggage Case
Lynda Caraway,Assets,CLU-41138141,EXP00000440,4365,2024-01-04 01:37:00,Customer Support,Processed,,2024-01-05 01:37:00.000000000,Apple MacBook Pro 13-inch hardware asset purchased,Apple MacBook Pro 13
Melody Saddat,Travel,,EXP00000441,3740,2023-03-10 06:46:00,Sales,Declined,,,Travel-oriented asset record,Travel Equipment #1234
Shelley Groden,Travel,,EXP00000442,3711,2023-11-29 19:07:00,Customer Support,Declined,,,Travel expense generated for asset creation,Rental Car Transportation
Helene Iberg,Assets,MHU-51909831,EXP00000443,3388,2023-07-19 17:01:00,IT,Processed,,2023-07-22 01:26:38.145504562,Locally procured Dell Laptop for IT department,Dell Inspiron 15 7000
Rosalie Krigger,Travel,,EXP00000444,5281,2023-03-26 05:22:00,HR,Processed,,2023-04-06 06:15:46.067184726,Expense for new business travel equipment,Lenovo ThinkPad X1 Carbon
Nelly Jakuboski,Travel,,EXP00000445,1754,2023-10-17 17:02:00,Customer Support,Processed,,2023-10-18 17:02:00.000000000,Purchase of new corporate luggage for travel purposes,Samsonite Omni Expandable Hardside Luggage
Fausto Marks,Assets,HDD-19859275,EXP00000446,6636,2023-08-25 13:43:00,Finance,Processed,,2023-09-10 03:22:37.613954039,Generated assets entry for new hardware equipment,Dell Inspiron 5501 Laptop
Karen Zombo,Assets,ACL-61394097,EXP00000447,1718,2023-11-03 22:36:00,Sales,Processed,,2023-11-10 17:59:20.291221679,Automated entry for addition of new asset in inventory,Dell Latitude E5470
Essie Vaill,Travel,,EXP00000448,2799,2023-12-17 08:28:00,Sales,Pending,,,Asset registration for travel equipment,Lenovo Thinkpad T490
Nelly Jakuboski,Assets,LOK-90022081,EXP00000449,2315,2023-07-15 20:11:00,Customer Support,Processed,,2023-07-16 20:11:00.000000000,Automatically generated detail for new Hardware Asset,Dell Optiplex 7050 Micro Desktop
Mitzi Ihenyen,Assets,DMT-65672517,EXP00000450,6718,2023-05-01 11:35:00,Customer Support,Pending,,,Automatically generated asset entry for newly acquired equipment,Dell Latitude 7410
Jimmie Kertzman,Assets,YKU-14402612,EXP00000451,2624,2024-04-07 11:37:00,Customer Support,Submitted,,,Asset creation for company use,Dell Precision 5530
Helena Suermann,Travel,,EXP00000452,1935,2023-04-25 01:41:00,Customer Support,Processed,,2023-05-07 02:45:08.506624007,Automatically generated expense line for creation of travel equipment,Portable GPS Navigator
Georgette Bandyk,Assets,FUY-79137273,EXP00000453,3048,2023-07-07 23:17:00,Customer Support,Processed,,2023-07-08 23:17:00.000000000,Newly added hardware asset in inventory,Dell Latitude E5570
Mamie Mcintee,Travel,,EXP00000454,7183,2024-04-01 02:43:00,Product Management,Pending,,,Travel expenses incurred for business,Car Rental
Sadie Rowlett,Assets,LOF-43788960,EXP00000455,8216,2023-06-13 17:26:00,IT,Processed,,2023-06-15 23:43:00.663398612,Automatic update of asset information,Dell Latitude 7400
Georgette Bandyk,Assets,WSW-32668220,EXP00000456,2316,2023-09-11 15:36:00,Customer Support,Pending,,,Allocation of new hardware asset,Dell Latitude 7410
Sean Bonnet,Travel,,EXP00000457,7936,2023-07-12 10:41:00,Customer Support,Processed,,2023-07-20 11:58:20.973123829,Travel-related equipment purchase and usage,Travel Equipment Bundle
Vernon Engelman,Services,UHU-64305301,EXP00000458,1945,2023-07-24 16:35:00,IT,Processed,,2023-08-06 23:39:47.326981832,Provision of new service asset,Service Bus Configuration
Raphael Bickel,Assets,UXQ-94959595,EXP00000459,3686,2023-09-01 05:45:00,Sales,Pending,,,Purchase of new asset,Dell Latitude 5490
Bertie Luby,Travel,,EXP00000460,3219,2023-08-21 16:08:00,Sales,Submitted,,,Travel equipment issued for business needs,Lenovo ThinkPad X1 Carbon
Sue Haakinson,Services,RSR-78458043,EXP00000461,1613,2024-03-22 05:53:00,Customer Support,Declined,,,Automated service allocation for asset,Cloud Service Provider
Ramon Amaral,Assets,PLZ-90276810,EXP00000462,4344,2023-05-13 15:26:00,Development,Declined,,,Hardware asset registration for new device,HP EliteBook 840
Lacy Hyten,Travel,,EXP00000463,2006,2024-01-27 02:47:00,Sales,Processed,,2024-01-29 07:29:36.646053234,Travel equipment asset record,Luggage Trolley
Sue Haakinson,Travel,,EXP00000464,5840,2023-04-21 20:33:00,Customer Support,Processed,,2023-04-22 20:33:00.000000000,Automatically generated expense line for creation of travel asset,First Class Airplane Ticket
Shelley Groden,Services,GLU-24400505,EXP00000465,885,2023-02-22 03:36:00,Customer Support,Processed,,2023-02-23 10:21:41.556904335,Automated Services Asset Entry,Microsoft Office 365 Subscription
Helga Windle,Assets,CAB-24968631,EXP00000466,8746,2024-04-01 07:17:00,Customer Support,Processed,,2024-04-04 22:47:37.600156721,Procurement of new hardware equipment,HP EliteBook 840
Essie Vaill,Travel,,EXP00000467,7677,2023-08-02 23:24:00,Sales,Processed,,2023-08-03 23:24:00.000000000,Purchase of travel-specific equipment,Samsonite Travel Suitcase
Essie Vaill,Travel,,EXP00000468,3721,2024-01-12 20:43:00,Sales,Processed,,2024-01-13 20:43:00.000000000,Travel assets entry for the new expedition vehicle,Expedition SUV 2022
Bertie Luby,Assets,BRG-55730557,EXP00000469,2687,2024-01-03 14:18:00,Sales,Processed,,2024-01-08 06:23:15.746823562,Deployment of new company asset in branch,Lenovo Thinkpad X1 Carbon
Helene Iberg,Assets,VSN-59791025,EXP00000470,6132,2023-02-13 01:30:00,IT,Processed,,2023-02-26 08:36:36.954088234,Automatically generated asset line for creation of hardware,Dell Optiplex 7090
Helena Suermann,Travel,,EXP00000471,3102,2023-05-22 06:39:00,Customer Support,Processed,,2023-05-27 15:54:34.610781020,Travel related hardware asset generation,Lenovo Thinkpad Travel Edition
Helene Iberg,Miscellaneous,,EXP00000472,4331,2023-10-09 01:02:00,IT,Processed,,2023-10-24 00:56:17.816279887,Purchase of miscellaneous asset,Projector Sony VPL-VW295ES
Melody Saddat,Miscellaneous,,EXP00000473,1844,2024-02-21 06:56:00,Sales,Declined,,,Automatically generated asset for Miscellaneous,Miscellaneous Item 1
Nelly Jakuboski,Assets,LZM-93795568,EXP00000474,1719,2023-05-15 19:50:00,Customer Support,Processed,,2023-05-17 08:58:14.032618996,Dell Latitude E5450 acquired for new employee,Dell Latitude E5450
Bertie Luby,Travel,,EXP00000475,7564,2023-08-07 13:48:00,Sales,Processed,,2023-08-10 19:29:58.674237302,Hardware asset for international travel,Travel Laptop Model X
Rosalie Krigger,Travel,,EXP00000476,6992,2023-08-08 14:34:00,HR,Pending,,,Travel assets addition,Travel Equipment 20
