assigned_to,purchased_on,cost,serial_number,sys_updated_on,warranty_expiration,model_category,department,asset_tag,display_name,ci
Karyn Jinks,2024-03-12 10:57:00,402,EFU-53014770,2024-03-26 10:57:00,2026-03-12 10:57:00,Printer,IT,P1000288,HP LaserJet 4000 Series Printer,LaserJet 4000
Naomi Mcraven,2024-04-04 17:38:00,8000,,2024-04-05 17:38:00,2026-04-04 17:38:00,Web Server,Customer Support,P1000289,Dell PowerEdge R740 Web Server,PowerEdge R740
Terrance Nimmer,2024-03-08 10:29:00,379,,2024-03-22 10:29:00,2025-03-08 10:29:00,Computer Peripheral,HR,P1000290,Dell UltraSharp 27 Monitor,UltraSharp 27
Reginald Humes,2023-09-25 03:22:00,400,,2023-11-24 03:22:00,2024-09-25 03:22:00,Rack,Sales,P1000291,Rack Server Dell PowerEdge R740XD,Dell PowerEdge R740XD
Lora Lendor,2023-06-06 02:01:00,8000,,2023-06-20 02:01:00,2026-06-06 02:01:00,Web Server,IT,P1000292,Dell PowerEdge R940 Web Server,PowerEdge R940
Lizzie Torregrossa,2023-07-22 14:09:00,2266,MVA-88553526,2023-08-20 14:09:00,2025-07-28 14:09:00,Computer,IT,P1000293,Dell Inspiron 15 3000,Inspiron 15 3000
Jacklyn Emayo,2023-07-03 21:28:00,156,,2023-08-23 21:28:00,2025-07-03 21:28:00,Storage Device,Customer Support,P1000294,Quantum Storage Device DX100,SD DX100
Efren Baucher,2024-03-23 14:43:00,2647,JXZ-35185358,2024-03-28 14:43:00,2026-10-02 14:43:00,Computer,Sales,P1000295,Dell Inspiron 15 Computer,Inspiron 15
Carol Coughlin,2023-04-22 09:00:00,8000,,2023-06-13 09:00:00,2026-04-22 09:00:00,Web Server,Sales,P1000296,Dell PowerEdge R740 Web Server,Dell PowerEdge R740
Donald Sherretts,2023-09-08 18:24:00,606,YFS-21745118,2023-10-05 18:24:00,2024-09-08 18:24:00,Printer,Customer Support,P1000297,HP OfficeJet 4650 All-in-One Printer,OfficeJet 4650
Kurtis Asberry,2024-02-21 04:17:00,400,,2024-03-11 04:17:00,2026-02-21 04:17:00,Rack,Sales,P1000298,Rack Mount Dell Server R740,Dell Server R740
Mandy Mcdonnell,2023-12-05 19:48:00,2443,GHN-38847515,2024-01-16 19:48:00,2024-12-05 19:48:00,Printer,Development,P1000299,HP OfficeJet Pro 9015 All-in-One Wireless Printer,OfficeJet Pro 9015
Peggy Hohlstein,2024-02-10 15:11:00,314,,2024-02-24 15:11:00,2026-02-10 15:11:00,Storage Device,Customer Support,P1000300,Dell EMC PowerEdge Storage Device,EMC PowerEdge
Elmo Dagenais,2023-06-29 21:12:00,461,,2023-07-18 21:12:00,2026-06-29 21:12:00,Storage Device,Sales,P1000301,Dell EMC PowerEdge R940 Storage Device,PowerEdge R940
Efren Baucher,2023-07-19 04:16:00,8000,,2023-08-24 04:16:00,2025-07-19 04:16:00,Web Server,Sales,P1000302,Dell PowerEdge R940 Web Server,PowerEdge R940
Allie Pumphrey,2023-09-14 09:23:00,10118,YBY-44036825,2023-10-24 09:23:00,2026-09-14 09:23:00,Server,Product Management,P1000303,Dell PowerEdge R740 Server,PowerEdge R740
Latisha Bahls,2023-10-04 19:51:00,8000,,2023-10-25 19:51:00,2025-10-04 19:51:00,Web Server,Customer Support,P1000304,Dell PowerEdge R740 Web Server,PowerEdge R740
Naomi Caetano,2024-03-07 07:40:00,6236,QZL-18634444,2024-03-25 07:40:00,2025-03-07 07:40:00,Server,Customer Support,P1000305,Dell PowerEdge R940 Server,PowerEdge R940
Donald Sherretts,2023-06-25 10:43:00,400,,2023-06-30 10:43:00,2024-06-25 10:43:00,Rack,Customer Support,P1000306,Dell PowerEdge Server Rack,PowerEdge Server Rack
Nelly Jakuboski,2023-05-20 18:03:00,276,,2023-07-19 18:03:00,2026-05-20 18:03:00,Computer Peripheral,Customer Support,P1000307,Logitech Wireless Keyboard K800,Wireless Keyboard K800
Titus Rodreguez,2024-02-26 15:17:00,497,JBG-56777695,2024-04-03 15:17:00,2025-02-26 15:17:00,Printer,Finance,P1000308,HP LaserJet 4050 Printer,LaserJet 4050
Pilar Suddeth,2024-01-03 06:32:00,400,,2024-01-15 06:32:00,2026-01-03 06:32:00,Rack,Sales,P1000309,Dell PowerEdge Rack,PowerEdge Rack
Alva Pennigton,2024-03-28 03:33:00,10305,OHP-91031495,2024-04-13 03:33:00,2027-03-28 03:33:00,Server,Development,P1000310,Dell PowerEdge R740 Server,PowerEdge R740
Martin Carley,2023-10-15 08:12:00,154,,2023-11-20 08:12:00,2026-10-15 08:12:00,Computer Peripheral,Sales,P1000311,Dell Keyboard SK-8115,SK-8115
Lane Brantz,2023-12-01 19:38:00,8000,,2023-12-22 19:38:00,2026-12-01 19:38:00,Web Server,Sales,P1000312,Dell PowerEdge R720 Web Server,PowerEdge R720
Fabian Mcshaw,2023-06-02 21:26:00,254,,2023-07-18 21:26:00,2025-06-02 21:26:00,Computer Peripheral,Sales,P1000313,Dell Laser Printer 1815dn,Laser Printer 1815dn
Petra Clemmens,2023-07-07 02:21:00,418,,2023-07-17 02:21:00,2025-07-07 02:21:00,Storage Device,Sales,P1000314,Western Digital HDD 4TB,HDD 4TB
Van Leanen,2024-03-30 08:32:00,237,,2024-04-15 08:32:00,2026-03-30 08:32:00,Computer Peripheral,IT,P1000315,Dell UltraSharp Monitor U2415,UltraSharp U2415
Dennis Millar,2024-01-29 02:19:00,139,,2024-02-18 02:19:00,2026-01-29 02:19:00,Storage Device,Sales,P1000316,Seagate Backup Plus 4TB External Hard Drive,Seagate Backup Plus 4TB
Marquita Bousman,2023-08-10 12:05:00,5615,ZQT-12277848,2023-09-12 12:05:00,2025-08-10 12:05:00,Server,Customer Support,P1000317,Dell PowerEdge R640 Server,PowerEdge R640
Carol Coughlin,2023-08-23 04:30:00,629,AMZ-23325356,2023-10-08 04:30:00,2025-08-23 04:30:00,Printer,Sales,P1000318,HP LaserJet Pro M404n Printer,LaserJet Pro M404n
Nathanial Phoenix,2023-12-15 05:02:00,248,,2024-01-11 05:02:00,2024-12-15 05:02:00,Computer Peripheral,Customer Support,P1000319,Dell Ultrasharp Monitor,Ultrasharp Monitor
Lona Scronce,2023-05-30 09:26:00,400,,2023-06-24 09:26:00,2026-05-30 09:26:00,Rack,Customer Support,P1000320,Dell PowerEdge Rack Server,PowerEdge Rack
Pilar Suddeth,2023-11-09 22:41:00,8000,,2023-12-24 22:41:00,2024-11-09 22:41:00,Web Server,Sales,P1000321,Dell PowerEdge R740 Web Server,PowerEdge R740
Heath Vanalphen,2023-06-08 06:10:00,203,,2023-06-13 06:10:00,2025-06-08 06:10:00,Storage Device,Sales,P1000322,Dell PowerVault MD3200i Storage Device,PowerVault MD3200i
Mayme Staub,2023-09-23 12:38:00,352,,2023-10-15 12:38:00,2024-09-23 12:38:00,Computer Peripheral,IT,P1000323,Logitech Wireless Mouse M235,Wireless Mouse M235
Edgardo Prudente,2023-12-22 19:36:00,400,,2023-12-24 19:36:00,2025-12-22 19:36:00,Rack,Sales,P1000324,Dell PowerEdge Rack,Dell PowerEdge
Teodoro Gaboury,2023-05-16 03:01:00,365,,2023-06-01 03:01:00,2025-05-16 03:01:00,Computer Peripheral,Customer Support,P1000325,Logitech Wireless Mouse M560,Wireless Mouse M560
Reginald Humes,2023-06-06 20:02:00,3896,NPZ-23165002,2023-07-07 20:02:00,2027-08-15 20:02:00,Computer,Sales,P1000326,Dell OptiPlex 7040 Desktop Computer,OptiPlex 7040
Sean Bonnet,2023-05-26 15:05:00,8000,,2023-06-17 15:05:00,2025-05-26 15:05:00,Web Server,Customer Support,P1000327,Dell PowerEdge R740 Web Server,PowerEdge R740
Chuck Farley,2024-02-21 08:42:00,409,,2024-03-16 08:42:00,2025-02-21 08:42:00,Storage Device,Sales,P1000328,Synology DiskStation DS420j Storage Device,DiskStation DS420j
Viola Mcsorley,2023-04-21 05:54:00,9124,APO-42723021,2023-06-19 05:54:00,2026-04-21 05:54:00,Server,Customer Support,P1000329,Dell PowerEdge R740 Server,PowerEdge R740
Mamie Mcintee,2023-08-20 16:07:00,4503,WFZ-47129146,2023-09-13 16:07:00,2028-08-19 16:07:00,Computer,Product Management,P1000330,Dell Inspiron 3580 Laptop,Inspiron 3580
Maryann Garnette,2023-04-26 19:22:00,2615,RGN-53805668,2023-06-23 19:22:00,2025-10-19 19:22:00,Computer,IT,P1000331,Dell Inspiron Desktop Computer,Inspiron Desktop
Terrance Nimmer,2024-03-25 14:39:00,8000,,2024-04-13 14:39:00,2026-03-25 14:39:00,Web Server,HR,P1000332,Dell PowerEdge R940 Web Server,PowerEdge R940
Mayme Staub,2023-12-20 05:33:00,487,,2024-01-04 05:33:00,2024-12-20 05:33:00,Computer Peripheral,IT,P1000333,Logitech MX Master 3 Computer Peripheral,MX Master 3
Naomi Mcraven,2023-07-11 20:38:00,3453,CRO-40800278,2023-08-10 20:38:00,2027-02-15 20:38:00,Computer,Customer Support,P1000334,Dell Inspiron 15 7000,Inspiron 15 7000
Jimmie Barninger,2023-08-30 23:52:00,400,,2023-09-09 23:52:00,2025-08-30 23:52:00,Rack,Customer Support,P1000335,Dell PowerEdge Rack,PowerEdge
Carol Coughlin,2023-07-04 16:53:00,343,,2023-07-28 16:53:00,2026-07-04 16:53:00,Computer Peripheral,Sales,P1000336,Dell Wireless Mouse WM615,Dell_WM615
Danette Fostervold,2023-11-23 21:02:00,2318,ZWK-46641547,2023-12-15 21:02:00,2025-11-23 21:02:00,Printer,Finance,P1000337,HP LaserJet Pro M15w,LaserJet Pro M15w
Isaac Davensizer,2023-06-12 05:41:00,8411,PHY-96999250,2023-06-13 05:41:00,2025-06-12 05:41:00,Server,Customer Support,P1000338,Dell PowerEdge R740 Server,PowerEdge R740
Stacey Blow,2023-10-21 22:08:00,429,,2023-11-19 22:08:00,2026-10-21 22:08:00,Storage Device,IT,P1000339,Dell PowerVault NX3200 Storage Device,PowerVault NX3200
Felipe Mahone,2023-10-29 13:24:00,120,,2023-12-27 13:24:00,2025-10-29 13:24:00,Storage Device,Customer Support,P1000340,Dell PowerVault MD1200 Storage Device,PowerVault MD1200
Warren Speach,2023-09-17 21:31:00,8000,,2023-10-11 21:31:00,2024-09-17 21:31:00,Web Server,HR,P1000341,Dell PowerEdge T330 Web Server,PowerEdge T330
Lane Brantz,2023-07-03 05:02:00,2482,NQU-39162635,2023-08-05 05:02:00,2024-07-03 05:02:00,Printer,Sales,P1000342,HP LaserJet Pro M281fdw Printer,LaserJet Pro M281fdw
Jewel Agresta,2024-02-26 21:45:00,3122,KGB-32294466,2024-03-17 21:45:00,2027-04-25 21:45:00,Computer,Customer Support,P1000343,Dell Inspiron 15 - Computer,Inspiron 15
Sharlene Circelli,2023-09-09 17:49:00,105,,2023-11-01 17:49:00,2026-09-09 17:49:00,Computer Peripheral,Sales,P1000344,Logitech Wireless Mouse M325,Wireless Mouse M325
Robt Braithwaite,2023-10-30 01:22:00,400,,2023-11-23 01:22:00,2024-10-30 01:22:00,Rack,Sales,P1000345,Rack Mounted Server X550,Server X550
Lynda Caraway,2023-08-26 00:14:00,3000,CKK-42225919,2023-09-05 00:14:00,2026-08-25 00:14:00,Computer,Customer Support,P1000346,Dell XPS 17 Computer,XPS 17
Reginald Lunan,2023-10-17 14:30:00,9418,POX-80487173,2023-11-05 14:30:00,2024-10-17 14:30:00,Server,HR,P1000347,Dell PowerEdge R740 Server,PowerEdge R740
Fabian Mcshaw,2023-10-21 19:30:00,4897,AZY-41341879,2023-11-22 19:30:00,2029-04-30 19:30:00,Computer,Sales,P1000348,Dell Inspiron Desktop Computer,Inspiron Desktop
Jimmy Hrobsky,2023-08-29 20:03:00,400,,2023-10-16 20:03:00,2026-08-29 20:03:00,Rack,Finance,P1000349,HPE ProLiant DL385 Gen10 Rack Server,ProLiant DL385 Gen10
Mary Cruse,2023-12-10 00:40:00,741,QXH-82904317,2023-12-28 00:40:00,2025-12-10 00:40:00,Printer,Sales,P1000350,HP LaserJet Pro M281fdw Printer,LaserJet Pro M281fdw
Deandre Resendiz,2023-06-09 16:22:00,424,,2023-07-09 16:22:00,2024-06-09 16:22:00,Storage Device,Customer Support,P1000351,Western Digital Red 6TB,WD Red 6TB
Mara Rineheart,2023-10-16 08:56:00,8897,BVL-16367187,2023-11-11 08:56:00,2024-10-16 08:56:00,Server,Customer Support,P1000352,Dell PowerEdge R740 Rack Server,PowerEdge R740
Marta Horner,2023-06-12 19:41:00,5585,NML-69844980,2023-07-18 19:41:00,2026-06-12 19:41:00,Server,Customer Support,P1000353,Dell PowerEdge R740xd Server,PowerEdge R740xd
Warren Speach,2023-09-22 09:43:00,2420,SUL-48025506,2023-09-23 09:43:00,2026-09-22 09:43:00,Printer,HR,P1000354,HP LaserJet 4200dn Printer,LaserJet 4200dn
Deshawn Inafuku,2023-07-26 06:13:00,8000,,2023-08-01 06:13:00,2025-07-26 06:13:00,Web Server,IT,P1000355,Dell PowerEdge R640 Web Server,PowerEdge R640
Delphine Helmich,2024-03-30 17:19:00,10803,EVA-74265104,2024-04-09 17:19:00,2027-03-30 17:19:00,Server,Finance,P1000356,Dell PowerEdge R440 Server,PowerEdge R440
Nadia Wilshire,2023-06-12 09:32:00,482,,2023-06-18 09:32:00,2026-06-12 09:32:00,Computer Peripheral,Sales,P1000357,Dell Monitor Ultrasharp 4K,Ultrasharp 4K
Chuck Farley,2023-10-02 21:10:00,388,,2023-10-11 21:10:00,2025-10-02 21:10:00,Storage Device,Sales,P1000358,Western Digital External Hard Drive 2TB,External Hard Drive 2TB
Ross Spurger,2024-02-08 22:20:00,358,,2024-04-08 22:20:00,2027-02-08 22:20:00,Computer Peripheral,Customer Support,P1000359,Logitech Wireless Mouse,Wireless Mouse
Renae Eldrige,2023-09-07 22:55:00,400,,2023-09-27 22:55:00,2024-09-07 22:55:00,Rack,Sales,P1000360,Dell PowerEdge Rack R340,PowerEdge Rack R340
Kathie Argenti,2023-08-10 11:20:00,1966,SVT-69517517,2023-08-21 11:20:00,2025-03-23 11:20:00,Computer,Customer Support,P1000361,Dell Inspiron 7472 Laptop,Inspiron 7472
David Dan,2023-10-26 17:36:00,981,QOL-36557496,2023-12-13 17:36:00,2024-10-26 17:36:00,Printer,Sales,P1000362,HP LaserJet 4050 Printer,LaserJet 4050
Valeria Lingbeek,2023-08-08 16:25:00,8000,,2023-08-17 16:25:00,2025-08-08 16:25:00,Web Server,Sales,P1000363,Microsoft Web Server 2019,Web Server 2019
Naomi Caetano,2023-11-27 19:49:00,2195,SZQ-98652807,2024-01-21 19:49:00,2026-11-27 19:49:00,Printer,Customer Support,P1000364,HP LaserJet 9050dn Printer,LaserJet 9050dn
Jacinto Gawron,2024-02-05 17:56:00,10723,MRH-59178829,2024-03-02 17:56:00,2025-02-05 17:56:00,Server,Customer Support,P1000365,Dell PowerEdge R940 Server,PowerEdge R940
Fred Luddy,2023-11-10 18:45:00,400,,2023-12-08 18:45:00,2025-11-10 18:45:00,Rack,Development,P1000366,Dell PowerEdge Rack,PowerEdge Rack
Carla Sirbaugh,2024-02-07 22:30:00,345,,2024-03-14 22:30:00,2026-02-07 22:30:00,Computer Peripheral,Product Management,P1000367,HP LaserJet 400 Printer,LaserJet 400
Darrell Amrich,2024-02-23 05:52:00,5850,UTL-58701457,2024-03-16 05:52:00,2026-02-23 05:52:00,Server,Customer Support,P1000368,Dell PowerEdge R740 Server,PowerEdge R740
Carla Sirbaugh,2023-08-07 08:08:00,8000,,2023-08-27 08:08:00,2026-08-07 08:08:00,Web Server,Product Management,P1000369,Dell PowerEdge R440 Web Server,PowerEdge R440
Titus Rodreguez,2024-02-01 17:35:00,150,,2024-02-08 17:35:00,2025-02-01 17:35:00,Computer Peripheral,Finance,P1000370,Dell XPS 8700 Computer Peripheral,XPS 8700
Teodoro Gaboury,2024-02-15 03:51:00,361,,2024-03-19 03:51:00,2027-02-15 03:51:00,Computer Peripheral,Customer Support,P1000371,Logitech Keyboard K120,Keyboard K120
Margaret Grey,2023-11-21 06:16:00,8000,,2023-12-24 06:16:00,2024-11-21 06:16:00,Web Server,Sales,P1000372,IBM Web Server X3100 M5,X3100 M5
Mara Rineheart,2024-01-22 20:20:00,276,,2024-02-12 20:20:00,2025-01-22 20:20:00,Storage Device,Customer Support,P1000373,Seagate Expansion 8TB Desktop External Hard Drive,Seagate Expansion 8TB
Lacy Hyten,2023-06-29 10:54:00,1823,FAQ-44333300,2023-08-08 10:54:00,2026-06-29 10:54:00,Printer,Sales,P1000374,HP OfficeJet Pro 8025,OfficeJet Pro 8025
Miranda Hammitt,2024-03-12 20:40:00,378,,2024-03-14 20:40:00,2026-03-12 20:40:00,Storage Device,IT,P1000375,Western Digital Storage Device 1TB,WD 1TB
Nadia Wilshire,2023-08-13 03:10:00,715,FAQ-62884558,2023-08-27 03:10:00,2025-08-13 03:10:00,Printer,Sales,P1000376,HP LaserJet Pro M203dw,LaserJet Pro M203dw
Roman Simone,2023-10-28 19:59:00,400,,2023-11-11 19:59:00,2025-10-28 19:59:00,Rack,Sales,P1000377,Dell PowerEdge R830 Rack Server,PowerEdge R830
Mitch Schattner,2023-08-10 05:12:00,400,,2023-09-11 05:12:00,2024-08-10 05:12:00,Rack,Customer Support,P1000378,Dell PowerEdge Rack Server,PowerEdge Rack Server
Mayme Staub,2023-05-28 04:36:00,400,,2023-06-25 04:36:00,2024-05-28 04:36:00,Rack,IT,P1000379,Dell PowerEdge Rack Server R740,PowerEdge R740
David Loo,2023-12-17 03:38:00,4435,FJN-00196945,2024-01-25 03:38:00,2028-11-13 03:38:00,Computer,Development,P1000380,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
Rosalind Krenzke,2023-08-22 04:10:00,277,,2023-09-23 04:10:00,2025-08-22 04:10:00,Storage Device,Sales,P1000381,Seagate External Hard Drive 2TB,External Hard Drive 2TB
Alejandro Mascall,2023-12-22 23:50:00,8000,,2024-01-08 23:50:00,2026-12-22 23:50:00,Web Server,Product Management,P1000382,Dell PowerEdge R740 Web Server,PowerEdge R740
Roman Simone,2024-02-06 07:59:00,743,ZQI-57553029,2024-03-15 07:59:00,2026-02-06 07:59:00,Printer,Sales,P1000383,HP LaserJet Pro M479fdw,LaserJet Pro M479fdw
Cruz Roudabush,2024-01-12 11:37:00,8000,,2024-02-07 11:37:00,2025-01-12 11:37:00,Web Server,IT,P1000384,Dell PowerEdge Web Server,PowerEdge Server
Kyle Lindauer,2023-05-20 06:56:00,400,,2023-07-14 06:56:00,2024-05-20 06:56:00,Rack,IT,P1000385,Dell PowerEdge Rack Server,PowerEdge Rack Server
Davin Czukowski,2024-03-29 21:09:00,1938,IQR-35609422,2024-04-10 21:09:00,2025-10-28 21:09:00,Computer,Sales,P1000386,Dell Inspiron 14,Inspiron 14
Karyn Jinks,2023-12-14 06:58:00,1224,ZYE-93471292,2024-01-10 06:58:00,2024-12-14 06:58:00,Printer,IT,P1000387,Epson AcuLaser M7000N Printer,AcuLaser M7000N
Davin Czukowski,2023-09-24 07:46:00,2349,YVR-46350687,2023-10-27 07:46:00,2026-09-24 07:46:00,Printer,Sales,P1000388,HP LaserJet Pro M454dn Printer,LaserJet Pro M454dn
Luella Pliner,2023-12-10 14:13:00,353,,2024-01-12 14:13:00,2026-12-10 14:13:00,Storage Device,Sales,P1000389,Seagate External HDD 2TB,External HDD 2TB
Byron Fortuna,2023-09-09 10:38:00,400,,2023-09-14 10:38:00,2024-09-09 10:38:00,Rack,IT,P1000390,Dell PowerEdge Rack R530,PowerEdge Rack R530
Bridgett Retort,2024-01-02 10:31:00,323,,2024-02-13 10:31:00,2027-01-02 10:31:00,Computer Peripheral,Finance,P1000391,Dell Computer Peripheral XPS 30,XPS 30
Robin Schartz,2023-11-14 13:44:00,436,,2023-12-26 13:44:00,2026-11-14 13:44:00,Computer Peripheral,Finance,P1000392,Dell Latitude 7480 Computer Peripheral,Latitude 7480
Rolando Baumann,2023-07-17 04:40:00,411,,2023-09-07 04:40:00,2025-07-17 04:40:00,Storage Device,Sales,P1000393,Seagate Backup Plus 4TB,Backup Plus 4TB
Alene Rabeck,2024-01-06 19:28:00,400,,2024-01-18 19:28:00,2025-01-06 19:28:00,Rack,Sales,P1000394,Dell PowerEdge Rack,PowerEdge
Howard Johnson,2023-09-14 04:58:00,2384,LSJ-55077952,2023-09-28 04:58:00,2025-11-17 04:58:00,Computer,Sales,P1000395,Dell Inspiron 15 Computer,Inspiron 15
Jasmin Gum,2024-03-19 00:19:00,372,,2024-04-14 00:19:00,2026-03-19 00:19:00,Computer Peripheral,Sales,P1000396,Dell Monitor U2415,Monitor U2415
Doug Matrisciano,2023-04-11 23:36:00,2105,SPA-01935458,2023-06-03 23:36:00,2024-04-11 23:36:00,Printer,Customer Support,P1000397,HP LaserJet Pro M428fdw,LaserJet Pro M428fdw
Colin Altonen,2023-07-13 18:22:00,8000,,2023-08-08 18:22:00,2024-07-13 18:22:00,Web Server,Development,P1000398,Dell PowerEdge T140 Web Server,PowerEdge T140
David Loo,2023-07-29 03:08:00,226,,2023-08-25 03:08:00,2026-07-29 03:08:00,Computer Peripheral,Development,P1000399,Razer DeathAdder Elite Gaming Mouse,DeathAdder Elite
Lucien Iurato,2024-04-02 06:40:00,341,,2024-04-04 06:40:00,2026-04-02 06:40:00,Computer Peripheral,Development,P1000400,Dell Monitor Screen 27,Monitor Screen 27
Van Leanen,2023-11-08 14:29:00,283,,2023-12-15 14:29:00,2024-11-08 14:29:00,Storage Device,IT,P1000401,Sandisk SSD 500GB,SSD 500GB
Lacy Belmont,2024-01-19 23:06:00,8000,,2024-01-31 23:06:00,2026-01-19 23:06:00,Web Server,Customer Support,P1000402,IBM WebSphere Web Server,WebSphere Server
Ted Keppel,2023-06-23 23:35:00,1199,TEN-23401356,2023-08-03 23:35:00,2025-06-23 23:35:00,Printer,IT,P1000403,HP LaserJet Pro M404n Printer,LaserJet Pro M404n
Luella Pliner,2023-07-10 00:20:00,1717,FQT-63035096,2023-07-21 00:20:00,2024-07-10 00:20:00,Printer,Sales,P1000404,HP LaserJet Pro Printer,LaserJet Pro
Kurtis Mcbay,2023-05-21 08:48:00,334,,2023-06-04 08:48:00,2026-05-21 08:48:00,Computer Peripheral,Sales,P1000405,Logitech USB Keyboard,USB Keyboard
Pierre Salera,2023-08-06 21:23:00,400,,2023-09-29 21:23:00,2026-08-06 21:23:00,Rack,IT,P1000406,Dell PowerEdge Rack Server R340,PowerEdge R340
Byron Fortuna,2023-07-02 19:04:00,2269,GLE-78124954,2023-07-21 19:04:00,2024-07-02 19:04:00,Printer,IT,P1000407,HP LaserJet Pro MFP M281fdw,LaserJet Pro MFP M281fdw
Nanette Turansky,2023-05-02 01:55:00,327,,2023-06-24 01:55:00,2025-05-02 01:55:00,Storage Device,Customer Support,P1000408,Seagate External Hard Drive 1TB,External Hard Drive 1TB
Mamie Mcintee,2023-06-26 00:36:00,400,,2023-08-25 00:36:00,2026-06-26 00:36:00,Rack,Product Management,P1000409,Dell PowerEdge Rack,PowerEdge
Danny Dales,2023-12-03 04:12:00,8000,,2024-01-03 04:12:00,2025-12-03 04:12:00,Web Server,Customer Support,P1000410,Dell PowerEdge R740 Web Server,PowerEdge R740
Margaret Grey,2023-08-31 01:45:00,173,,2023-10-05 01:45:00,2024-08-31 01:45:00,Storage Device,Sales,P1000411,Western Digital My Passport 4TB,My Passport 4TB
Dollie Daquino,2023-10-02 11:59:00,2975,BMT-46727040,2023-11-21 11:59:00,2026-09-18 11:59:00,Computer,Customer Support,P1000412,Dell Inspiron N5010 Computer,Inspiron N5010
Titus Rodreguez,2023-07-04 05:06:00,400,,2023-07-12 05:06:00,2026-07-04 05:06:00,Rack,Finance,P1000413,Dell PowerEdge Rack,PowerEdge
Jonathon Waldall,2023-07-21 22:01:00,9151,LEX-69302113,2023-08-03 22:01:00,2024-07-21 22:01:00,Server,IT,P1000414,Dell PowerEdge R740 Server,PowerEdge R740
Deshawn Inafuku,2023-11-09 18:15:00,3602,RMT-00379571,2023-11-23 18:15:00,2027-08-27 18:15:00,Computer,IT,P1000415,Dell Inspiron 15 3000 Series,Inspiron 15 3000
Reginald Humes,2023-06-28 00:35:00,400,,2023-08-07 00:35:00,2024-06-28 00:35:00,Rack,Sales,P1000416,Dell PowerEdge Rack Server,PowerEdge Server
Luella Pliner,2023-12-27 21:01:00,1520,GEK-40919736,2024-01-25 21:01:00,2025-01-04 21:01:00,Computer,Sales,P1000417,Dell Inspiron 15 5000,Inspiron 15 5000
Cherie Fuhri,2023-07-09 01:17:00,400,,2023-08-13 01:17:00,2025-07-09 01:17:00,Rack,Customer Support,P1000418,Dell PowerEdge Rack Server,PowerEdge Server
Ross Spurger,2024-02-24 06:42:00,400,,2024-03-27 06:42:00,2026-02-24 06:42:00,Rack,Customer Support,P1000419,Dell PowerEdge Rack Server R430,PowerEdge R430
Cherie Fuhri,2023-10-14 16:01:00,400,,2023-11-17 16:01:00,2026-10-14 16:01:00,Rack,Customer Support,P1000420,Dell PowerEdge Rack Server R740xd,R740xd
Lane Brantz,2023-09-09 23:14:00,189,,2023-10-27 23:14:00,2024-09-09 23:14:00,Computer Peripheral,Sales,P1000421,Dell UltraSharp Monitor 27,UltraSharp 27
Cherie Fuhri,2024-02-15 18:48:00,470,,2024-02-27 18:48:00,2025-02-15 18:48:00,Computer Peripheral,Customer Support,P1000422,Dell 27 Monitor - SE2719H Computer Peripheral,SE2719H
Joe Employee,2023-09-24 09:48:00,400,,2023-11-05 09:48:00,2026-09-24 09:48:00,Rack,Sales,P1000423,Dell PowerEdge Rack R740,PowerEdge R740
Genevieve Kekiwi,2023-07-25 13:44:00,182,,2023-08-07 13:44:00,2024-07-25 13:44:00,Storage Device,Customer Support,P1000424,Samsung SSD 860 EVO,SSD 860 EVO
Dollie Daquino,2024-02-25 22:11:00,400,,2024-03-26 22:11:00,2025-02-25 22:11:00,Rack,Customer Support,P1000425,Dell PowerEdge Rack,PowerEdge Rack
Dollie Daquino,2023-07-06 19:39:00,2467,XIK-08680215,2023-08-01 19:39:00,2026-07-06 19:39:00,Printer,Customer Support,P1000426,OfficeJet Pro 8600,HP OfficeJet 8600
Lacy Hyten,2023-09-01 06:29:00,400,,2023-09-15 06:29:00,2025-09-01 06:29:00,Rack,Sales,P1000427,Dell PowerEdge Rack Server,PowerEdge Rack Server
Dorthy Alexy,2023-07-15 13:36:00,1253,RLR-44240307,2023-08-21 13:36:00,2025-07-15 13:36:00,Printer,Development,P1000428,HP LaserJet P2035 Printer,LaserJet P2035
Genevieve Kekiwi,2023-07-21 08:41:00,2345,GTX-98893892,2023-09-03 08:41:00,2025-09-04 08:41:00,Computer,Customer Support,P1000429,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
Alyssa Biasotti,2023-09-02 19:52:00,280,,2023-09-19 19:52:00,2024-09-02 19:52:00,Computer Peripheral,IT,P1000430,Dell Monitor 24-Inch,Monitor 24-Inch
Brendan Qin,2023-05-04 07:02:00,11069,FBS-22107790,2023-06-22 07:02:00,2025-05-04 07:02:00,Server,Finance,P1000431,Dell PowerEdge R740 Rack Server,PowerEdge R740
Titus Rodreguez,2023-11-17 09:19:00,400,,2023-12-22 09:19:00,2024-11-17 09:19:00,Rack,Finance,P1000432,Dell PowerEdge R740 Rack Server,PowerEdge R740
Doug Matrisciano,2024-01-06 23:33:00,8000,,2024-02-03 23:33:00,2025-01-06 23:33:00,Web Server,Customer Support,P1000433,Dell PowerEdge R940 Web Server,PowerEdge R940
Bart Hachey,2023-06-24 11:50:00,10241,LOX-76275621,2023-08-08 11:50:00,2025-06-24 11:50:00,Server,Product Management,P1000434,Dell PowerEdge Server R740,PowerEdge R740
